dataset,query_id,n_judgments,providers,models,prompts,orientations,judgment_modes,top_k,has_qrels,canonical_cache,sources
bright,biology:0,25,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:1,26,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:10,44,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:11,50,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:12,64,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:13,46,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:14,24,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:15,17,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:16,16,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:17,55,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:18,18,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:19,29,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:2,43,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:20,29,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:21,43,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:22,43,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:23,12,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:24,38,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:3,34,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:4,46,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:5,46,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:6,48,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:7,48,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:8,55,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
bright,biology:9,52,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,0,41,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,105,1,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,107,1,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,11,51,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,12,58,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,13,32,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,14,56,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,16,38,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,19,40,azure|cohere|openai,gpt-4o-mini,legacy_pairwise,ab|ba|none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,20,47,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,21,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,23,48,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,25,51,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,27,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,28,44,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,30,49,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,31,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
