stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.5e-05,7.5e-05,7.5e-05,7.5e-05
pairwise_preference_generation,1,0.000455,0.000455,0.000455,0.000455
graph_construction,1,0.003147,0.003147,0.003147,0.003147
cycle_detection,1,0.000177,0.000177,0.000177,0.000177
ranking_score_sum,1,9.7e-05,9.7e-05,9.7e-05,9.7e-05
ranking_borda,1,3.3e-05,3.3e-05,3.3e-05,3.3e-05
greedy_fas_solver,1,0.037533,0.037533,0.037533,0.037533
ranking_topological,1,0.000207,0.000207,0.000207,0.000207
evaluation,1,0.000478,0.000478,0.000478,0.000478
total_experiment,1,0.042419,0.042419,0.042419,0.042419
