strategy,budget,budget_frac,n,mean_ndcg
ablation_full,0,0.0,50,0.8008970280945258
ablation_full,5,0.047619047619047616,50,0.6745841170658905
ablation_full,10,0.09523809523809523,50,0.7167315552873234
ablation_full,21,0.2,50,0.772120943499014
ablation_full,42,0.4,50,0.8230651167732616
ablation_full,63,0.6,50,0.906881488932826
ablation_full,105,1.0,50,0.9719611882086407
ablation_impact_only,0,0.0,50,0.8008970280945258
ablation_impact_only,5,0.047619047619047616,50,0.7415110723448015
ablation_impact_only,10,0.09523809523809523,50,0.7687621290218908
ablation_impact_only,21,0.2,50,0.8401129468392002
ablation_impact_only,42,0.4,50,0.9076604717556183
ablation_impact_only,63,0.6,50,0.9384544789493989
ablation_impact_only,105,1.0,50,0.9719611882086407
ablation_impact_x_uncertainty,0,0.0,50,0.8008970280945258
ablation_impact_x_uncertainty,5,0.047619047619047616,50,0.6745841170658905
ablation_impact_x_uncertainty,10,0.09523809523809523,50,0.7167315552873234
ablation_impact_x_uncertainty,21,0.2,50,0.7699810976021513
ablation_impact_x_uncertainty,42,0.4,50,0.8638504817387327
ablation_impact_x_uncertainty,63,0.6,50,0.9249019121694468
ablation_impact_x_uncertainty,105,1.0,50,0.9719611882086407
ablation_uncertainty_only,0,0.0,50,0.8008970280945258
ablation_uncertainty_only,5,0.047619047619047616,50,0.6735100647400274
ablation_uncertainty_only,10,0.09523809523809523,50,0.7105716591277776
ablation_uncertainty_only,21,0.2,50,0.7760435958934682
ablation_uncertainty_only,42,0.4,50,0.8220005904478117
ablation_uncertainty_only,63,0.6,50,0.8920005935167754
ablation_uncertainty_only,105,1.0,50,0.9719611882086407
cycle_scc,0,0.0,50,0.8008970280945258
cycle_scc,5,0.047619047619047616,50,0.6735100647400274
cycle_scc,10,0.09523809523809523,50,0.7105716591277776
cycle_scc,21,0.2,50,0.7751466333685165
cycle_scc,42,0.4,50,0.8130825776345538
cycle_scc,63,0.6,50,0.900501969179063
cycle_scc,105,1.0,50,0.9719611882086407
exhaustive,105,1.0,50,0.9719611882086407
existing_uht,0,0.0,50,0.8008970280945258
existing_uht,5,0.047619047619047616,50,0.7415110723448015
existing_uht,10,0.09523809523809523,50,0.7687621290218908
existing_uht,21,0.2,50,0.8401129468392002
existing_uht,42,0.4,50,0.9076604717556183
existing_uht,63,0.6,50,0.9384544789493989
existing_uht,105,1.0,50,0.9719611882086407
initial,0,0.0,50,0.8008970280945258
proposed,0,0.0,50,0.8008970280945258
proposed,5,0.047619047619047616,50,0.6745841170658905
proposed,10,0.09523809523809523,50,0.7167315552873234
proposed,21,0.2,50,0.772120943499014
proposed,42,0.4,50,0.8230651167732616
proposed,63,0.6,50,0.906881488932826
proposed,105,1.0,50,0.9719611882086407
random_unobserved,0,0.0,50,0.8008970280945258
random_unobserved,5,0.047619047619047616,50,0.8234754325457265
random_unobserved,10,0.09523809523809523,50,0.8620027152825865
random_unobserved,21,0.2,50,0.901682419024972
random_unobserved,42,0.4,50,0.9361617397409244
random_unobserved,63,0.6,50,0.9652569373511075
random_unobserved,105,1.0,50,0.9719611882086407
static_adjacent,0,0.0,50,0.8008970280945258
static_adjacent,5,0.047619047619047616,50,0.768554853631695
static_adjacent,10,0.09523809523809523,50,0.756372508772327
static_adjacent,21,0.2,50,0.8460256675878435
static_adjacent,42,0.4,50,0.8864993193216014
static_adjacent,63,0.6,50,0.9263666613327785
static_adjacent,105,1.0,50,0.9719611882086407
uncertainty_only,0,0.0,50,0.8008970280945258
uncertainty_only,5,0.047619047619047616,50,0.6735100647400274
uncertainty_only,10,0.09523809523809523,50,0.7105716591277776
uncertainty_only,21,0.2,50,0.7760435958934682
uncertainty_only,42,0.4,50,0.8220005904478117
uncertainty_only,63,0.6,50,0.8920005935167754
uncertainty_only,105,1.0,50,0.9719611882086407
