dataset,query_id,method,n_candidates,is_cyclic,n_fas_removed,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,llm_pairwise_copeland,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,bt_from_llm,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,win_rate_from_llm,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,markov_from_llm,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,tournament_sort_from_llm,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_topological,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_weighted_balance,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_copeland,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_copeland_a03,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_copeland_a03,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_balance_a03,15,True,2,1.0,1.0,0.333333,1.0,2.0,2
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_balance_a03,15,True,2,1.0,1.0,0.333333,1.0,3.0,3
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,llm_pairwise_copeland,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,bt_from_llm,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,win_rate_from_llm,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,markov_from_llm,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,tournament_sort_from_llm,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_topological,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_weighted_balance,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_copeland,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_repaired_copeland_a03,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_unrepaired_copeland_a03,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_repaired_balance_a03,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_unrepaired_balance_a03,15,False,0,0.943866,0.854167,0.266667,1.0,0,0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,llm_pairwise_copeland,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,bt_from_llm,15,True,6,0.975788,0.925,0.333333,1.0,5.0,5
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,win_rate_from_llm,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,markov_from_llm,15,True,6,0.989606,0.966667,0.333333,1.0,5.0,5
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,tournament_sort_from_llm,15,True,6,1.0,1.0,0.333333,1.0,4.0,4
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,greedy_fas_topological,15,True,6,0.966834,0.9,0.333333,1.0,5.0,5
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,greedy_fas_weighted_balance,15,True,6,0.970892,0.911111,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,greedy_fas_copeland,15,True,6,0.970892,0.911111,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,hybrid_rrf_repaired_copeland_a03,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,hybrid_rrf_unrepaired_copeland_a03,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,hybrid_rrf_repaired_balance_a03,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,hybrid_rrf_unrepaired_balance_a03,15,True,6,0.975788,0.925,0.333333,1.0,6.0,6
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,llm_pairwise_copeland,15,True,5,0.951231,0.876667,0.333333,1.0,2.0,2
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,bt_from_llm,15,True,5,0.951231,0.876667,0.333333,1.0,2.0,2
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,win_rate_from_llm,15,True,5,0.951231,0.876667,0.333333,1.0,2.0,2
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,markov_from_llm,15,True,5,0.951231,0.876667,0.333333,1.0,4.0,4
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,tournament_sort_from_llm,15,True,5,0.951231,0.876667,0.333333,1.0,2.0,2
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,greedy_fas_topological,15,True,5,0.937413,0.835,0.333333,1.0,5.0,5
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,greedy_fas_weighted_balance,15,True,5,0.943473,0.852857,0.333333,1.0,6.0,6
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,greedy_fas_copeland,15,True,5,0.943473,0.852857,0.333333,1.0,6.0,6
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,hybrid_rrf_repaired_copeland_a03,15,True,5,0.951231,0.876667,0.333333,1.0,4.0,4
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,hybrid_rrf_unrepaired_copeland_a03,15,True,5,0.951231,0.876667,0.333333,1.0,2.0,2
