stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.030859,0.030859,0.030859,0.030859
candidate_selection,1,0.001557,0.001557,0.001557,0.001557
pairwise_preference_generation,50,0.002719,5.4e-05,5.3e-05,8.5e-05
graph_construction,50,0.002349,4.7e-05,4.2e-05,0.000303
cycle_detection,50,0.000897,1.8e-05,1.7e-05,3.4e-05
greedy_fas_solver,50,0.01307,0.000261,0.000257,0.000619
ranking_score_sum,50,0.00073,1.5e-05,1.4e-05,2e-05
ranking_borda,50,0.000615,1.2e-05,1.1e-05,2.6e-05
ranking_pagerank,50,0.272471,0.005449,0.001442,0.197099
ranking_topological,50,0.001918,3.8e-05,3.6e-05,6.8e-05
ranking_fas_weighted_balance,50,0.000947,1.9e-05,1.8e-05,3.4e-05
ranking_fas_copeland,50,0.000871,1.7e-05,1.7e-05,3.2e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.00146,2.9e-05,2.7e-05,5.6e-05
ranking_fas_score_augmented_topological,50,0.001299,2.6e-05,2.5e-05,5.7e-05
ranking_hybrid_rrf_fas_regularized,50,0.00117,2.3e-05,2.3e-05,3.3e-05
ranking_hybrid_rrf_balance_a05,50,0.000988,2e-05,1.9e-05,3.5e-05
ranking_hybrid_rrf_copeland_a03,50,0.000964,1.9e-05,1.9e-05,3.7e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.001905,3.8e-05,3.7e-05,5.3e-05
evaluation,50,0.032916,0.000658,0.000654,0.000787
total_pipeline,1,0.364147,0.364147,0.364147,0.364147
