alpha,beta,mean_tau,std_tau,mean_gap_to_borda,mean_gap_to_score_sum,mean_gap_to_hybrid_rrf_fas_regularized
0.5,0.1,0.684211,0.082213,-0.071579,-0.004211,0.0
0.5,0.25,0.68,0.073909,-0.07579,-0.008421,-0.004211
0.5,0.5,0.661053,0.088509,-0.094737,-0.027368,-0.023158
0.5,1.0,0.663158,0.082549,-0.092631,-0.025263,-0.021053
1.0,0.1,0.692632,0.0727,-0.063158,0.004211,0.008421
1.0,0.25,0.688421,0.091343,-0.067369,0.0,0.004211
1.0,0.5,0.68,0.073909,-0.07579,-0.008421,-0.004211
1.0,1.0,0.661053,0.088509,-0.094737,-0.027368,-0.023158
2.0,0.1,0.686316,0.068784,-0.069474,-0.002105,0.002105
2.0,0.25,0.688421,0.077567,-0.067368,-0.0,0.004211
2.0,0.5,0.688421,0.091343,-0.067369,0.0,0.004211
2.0,1.0,0.68,0.073909,-0.07579,-0.008421,-0.004211
4.0,0.1,0.690526,0.063856,-0.065263,0.002105,0.006316
4.0,0.25,0.688421,0.070061,-0.067369,0.0,0.00421
4.0,0.5,0.688421,0.077567,-0.067368,-0.0,0.004211
4.0,1.0,0.688421,0.091343,-0.067369,0.0,0.004211
