noise,alpha_s,alpha_b,beta,mean_tau,std_tau,mean_gap_to_borda,mean_gap_to_score_sum,mean_gap_to_hybrid_rrf_fas_regularized,mean_gap_to_fas_balance_score_prior_alpha_beta
0.25,0.5,0.5,0.05,0.72,0.056978,-0.0,0.046316,0.056842,0.048421
0.25,0.5,0.5,0.1,0.715789,0.068623,-0.00421,0.042106,0.052632,0.044211
0.25,0.5,0.5,0.25,0.711579,0.089195,-0.008421,0.037895,0.048421,0.04
0.25,0.5,1.0,0.05,0.709474,0.048007,-0.010526,0.03579,0.046316,0.037895
0.25,0.5,1.0,0.1,0.715789,0.056195,-0.004211,0.042105,0.052631,0.044211
0.25,0.5,1.0,0.25,0.71579,0.063158,-0.004211,0.042105,0.052632,0.044211
0.25,0.5,2.0,0.05,0.715789,0.044035,-0.00421,0.042105,0.052632,0.044211
0.25,0.5,2.0,0.1,0.71579,0.051568,-0.004211,0.042105,0.052631,0.044211
0.25,0.5,2.0,0.25,0.713684,0.052842,-0.006316,0.04,0.050526,0.042105
0.25,1.0,0.5,0.05,0.711579,0.073534,-0.008421,0.037895,0.048421,0.04
0.25,1.0,0.5,0.1,0.711579,0.071625,-0.008421,0.037895,0.048421,0.04
0.25,1.0,0.5,0.25,0.711579,0.084735,-0.008421,0.037895,0.048421,0.04
0.25,1.0,1.0,0.05,0.717895,0.053363,-0.002105,0.044211,0.054737,0.046316
0.25,1.0,1.0,0.1,0.72,0.056978,-0.0,0.046316,0.056842,0.048421
0.25,1.0,1.0,0.25,0.717895,0.067154,-0.002105,0.044211,0.054737,0.046316
0.25,1.0,2.0,0.05,0.711579,0.045641,-0.008421,0.037895,0.048421,0.04
0.25,1.0,2.0,0.1,0.709474,0.048007,-0.010526,0.03579,0.046316,0.037895
0.25,1.0,2.0,0.25,0.717895,0.054899,-0.002105,0.044211,0.054737,0.046316
0.30,0.5,0.5,0.05,0.606316,0.063421,0.00421,0.084211,0.046316,0.063158
0.30,0.5,0.5,0.1,0.616842,0.062982,0.014737,0.094737,0.056842,0.073684
0.30,0.5,0.5,0.25,0.606316,0.10249,0.00421,0.084211,0.046316,0.063158
0.30,0.5,1.0,0.05,0.606316,0.049709,0.004211,0.084211,0.046316,0.063158
0.30,0.5,1.0,0.1,0.614737,0.051889,0.012632,0.092632,0.054737,0.071579
0.30,0.5,1.0,0.25,0.608421,0.0727,0.006316,0.086316,0.048421,0.065263
0.30,0.5,2.0,0.05,0.597895,0.049035,-0.004211,0.075789,0.037895,0.054737
0.30,0.5,2.0,0.1,0.608421,0.046721,0.006316,0.086316,0.048421,0.065263
0.30,0.5,2.0,0.25,0.6,0.058134,-0.002105,0.077895,0.04,0.056842
0.30,1.0,0.5,0.05,0.587369,0.069586,-0.014737,0.065263,0.027368,0.04421
0.30,1.0,0.5,0.1,0.591579,0.068381,-0.010526,0.069474,0.031579,0.048421
0.30,1.0,0.5,0.25,0.585263,0.090734,-0.016842,0.063158,0.025263,0.042105
0.30,1.0,1.0,0.05,0.604211,0.055998,0.002105,0.082105,0.044211,0.061053
0.30,1.0,1.0,0.1,0.606316,0.063421,0.00421,0.084211,0.046316,0.063158
0.30,1.0,1.0,0.25,0.616842,0.071238,0.014737,0.094737,0.056842,0.073684
0.30,1.0,2.0,0.05,0.606316,0.048008,0.004211,0.084211,0.046316,0.063158
0.30,1.0,2.0,0.1,0.606316,0.049709,0.004211,0.084211,0.046316,0.063158
0.30,1.0,2.0,0.25,0.610526,0.0557,0.008421,0.088421,0.050526,0.067369
