scheme,seed,best_method,score_sum_tau,borda_tau,greedy_fas_topological_tau,lexicographic_topological_tau,priority_topological_score_sum_tau,priority_topological_balance_tau,fas_weighted_balance_tau,fas_copeland_tau,random_topo_tau_mean,random_topo_tau_std,random_topo_tau_best,random_topo_tau_worst,current_topo_vs_random_mean_gap,best_random_vs_current_gap,ambiguous_steps,max_frontier,original_pairwise_inconsistency,after_fas_pairwise_inconsistency,inconsistency_drop,fas_removed_edges
margin,42,borda,0.7578947368421053,0.7789473684210526,0.45263157894736844,0.4631578947368421,0.4842105263157895,0.5052631578947369,0.7368421052631579,0.5473684210526316,0.45625,0.01962412991878244,0.49473684210526314,0.4105263157894737,-0.0036184210526315486,0.0421052631578947,6,3,37,16,21,62
margin,123,borda,0.6421052631578947,0.7157894736842105,0.21052631578947367,0.2,0.22105263157894736,0.22105263157894736,0.5052631578947369,0.3473684210526316,0.19736842105263158,0.019648927004036944,0.24210526315789474,0.14736842105263157,0.01315789473684209,0.03157894736842107,5,2,43,25,18,72
margin,456,borda,0.6105263157894737,0.7578947368421053,0.30526315789473685,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.5789473684210527,0.5578947368421052,0.3004111842105263,0.022557342432744962,0.35789473684210527,0.25263157894736843,0.004851973684210531,0.05263157894736842,9,4,43,20,23,87
margin,789,borda,0.7052631578947368,0.8,0.23157894736842105,0.23157894736842105,0.28421052631578947,0.28421052631578947,0.6631578947368421,0.5263157894736842,0.2506578947368421,0.02020283227997906,0.29473684210526313,0.2,-0.01907894736842103,0.06315789473684208,12,3,37,16,21,104
margin,1234,score_sum,0.7263157894736842,0.7263157894736842,0.21052631578947367,0.24210526315789474,0.24210526315789474,0.23157894736842105,0.4842105263157895,0.3894736842105263,0.19588815789473685,0.02555595047962211,0.2736842105263158,0.1368421052631579,0.014638157894736825,0.06315789473684214,8,4,43,17,26,93
uniform,42,score_sum,0.7789473684210526,0.7789473684210526,0.031578947368421054,0.031578947368421054,0.06315789473684211,0.06315789473684211,0.35789473684210527,0.35789473684210527,0.015049342105263158,0.02053995809090269,0.07368421052631578,-0.031578947368421054,0.016529605263157894,0.04210526315789473,8,3,37,22,15,89
uniform,123,score_sum,0.7157894736842105,0.7157894736842105,0.35789473684210527,0.4,0.4,0.4,0.43157894736842106,0.43157894736842106,0.3084703947368421,0.049154178860282775,0.3894736842105263,0.15789473684210525,0.04942434210526314,0.03157894736842104,10,2,43,21,22,82
uniform,456,score_sum,0.7578947368421053,0.7578947368421053,-0.2,-0.17894736842105263,-0.17894736842105263,-0.17894736842105263,0.05263157894736842,0.05263157894736842,-0.20789473684210527,0.02527549041091914,-0.1368421052631579,-0.2736842105263158,0.00789473684210526,0.06315789473684211,8,3,43,34,9,99
uniform,789,score_sum,0.8,0.8,-0.05263157894736842,0.010526315789473684,0.031578947368421054,0.031578947368421054,0.29473684210526313,0.29473684210526313,-0.045559210526315785,0.02995002112823491,0.031578947368421054,-0.10526315789473684,-0.007072368421052633,0.08421052631578947,10,3,37,22,15,98
uniform,1234,score_sum,0.7263157894736842,0.7263157894736842,-0.16842105263157894,-0.1368421052631579,-0.14736842105263157,-0.14736842105263157,0.10526315789473684,0.10526315789473684,-0.20148026315789475,0.02083499243162902,-0.1368421052631579,-0.2631578947368421,0.0330592105263158,0.03157894736842104,6,3,43,28,15,107
