seed,alpha,method,kendall_tau,gap_to_borda,gap_to_score_sum
42,0.0,borda,0.778947,0.0,0.021053
42,0.0,fas_balance_score_prior_alpha,0.736842,-0.042105,-0.021053
42,0.0,fas_weighted_balance,0.736842,-0.042105,-0.021053
42,0.0,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0
42,0.0,score_sum,0.757895,-0.021053,0.0
123,0.0,borda,0.715789,0.0,0.073684
123,0.0,fas_balance_score_prior_alpha,0.505263,-0.210526,-0.136842
123,0.0,fas_weighted_balance,0.505263,-0.210526,-0.136842
123,0.0,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632
123,0.0,score_sum,0.642105,-0.073684,0.0
456,0.0,borda,0.757895,0.0,0.147368
456,0.0,fas_balance_score_prior_alpha,0.578947,-0.178947,-0.031579
456,0.0,fas_weighted_balance,0.578947,-0.178947,-0.031579
456,0.0,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526
456,0.0,score_sum,0.610526,-0.147368,0.0
789,0.0,borda,0.8,0.0,0.094737
789,0.0,fas_balance_score_prior_alpha,0.663158,-0.136842,-0.042105
789,0.0,fas_weighted_balance,0.663158,-0.136842,-0.042105
789,0.0,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579
789,0.0,score_sum,0.705263,-0.094737,0.0
1234,0.0,borda,0.726316,0.0,0.0
1234,0.0,fas_balance_score_prior_alpha,0.484211,-0.242105,-0.242105
1234,0.0,fas_weighted_balance,0.484211,-0.242105,-0.242105
1234,0.0,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526
1234,0.0,score_sum,0.726316,0.0,0.0
42,0.25,borda,0.778947,0.0,0.021053
42,0.25,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0
42,0.25,fas_weighted_balance,0.736842,-0.042105,-0.021053
42,0.25,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0
42,0.25,score_sum,0.757895,-0.021053,0.0
123,0.25,borda,0.715789,0.0,0.073684
123,0.25,fas_balance_score_prior_alpha,0.526316,-0.189474,-0.115789
123,0.25,fas_weighted_balance,0.505263,-0.210526,-0.136842
123,0.25,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632
123,0.25,score_sum,0.642105,-0.073684,0.0
456,0.25,borda,0.757895,0.0,0.147368
456,0.25,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526
456,0.25,fas_weighted_balance,0.578947,-0.178947,-0.031579
456,0.25,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526
456,0.25,score_sum,0.610526,-0.147368,0.0
789,0.25,borda,0.8,0.0,0.094737
789,0.25,fas_balance_score_prior_alpha,0.715789,-0.084211,0.010526
789,0.25,fas_weighted_balance,0.663158,-0.136842,-0.042105
789,0.25,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579
789,0.25,score_sum,0.705263,-0.094737,0.0
1234,0.25,borda,0.726316,0.0,0.0
1234,0.25,fas_balance_score_prior_alpha,0.589474,-0.136842,-0.136842
1234,0.25,fas_weighted_balance,0.484211,-0.242105,-0.242105
1234,0.25,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526
1234,0.25,score_sum,0.726316,0.0,0.0
42,0.5,borda,0.778947,0.0,0.021053
42,0.5,fas_balance_score_prior_alpha,0.747368,-0.031579,-0.010526
42,0.5,fas_weighted_balance,0.736842,-0.042105,-0.021053
42,0.5,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0
42,0.5,score_sum,0.757895,-0.021053,0.0
123,0.5,borda,0.715789,0.0,0.073684
123,0.5,fas_balance_score_prior_alpha,0.536842,-0.178947,-0.105263
123,0.5,fas_weighted_balance,0.505263,-0.210526,-0.136842
123,0.5,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632
123,0.5,score_sum,0.642105,-0.073684,0.0
456,0.5,borda,0.757895,0.0,0.147368
456,0.5,fas_balance_score_prior_alpha,0.652632,-0.105263,0.042105
456,0.5,fas_weighted_balance,0.578947,-0.178947,-0.031579
456,0.5,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526
456,0.5,score_sum,0.610526,-0.147368,0.0
789,0.5,borda,0.8,0.0,0.094737
789,0.5,fas_balance_score_prior_alpha,0.726316,-0.073684,0.021053
789,0.5,fas_weighted_balance,0.663158,-0.136842,-0.042105
789,0.5,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579
789,0.5,score_sum,0.705263,-0.094737,0.0
1234,0.5,borda,0.726316,0.0,0.0
1234,0.5,fas_balance_score_prior_alpha,0.652632,-0.073684,-0.073684
1234,0.5,fas_weighted_balance,0.484211,-0.242105,-0.242105
1234,0.5,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526
1234,0.5,score_sum,0.726316,0.0,0.0
42,1.0,borda,0.778947,0.0,0.021053
42,1.0,fas_balance_score_prior_alpha,0.768421,-0.010526,0.010526
42,1.0,fas_weighted_balance,0.736842,-0.042105,-0.021053
42,1.0,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0
42,1.0,score_sum,0.757895,-0.021053,0.0
123,1.0,borda,0.715789,0.0,0.073684
123,1.0,fas_balance_score_prior_alpha,0.547368,-0.168421,-0.094737
123,1.0,fas_weighted_balance,0.505263,-0.210526,-0.136842
123,1.0,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632
123,1.0,score_sum,0.642105,-0.073684,0.0
456,1.0,borda,0.757895,0.0,0.147368
456,1.0,fas_balance_score_prior_alpha,0.610526,-0.147368,0.0
456,1.0,fas_weighted_balance,0.578947,-0.178947,-0.031579
456,1.0,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526
456,1.0,score_sum,0.610526,-0.147368,0.0
789,1.0,borda,0.8,0.0,0.094737
789,1.0,fas_balance_score_prior_alpha,0.726316,-0.073684,0.021053
789,1.0,fas_weighted_balance,0.663158,-0.136842,-0.042105
789,1.0,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579
789,1.0,score_sum,0.705263,-0.094737,0.0
1234,1.0,borda,0.726316,0.0,0.0
1234,1.0,fas_balance_score_prior_alpha,0.652632,-0.073684,-0.073684
1234,1.0,fas_weighted_balance,0.484211,-0.242105,-0.242105
1234,1.0,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526
1234,1.0,score_sum,0.726316,0.0,0.0
42,2.0,borda,0.778947,0.0,0.021053
42,2.0,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0
42,2.0,fas_weighted_balance,0.736842,-0.042105,-0.021053
42,2.0,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0
42,2.0,score_sum,0.757895,-0.021053,0.0
123,2.0,borda,0.715789,0.0,0.073684
123,2.0,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579
123,2.0,fas_weighted_balance,0.505263,-0.210526,-0.136842
123,2.0,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632
123,2.0,score_sum,0.642105,-0.073684,0.0
456,2.0,borda,0.757895,0.0,0.147368
456,2.0,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526
456,2.0,fas_weighted_balance,0.578947,-0.178947,-0.031579
456,2.0,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526
456,2.0,score_sum,0.610526,-0.147368,0.0
789,2.0,borda,0.8,0.0,0.094737
789,2.0,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105
789,2.0,fas_weighted_balance,0.663158,-0.136842,-0.042105
789,2.0,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579
789,2.0,score_sum,0.705263,-0.094737,0.0
1234,2.0,borda,0.726316,0.0,0.0
1234,2.0,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105
1234,2.0,fas_weighted_balance,0.484211,-0.242105,-0.242105
1234,2.0,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526
1234,2.0,score_sum,0.726316,0.0,0.0
