dataset,preference_source,method_a,method_b,metric,mean_diff,ci_lower,ci_upper,p_value,significant,n_queries
bright,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels_flip,greedy_fas_weighted_balance,borda,kendall_tau,-0.080000,-0.160000,-0.013333,0.024000,True,20
bright,qrels_flip,hybrid_rrf_fas_regularized,borda,kendall_tau,-0.080000,-0.160000,-0.013333,0.024000,True,20
bright,qrels_flip,greedy_fas_weighted_balance,score_sum,kendall_tau,-0.062222,-0.122222,-0.008889,0.020400,True,20
bright,qrels_flip,hybrid_rrf_fas_regularized,score_sum,kendall_tau,-0.062222,-0.122222,-0.008889,0.020400,True,20
bright,qrels_flip,greedy_fas_weighted_balance,borda,ndcg,-0.021170,-0.058999,0.009574,0.213200,False,20
bright,qrels_flip,hybrid_rrf_fas_regularized,borda,ndcg,-0.021170,-0.058999,0.009574,0.213200,False,20
bright,qrels_flip,greedy_fas_weighted_balance,score_sum,ndcg,-0.031673,-0.065325,-0.006703,0.006000,True,20
bright,qrels_flip,hybrid_rrf_fas_regularized,score_sum,ndcg,-0.031673,-0.065325,-0.006703,0.006000,True,20
bright,qrels_flip,greedy_fas_weighted_balance,borda,pairwise_accuracy,-0.033826,-0.082911,0.008569,0.125600,False,20
bright,qrels_flip,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,-0.033826,-0.082911,0.008569,0.125600,False,20
bright,qrels_flip,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,-0.030607,-0.069386,0.003659,0.078000,False,20
bright,qrels_flip,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,-0.030607,-0.069386,0.003659,0.078000,False,20
