seed,noise,n_items,method,kendall_tau,inconsistency_before,inconsistency_after,removed_edges,removed_weight,runtime_total_s,runtime_repair_s
42,0.05,20,borda,0.926316,10,10,0,0.0,1.5e-05,0.0
42,0.05,20,fas_copeland,0.821053,10,5,41,5.807113,0.003581,0.003563
42,0.05,20,fas_weighted_balance,0.894737,10,5,41,5.807113,0.003599,0.003563
42,0.05,20,greedy_fas_topological,0.726316,10,5,41,5.807113,0.003622,0.003563
42,0.05,20,priority_topological_score_sum,0.736842,10,5,41,5.807113,0.003626,0.003563
42,0.05,20,score_sum,0.926316,10,10,0,0.0,3.8e-05,0.0
42,0.10,20,borda,0.884211,23,23,0,0.0,1.4e-05,0.0
42,0.10,20,fas_copeland,0.736842,23,8,61,10.535804,0.003563,0.003546
42,0.10,20,fas_weighted_balance,0.831579,23,8,61,10.535804,0.003579,0.003546
42,0.10,20,greedy_fas_topological,0.6,23,8,61,10.535804,0.0036,0.003546
42,0.10,20,priority_topological_score_sum,0.578947,23,8,61,10.535804,0.003611,0.003546
42,0.10,20,score_sum,0.810526,23,23,0,0.0,3.3e-05,0.0
42,0.15,20,borda,0.863158,29,29,0,0.0,1.3e-05,0.0
42,0.15,20,fas_copeland,0.684211,29,9,73,13.689272,0.003791,0.003776
42,0.15,20,fas_weighted_balance,0.757895,29,9,73,13.689272,0.003807,0.003776
42,0.15,20,greedy_fas_topological,0.484211,29,9,73,13.689272,0.003825,0.003776
42,0.15,20,priority_topological_score_sum,0.515789,29,9,73,13.689272,0.003827,0.003776
42,0.15,20,score_sum,0.757895,29,29,0,0.0,3.2e-05,0.0
42,0.20,20,borda,0.778947,37,37,0,0.0,1.3e-05,0.0
42,0.20,20,fas_copeland,0.547368,37,16,62,14.062826,0.00383,0.003814
42,0.20,20,fas_weighted_balance,0.736842,37,16,62,14.062826,0.003846,0.003814
42,0.20,20,greedy_fas_topological,0.452632,37,16,62,14.062826,0.003868,0.003814
42,0.20,20,priority_topological_score_sum,0.484211,37,16,62,14.062826,0.003866,0.003814
42,0.20,20,score_sum,0.757895,37,37,0,0.0,3.4e-05,0.0
123,0.20,20,borda,0.715789,43,43,0,0.0,1.3e-05,0.0
123,0.20,20,fas_copeland,0.347368,43,25,72,15.694768,0.002971,0.002955
123,0.20,20,fas_weighted_balance,0.505263,43,25,72,15.694768,0.002985,0.002955
123,0.20,20,greedy_fas_topological,0.210526,43,25,72,15.694768,0.003004,0.002955
123,0.20,20,priority_topological_score_sum,0.221053,43,25,72,15.694768,0.003004,0.002955
123,0.20,20,score_sum,0.642105,43,43,0,0.0,3.4e-05,0.0
456,0.20,20,borda,0.757895,43,43,0,0.0,1.2e-05,0.0
456,0.20,20,fas_copeland,0.557895,43,20,87,20.595784,0.003455,0.003441
456,0.20,20,fas_weighted_balance,0.578947,43,20,87,20.595784,0.00347,0.003441
456,0.20,20,greedy_fas_topological,0.305263,43,20,87,20.595784,0.00349,0.003441
456,0.20,20,priority_topological_score_sum,0.326316,43,20,87,20.595784,0.003493,0.003441
456,0.20,20,score_sum,0.610526,43,43,0,0.0,3.3e-05,0.0
789,0.20,20,borda,0.8,37,37,0,0.0,1.1e-05,0.0
789,0.20,20,fas_copeland,0.526316,37,16,104,14.548819,0.003678,0.003662
789,0.20,20,fas_weighted_balance,0.663158,37,16,104,14.548819,0.003687,0.003662
789,0.20,20,greedy_fas_topological,0.231579,37,16,104,14.548819,0.00371,0.003662
789,0.20,20,priority_topological_score_sum,0.284211,37,16,104,14.548819,0.003709,0.003662
789,0.20,20,score_sum,0.705263,37,37,0,0.0,3.2e-05,0.0
1234,0.20,20,borda,0.726316,43,43,0,0.0,1.2e-05,0.0
1234,0.20,20,fas_copeland,0.389474,43,17,93,25.952804,0.004869,0.004854
1234,0.20,20,fas_weighted_balance,0.484211,43,17,93,25.952804,0.004882,0.004854
1234,0.20,20,greedy_fas_topological,0.210526,43,17,93,25.952804,0.004904,0.004854
1234,0.20,20,priority_topological_score_sum,0.242105,43,17,93,25.952804,0.004903,0.004854
1234,0.20,20,score_sum,0.726316,43,43,0,0.0,3.2e-05,0.0
42,0.25,20,borda,0.726316,56,56,0,0.0,1.2e-05,0.0
42,0.25,20,fas_copeland,0.621053,56,21,72,16.961237,0.003442,0.003428
42,0.25,20,fas_weighted_balance,0.736842,56,21,72,16.961237,0.003458,0.003428
42,0.25,20,greedy_fas_topological,0.4,56,21,72,16.961237,0.00348,0.003428
42,0.25,20,priority_topological_score_sum,0.463158,56,21,72,16.961237,0.003479,0.003428
42,0.25,20,score_sum,0.789474,56,56,0,0.0,3.3e-05,0.0
42,0.30,20,borda,0.578947,67,67,0,0.0,1.2e-05,0.0
42,0.30,20,fas_copeland,0.568421,67,27,70,16.760696,0.003534,0.003518
42,0.30,20,fas_weighted_balance,0.642105,67,27,70,16.760696,0.003549,0.003518
42,0.30,20,greedy_fas_topological,0.410526,67,27,70,16.760696,0.003571,0.003518
42,0.30,20,priority_topological_score_sum,0.410526,67,27,70,16.760696,0.003568,0.003518
42,0.30,20,score_sum,0.526316,67,67,0,0.0,3.2e-05,0.0
