path,experiment_family,dataset,methods_present,metrics_present,status
outputs/noise_sweep_n0.05/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.05/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.05/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/noise_sweep_n0.10/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.10/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.10/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/noise_sweep_n0.15/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.15/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.15/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/noise_sweep_n0.20/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.20/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.20/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/noise_sweep_n0.25/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.25/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.25/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/noise_sweep_n0.30/synthetic_results.json,noise_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/noise_sweep_n0.30/timings/synthetic_timings.csv,noise_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/noise_sweep_n0.30/timings/synthetic_timings.json,noise_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/scale_sweep_n10/synthetic_results.json,scale_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/scale_sweep_n10/timings/synthetic_timings.csv,scale_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/scale_sweep_n10/timings/synthetic_timings.json,scale_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/scale_sweep_n100/synthetic_results.json,scale_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/scale_sweep_n100/timings/synthetic_timings.csv,scale_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/scale_sweep_n100/timings/synthetic_timings.json,scale_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/scale_sweep_n20/synthetic_results.json,scale_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/scale_sweep_n20/timings/synthetic_timings.csv,scale_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/scale_sweep_n20/timings/synthetic_timings.json,scale_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/scale_sweep_n50/synthetic_results.json,scale_sweep,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/scale_sweep_n50/timings/synthetic_timings.csv,scale_sweep,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/scale_sweep_n50/timings/synthetic_timings.json,scale_sweep,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_123/synthetic_results.json,margin_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/margin_multiseed_n20_noise0.20/seed_123/timings/synthetic_timings.csv,margin_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_123/timings/synthetic_timings.json,margin_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_1234/synthetic_results.json,margin_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/margin_multiseed_n20_noise0.20/seed_1234/timings/synthetic_timings.csv,margin_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_1234/timings/synthetic_timings.json,margin_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_42/synthetic_results.json,margin_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/margin_multiseed_n20_noise0.20/seed_42/timings/synthetic_timings.csv,margin_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_42/timings/synthetic_timings.json,margin_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_456/synthetic_results.json,margin_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/margin_multiseed_n20_noise0.20/seed_456/timings/synthetic_timings.csv,margin_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_456/timings/synthetic_timings.json,margin_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_789/synthetic_results.json,margin_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/margin_multiseed_n20_noise0.20/seed_789/timings/synthetic_timings.csv,margin_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/margin_multiseed_n20_noise0.20/seed_789/timings/synthetic_timings.json,margin_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_123/synthetic_results.json,uniform_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/uniform_multiseed_n20_noise0.20/seed_123/timings/synthetic_timings.csv,uniform_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_123/timings/synthetic_timings.json,uniform_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_1234/synthetic_results.json,uniform_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/uniform_multiseed_n20_noise0.20/seed_1234/timings/synthetic_timings.csv,uniform_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_1234/timings/synthetic_timings.json,uniform_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_42/synthetic_results.json,uniform_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/uniform_multiseed_n20_noise0.20/seed_42/timings/synthetic_timings.csv,uniform_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_42/timings/synthetic_timings.json,uniform_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_456/synthetic_results.json,uniform_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/uniform_multiseed_n20_noise0.20/seed_456/timings/synthetic_timings.csv,uniform_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_456/timings/synthetic_timings.json,uniform_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_789/synthetic_results.json,uniform_multiseed,synthetic,score_sum;borda;greedy_fas_topological,kendall_tau;n_violations;pairwise_inconsistency_count;fas_n_removed_edges;fas_total_removed_weight;runtime_total_s,final
outputs/uniform_multiseed_n20_noise0.20/seed_789/timings/synthetic_timings.csv,uniform_multiseed,synthetic,timing_stages,stage;total_s;mean_s;median_s;max_s,diagnostic
outputs/uniform_multiseed_n20_noise0.20/seed_789/timings/synthetic_timings.json,uniform_multiseed,synthetic,timing_stages,metadata;summary;records,diagnostic
docs/RESULTS_AUDIT.md,results_audit,mixed,n/a,audit_summary,final
