seed,alpha,beta,method,kendall_tau,gap_to_borda,gap_to_score_sum,gap_to_hybrid_rrf_fas_regularized
42,0.5,0.1,borda,0.778947,0.0,0.021053,0.021053
42,0.5,0.1,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,0.5,0.1,fas_balance_score_prior_alpha_beta,0.757895,-0.021053,0.0,0.0
42,0.5,0.1,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,0.5,0.1,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,0.5,0.1,score_sum,0.757895,-0.021053,0.0,0.0
123,0.5,0.1,borda,0.715789,0.0,0.073684,0.126316
123,0.5,0.1,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,0.5,0.1,fas_balance_score_prior_alpha_beta,0.589474,-0.126316,-0.052632,0.0
123,0.5,0.1,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,0.5,0.1,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,0.5,0.1,score_sum,0.642105,-0.073684,0.0,0.052632
456,0.5,0.1,borda,0.757895,0.0,0.147368,0.157895
456,0.5,0.1,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,0.5,0.1,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,0.5,0.1,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,0.5,0.1,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,0.5,0.1,score_sum,0.610526,-0.147368,0.0,0.010526
789,0.5,0.1,borda,0.8,0.0,0.094737,0.063158
789,0.5,0.1,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,0.5,0.1,fas_balance_score_prior_alpha_beta,0.736842,-0.063158,0.031579,0.0
789,0.5,0.1,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,0.5,0.1,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,0.5,0.1,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,0.5,0.1,borda,0.726316,0.0,0.0,-0.010526
1234,0.5,0.1,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,0.5,0.1,fas_balance_score_prior_alpha_beta,0.736842,0.010526,0.010526,0.0
1234,0.5,0.1,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,0.5,0.1,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,0.5,0.1,score_sum,0.726316,0.0,0.0,-0.010526
42,0.5,0.25,borda,0.778947,0.0,0.021053,0.021053
42,0.5,0.25,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,0.5,0.25,fas_balance_score_prior_alpha_beta,0.757895,-0.021053,0.0,0.0
42,0.5,0.25,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,0.5,0.25,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,0.5,0.25,score_sum,0.757895,-0.021053,0.0,0.0
123,0.5,0.25,borda,0.715789,0.0,0.073684,0.126316
123,0.5,0.25,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,0.5,0.25,fas_balance_score_prior_alpha_beta,0.610526,-0.105263,-0.031579,0.021053
123,0.5,0.25,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,0.5,0.25,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,0.5,0.25,score_sum,0.642105,-0.073684,0.0,0.052632
456,0.5,0.25,borda,0.757895,0.0,0.147368,0.157895
456,0.5,0.25,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,0.5,0.25,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,0.5,0.25,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,0.5,0.25,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,0.5,0.25,score_sum,0.610526,-0.147368,0.0,0.010526
789,0.5,0.25,borda,0.8,0.0,0.094737,0.063158
789,0.5,0.25,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,0.5,0.25,fas_balance_score_prior_alpha_beta,0.747368,-0.052632,0.042105,0.010526
789,0.5,0.25,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,0.5,0.25,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,0.5,0.25,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,0.5,0.25,borda,0.726316,0.0,0.0,-0.010526
1234,0.5,0.25,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,0.5,0.25,fas_balance_score_prior_alpha_beta,0.684211,-0.042105,-0.042105,-0.052632
1234,0.5,0.25,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,0.5,0.25,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,0.5,0.25,score_sum,0.726316,0.0,0.0,-0.010526
42,0.5,0.5,borda,0.778947,0.0,0.021053,0.021053
42,0.5,0.5,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,0.5,0.5,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
42,0.5,0.5,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,0.5,0.5,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,0.5,0.5,score_sum,0.757895,-0.021053,0.0,0.0
123,0.5,0.5,borda,0.715789,0.0,0.073684,0.126316
123,0.5,0.5,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,0.5,0.5,fas_balance_score_prior_alpha_beta,0.547368,-0.168421,-0.094737,-0.042105
123,0.5,0.5,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,0.5,0.5,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,0.5,0.5,score_sum,0.642105,-0.073684,0.0,0.052632
456,0.5,0.5,borda,0.757895,0.0,0.147368,0.157895
456,0.5,0.5,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,0.5,0.5,fas_balance_score_prior_alpha_beta,0.610526,-0.147368,0.0,0.010526
456,0.5,0.5,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,0.5,0.5,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,0.5,0.5,score_sum,0.610526,-0.147368,0.0,0.010526
789,0.5,0.5,borda,0.8,0.0,0.094737,0.063158
789,0.5,0.5,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,0.5,0.5,fas_balance_score_prior_alpha_beta,0.726316,-0.073684,0.021053,-0.010526
789,0.5,0.5,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,0.5,0.5,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,0.5,0.5,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,0.5,0.5,borda,0.726316,0.0,0.0,-0.010526
1234,0.5,0.5,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,0.5,0.5,fas_balance_score_prior_alpha_beta,0.652632,-0.073684,-0.073684,-0.084211
1234,0.5,0.5,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,0.5,0.5,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,0.5,0.5,score_sum,0.726316,0.0,0.0,-0.010526
42,0.5,1.0,borda,0.778947,0.0,0.021053,0.021053
42,0.5,1.0,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,0.5,1.0,fas_balance_score_prior_alpha_beta,0.747368,-0.031579,-0.010526,-0.010526
42,0.5,1.0,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,0.5,1.0,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,0.5,1.0,score_sum,0.757895,-0.021053,0.0,0.0
123,0.5,1.0,borda,0.715789,0.0,0.073684,0.126316
123,0.5,1.0,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,0.5,1.0,fas_balance_score_prior_alpha_beta,0.536842,-0.178947,-0.105263,-0.052632
123,0.5,1.0,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,0.5,1.0,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,0.5,1.0,score_sum,0.642105,-0.073684,0.0,0.052632
456,0.5,1.0,borda,0.757895,0.0,0.147368,0.157895
456,0.5,1.0,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,0.5,1.0,fas_balance_score_prior_alpha_beta,0.652632,-0.105263,0.042105,0.052632
456,0.5,1.0,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,0.5,1.0,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,0.5,1.0,score_sum,0.610526,-0.147368,0.0,0.010526
789,0.5,1.0,borda,0.8,0.0,0.094737,0.063158
789,0.5,1.0,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,0.5,1.0,fas_balance_score_prior_alpha_beta,0.726316,-0.073684,0.021053,-0.010526
789,0.5,1.0,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,0.5,1.0,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,0.5,1.0,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,0.5,1.0,borda,0.726316,0.0,0.0,-0.010526
1234,0.5,1.0,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,0.5,1.0,fas_balance_score_prior_alpha_beta,0.652632,-0.073684,-0.073684,-0.084211
1234,0.5,1.0,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,0.5,1.0,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,0.5,1.0,score_sum,0.726316,0.0,0.0,-0.010526
42,1.0,0.1,borda,0.778947,0.0,0.021053,0.021053
42,1.0,0.1,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,1.0,0.1,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
42,1.0,0.1,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,1.0,0.1,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,1.0,0.1,score_sum,0.757895,-0.021053,0.0,0.0
123,1.0,0.1,borda,0.715789,0.0,0.073684,0.126316
123,1.0,0.1,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,1.0,0.1,fas_balance_score_prior_alpha_beta,0.631579,-0.084211,-0.010526,0.042105
123,1.0,0.1,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,1.0,0.1,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,1.0,0.1,score_sum,0.642105,-0.073684,0.0,0.052632
456,1.0,0.1,borda,0.757895,0.0,0.147368,0.157895
456,1.0,0.1,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,1.0,0.1,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,1.0,0.1,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,1.0,0.1,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,1.0,0.1,score_sum,0.610526,-0.147368,0.0,0.010526
789,1.0,0.1,borda,0.8,0.0,0.094737,0.063158
789,1.0,0.1,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,1.0,0.1,fas_balance_score_prior_alpha_beta,0.726316,-0.073684,0.021053,-0.010526
789,1.0,0.1,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,1.0,0.1,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,1.0,0.1,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,1.0,0.1,borda,0.726316,0.0,0.0,-0.010526
1234,1.0,0.1,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,1.0,0.1,fas_balance_score_prior_alpha_beta,0.736842,0.010526,0.010526,0.0
1234,1.0,0.1,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,1.0,0.1,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,1.0,0.1,score_sum,0.726316,0.0,0.0,-0.010526
42,1.0,0.25,borda,0.778947,0.0,0.021053,0.021053
42,1.0,0.25,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,1.0,0.25,fas_balance_score_prior_alpha_beta,0.757895,-0.021053,0.0,0.0
42,1.0,0.25,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,1.0,0.25,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,1.0,0.25,score_sum,0.757895,-0.021053,0.0,0.0
123,1.0,0.25,borda,0.715789,0.0,0.073684,0.126316
123,1.0,0.25,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,1.0,0.25,fas_balance_score_prior_alpha_beta,0.578947,-0.136842,-0.063158,-0.010526
123,1.0,0.25,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,1.0,0.25,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,1.0,0.25,score_sum,0.642105,-0.073684,0.0,0.052632
456,1.0,0.25,borda,0.757895,0.0,0.147368,0.157895
456,1.0,0.25,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,1.0,0.25,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,1.0,0.25,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,1.0,0.25,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,1.0,0.25,score_sum,0.610526,-0.147368,0.0,0.010526
789,1.0,0.25,borda,0.8,0.0,0.094737,0.063158
789,1.0,0.25,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,1.0,0.25,fas_balance_score_prior_alpha_beta,0.768421,-0.031579,0.063158,0.031579
789,1.0,0.25,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,1.0,0.25,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,1.0,0.25,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,1.0,0.25,borda,0.726316,0.0,0.0,-0.010526
1234,1.0,0.25,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,1.0,0.25,fas_balance_score_prior_alpha_beta,0.736842,0.010526,0.010526,0.0
1234,1.0,0.25,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,1.0,0.25,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,1.0,0.25,score_sum,0.726316,0.0,0.0,-0.010526
42,1.0,0.5,borda,0.778947,0.0,0.021053,0.021053
42,1.0,0.5,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,1.0,0.5,fas_balance_score_prior_alpha_beta,0.757895,-0.021053,0.0,0.0
42,1.0,0.5,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,1.0,0.5,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,1.0,0.5,score_sum,0.757895,-0.021053,0.0,0.0
123,1.0,0.5,borda,0.715789,0.0,0.073684,0.126316
123,1.0,0.5,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,1.0,0.5,fas_balance_score_prior_alpha_beta,0.610526,-0.105263,-0.031579,0.021053
123,1.0,0.5,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,1.0,0.5,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,1.0,0.5,score_sum,0.642105,-0.073684,0.0,0.052632
456,1.0,0.5,borda,0.757895,0.0,0.147368,0.157895
456,1.0,0.5,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,1.0,0.5,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,1.0,0.5,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,1.0,0.5,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,1.0,0.5,score_sum,0.610526,-0.147368,0.0,0.010526
789,1.0,0.5,borda,0.8,0.0,0.094737,0.063158
789,1.0,0.5,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,1.0,0.5,fas_balance_score_prior_alpha_beta,0.747368,-0.052632,0.042105,0.010526
789,1.0,0.5,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,1.0,0.5,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,1.0,0.5,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,1.0,0.5,borda,0.726316,0.0,0.0,-0.010526
1234,1.0,0.5,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,1.0,0.5,fas_balance_score_prior_alpha_beta,0.684211,-0.042105,-0.042105,-0.052632
1234,1.0,0.5,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,1.0,0.5,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,1.0,0.5,score_sum,0.726316,0.0,0.0,-0.010526
42,1.0,1.0,borda,0.778947,0.0,0.021053,0.021053
42,1.0,1.0,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,1.0,1.0,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
42,1.0,1.0,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,1.0,1.0,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,1.0,1.0,score_sum,0.757895,-0.021053,0.0,0.0
123,1.0,1.0,borda,0.715789,0.0,0.073684,0.126316
123,1.0,1.0,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,1.0,1.0,fas_balance_score_prior_alpha_beta,0.547368,-0.168421,-0.094737,-0.042105
123,1.0,1.0,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,1.0,1.0,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,1.0,1.0,score_sum,0.642105,-0.073684,0.0,0.052632
456,1.0,1.0,borda,0.757895,0.0,0.147368,0.157895
456,1.0,1.0,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,1.0,1.0,fas_balance_score_prior_alpha_beta,0.610526,-0.147368,0.0,0.010526
456,1.0,1.0,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,1.0,1.0,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,1.0,1.0,score_sum,0.610526,-0.147368,0.0,0.010526
789,1.0,1.0,borda,0.8,0.0,0.094737,0.063158
789,1.0,1.0,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,1.0,1.0,fas_balance_score_prior_alpha_beta,0.726316,-0.073684,0.021053,-0.010526
789,1.0,1.0,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,1.0,1.0,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,1.0,1.0,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,1.0,1.0,borda,0.726316,0.0,0.0,-0.010526
1234,1.0,1.0,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,1.0,1.0,fas_balance_score_prior_alpha_beta,0.652632,-0.073684,-0.073684,-0.084211
1234,1.0,1.0,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,1.0,1.0,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,1.0,1.0,score_sum,0.726316,0.0,0.0,-0.010526
42,2.0,0.1,borda,0.778947,0.0,0.021053,0.021053
42,2.0,0.1,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,2.0,0.1,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
42,2.0,0.1,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,2.0,0.1,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,2.0,0.1,score_sum,0.757895,-0.021053,0.0,0.0
123,2.0,0.1,borda,0.715789,0.0,0.073684,0.126316
123,2.0,0.1,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,2.0,0.1,fas_balance_score_prior_alpha_beta,0.631579,-0.084211,-0.010526,0.042105
123,2.0,0.1,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,2.0,0.1,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,2.0,0.1,score_sum,0.642105,-0.073684,0.0,0.052632
456,2.0,0.1,borda,0.757895,0.0,0.147368,0.157895
456,2.0,0.1,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,2.0,0.1,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,2.0,0.1,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,2.0,0.1,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,2.0,0.1,score_sum,0.610526,-0.147368,0.0,0.010526
789,2.0,0.1,borda,0.8,0.0,0.094737,0.063158
789,2.0,0.1,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,2.0,0.1,fas_balance_score_prior_alpha_beta,0.715789,-0.084211,0.010526,-0.021053
789,2.0,0.1,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,2.0,0.1,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,2.0,0.1,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,2.0,0.1,borda,0.726316,0.0,0.0,-0.010526
1234,2.0,0.1,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
1234,2.0,0.1,fas_balance_score_prior_alpha_beta,0.715789,-0.010526,-0.010526,-0.021053
1234,2.0,0.1,fas_weighted_balance,0.484211,-0.242105,-0.242105,-0.252632
1234,2.0,0.1,hybrid_rrf_fas_regularized,0.736842,0.010526,0.010526,0.0
1234,2.0,0.1,score_sum,0.726316,0.0,0.0,-0.010526
42,2.0,0.25,borda,0.778947,0.0,0.021053,0.021053
42,2.0,0.25,fas_balance_score_prior_alpha,0.757895,-0.021053,0.0,0.0
42,2.0,0.25,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
42,2.0,0.25,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
42,2.0,0.25,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
42,2.0,0.25,score_sum,0.757895,-0.021053,0.0,0.0
123,2.0,0.25,borda,0.715789,0.0,0.073684,0.126316
123,2.0,0.25,fas_balance_score_prior_alpha,0.610526,-0.105263,-0.031579,0.021053
123,2.0,0.25,fas_balance_score_prior_alpha_beta,0.610526,-0.105263,-0.031579,0.021053
123,2.0,0.25,fas_weighted_balance,0.505263,-0.210526,-0.136842,-0.084211
123,2.0,0.25,hybrid_rrf_fas_regularized,0.589474,-0.126316,-0.052632,0.0
123,2.0,0.25,score_sum,0.642105,-0.073684,0.0,0.052632
456,2.0,0.25,borda,0.757895,0.0,0.147368,0.157895
456,2.0,0.25,fas_balance_score_prior_alpha,0.6,-0.157895,-0.010526,0.0
456,2.0,0.25,fas_balance_score_prior_alpha_beta,0.6,-0.157895,-0.010526,0.0
456,2.0,0.25,fas_weighted_balance,0.578947,-0.178947,-0.031579,-0.021053
456,2.0,0.25,hybrid_rrf_fas_regularized,0.6,-0.157895,-0.010526,0.0
456,2.0,0.25,score_sum,0.610526,-0.147368,0.0,0.010526
789,2.0,0.25,borda,0.8,0.0,0.094737,0.063158
789,2.0,0.25,fas_balance_score_prior_alpha,0.747368,-0.052632,0.042105,0.010526
789,2.0,0.25,fas_balance_score_prior_alpha_beta,0.726316,-0.073684,0.021053,-0.010526
789,2.0,0.25,fas_weighted_balance,0.663158,-0.136842,-0.042105,-0.073684
789,2.0,0.25,hybrid_rrf_fas_regularized,0.736842,-0.063158,0.031579,0.0
789,2.0,0.25,score_sum,0.705263,-0.094737,0.0,-0.031579
1234,2.0,0.25,borda,0.726316,0.0,0.0,-0.010526
1234,2.0,0.25,fas_balance_score_prior_alpha,0.684211,-0.042105,-0.042105,-0.052632
