n_items,noise,weight_scheme,seed,method,kendall_tau,ndcg,pairwise_accuracy,n_violations,inconsistency_before,inconsistency_after,edges_removed,n_edges,is_dag
10,0.05,margin,42,score_sum,0.7333333333333333,0.9955093093208655,0.8666666666666667,6,5,5,0,45,False
10,0.05,margin,42,borda,0.7333333333333333,0.9646323712747662,0.8666666666666667,6,5,5,0,45,False
10,0.05,margin,42,greedy_fas_weighted_balance,0.6888888888888889,0.9663377882039091,0.8444444444444444,7,5,3,17,45,False
10,0.05,margin,42,hybrid_rrf_fas_regularized,0.7777777777777778,0.9955457068417398,0.8888888888888888,5,5,3,17,45,False
10,0.05,margin,42,fas_balance_score_prior_alpha_beta,0.7777777777777778,0.9955457068417398,0.8888888888888888,5,5,3,17,45,False
10,0.05,margin,123,score_sum,0.7777777777777778,0.9855884773002671,0.8888888888888888,5,3,3,0,45,False
10,0.05,margin,123,borda,0.9111111111111111,0.9953062453767557,0.9555555555555556,2,3,3,0,45,False
10,0.05,margin,123,greedy_fas_weighted_balance,0.6444444444444445,0.9708006743055205,0.8222222222222222,8,3,3,13,45,False
10,0.05,margin,123,hybrid_rrf_fas_regularized,0.7777777777777778,0.9855884773002671,0.8888888888888888,5,3,3,13,45,False
10,0.05,margin,123,fas_balance_score_prior_alpha_beta,0.7777777777777778,0.9855884773002671,0.8888888888888888,5,3,3,13,45,False
10,0.05,margin,7,score_sum,1.0,1.0,1.0,0,2,2,0,45,False
10,0.05,margin,7,borda,0.8666666666666667,0.9954257515403281,0.9333333333333333,3,2,2,0,45,False
10,0.05,margin,7,greedy_fas_weighted_balance,0.9555555555555556,0.9979166975469749,0.9777777777777777,1,2,2,2,45,False
10,0.05,margin,7,hybrid_rrf_fas_regularized,1.0,1.0,1.0,0,2,2,2,45,False
10,0.05,margin,7,fas_balance_score_prior_alpha_beta,1.0,1.0,1.0,0,2,2,2,45,False
10,0.05,uniform,42,score_sum,0.7333333333333333,0.9646323712747662,0.8666666666666667,6,5,5,0,45,False
