noise,method,mean_tau,std_tau,win_count_vs_borda,win_count_vs_score_sum,win_count_vs_hybrid_rrf_fas_regularized
0.05,borda,0.926316,0.0,0,0,0
0.05,fas_balance_score_prior_alpha_beta,0.926316,0.0,0,0,0
0.05,fas_weighted_balance,0.894737,0.0,0,0,0
0.05,hybrid_rrf_fas_regularized,0.926316,0.0,0,0,0
0.05,score_sum,0.926316,0.0,0,0,0
0.10,borda,0.884211,0.0,0,1,1
0.10,fas_balance_score_prior_alpha_beta,0.831579,0.0,0,1,0
0.10,fas_weighted_balance,0.831579,0.0,0,1,0
0.10,hybrid_rrf_fas_regularized,0.842105,0.0,0,1,0
0.10,score_sum,0.810526,0.0,0,0,0
0.15,borda,0.863158,0.0,0,1,1
0.15,fas_balance_score_prior_alpha_beta,0.778947,0.0,0,1,0
0.15,fas_weighted_balance,0.757895,0.0,0,0,0
0.15,hybrid_rrf_fas_regularized,0.778947,0.0,0,1,0
0.15,score_sum,0.757895,0.0,0,0,0
0.20,borda,0.778947,0.0,0,1,1
0.20,fas_balance_score_prior_alpha_beta,0.768421,0.0,0,1,1
0.20,fas_weighted_balance,0.736842,0.0,0,0,0
0.20,hybrid_rrf_fas_regularized,0.757895,0.0,0,0,0
0.20,score_sum,0.757895,0.0,0,0,0
0.25,borda,0.72,0.02535,0,4,4
0.25,fas_balance_score_prior_alpha_beta,0.671579,0.094268,1,2,3
0.25,fas_weighted_balance,0.583158,0.117593,1,0,1
0.25,hybrid_rrf_fas_regularized,0.663158,0.105526,1,2,0
0.25,score_sum,0.673685,0.076633,1,0,3
0.30,borda,0.602105,0.059266,0,5,4
0.30,fas_balance_score_prior_alpha_beta,0.543158,0.078631,0,4,1
0.30,fas_weighted_balance,0.477895,0.16819,1,2,2
0.30,hybrid_rrf_fas_regularized,0.56,0.096876,1,4,0
0.30,score_sum,0.522105,0.061649,0,0,1
