seed,noise,n_items,method,kendall_tau,tau_to_score_sum,tau_to_borda,weighted_agreement_original,unweighted_agreement_original,weighted_agreement_repaired_dag,unweighted_agreement_repaired_dag,removed_edges,removed_weight,topo_incomparable_ratio,topo_mean_available_sources,topo_max_available_sources,topo_mean_log2_choices,topo_multi_source_step_ratio
42,0.05,20,borda,0.926316,0.915789,1.0,0.944349,0.921053,0.968774,0.959732,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,borda_repaired_dag,0.747368,0.8,0.778947,0.928092,0.842105,0.973112,0.959732,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,fas_copeland,0.821053,0.873684,0.852632,0.929485,0.868421,0.9688,0.966443,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,fas_weighted_balance,0.894737,0.968421,0.905263,0.941194,0.894737,0.968109,0.959732,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,greedy_fas_topological,0.726316,0.778947,0.736842,0.94886,0.873684,1.0,1.0,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,priority_topological_score_sum,0.736842,0.789474,0.747368,0.949989,0.878947,1.0,1.0,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,score_sum,0.926316,1.0,0.915789,0.944315,0.910526,0.968109,0.959732,41,5.807113,0.057895,1.2,2.0,0.2,0.2
42,0.05,20,score_sum_repaired_dag,0.863158,0.915789,0.894737,0.938942,0.878947,0.967381,0.959732,41,5.807113,0.057895,1.2,2.0,0.2,0.2
123,0.05,20,borda,0.936842,0.905263,1.0,0.960466,0.947368,0.971276,0.961783,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,borda_repaired_dag,0.768421,0.821053,0.768421,0.930565,0.863158,0.973738,0.980892,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,fas_copeland,0.778947,0.852632,0.778947,0.934462,0.868421,0.973738,0.980892,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,fas_weighted_balance,0.831579,0.905263,0.873684,0.946125,0.884211,0.971276,0.961783,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,greedy_fas_topological,0.673684,0.747368,0.694737,0.934925,0.857895,1.0,1.0,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,priority_topological_score_sum,0.684211,0.757895,0.684211,0.933385,0.852632,1.0,1.0,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,score_sum,0.863158,1.0,0.905263,0.953258,0.910526,0.973007,0.961783,33,3.976427,0.026316,1.15,2.0,0.15,0.15
123,0.05,20,score_sum_repaired_dag,0.831579,0.926316,0.831579,0.944827,0.894737,0.973413,0.974522,33,3.976427,0.026316,1.15,2.0,0.15,0.15
456,0.05,20,borda,0.915789,0.915789,1.0,0.941741,0.921053,0.961367,0.956835,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,borda_repaired_dag,0.694737,0.8,0.736842,0.894588,0.821053,0.966735,0.971223,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,fas_copeland,0.705263,0.810526,0.747368,0.899935,0.826316,0.96916,0.978417,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,fas_weighted_balance,0.852632,0.894737,0.852632,0.934743,0.868421,0.961245,0.942446,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,greedy_fas_topological,0.610526,0.715789,0.652632,0.902732,0.810526,1.0,1.0,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,priority_topological_score_sum,0.642105,0.747368,0.684211,0.904752,0.826316,1.0,1.0,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,score_sum,0.852632,1.0,0.915789,0.932719,0.878947,0.961293,0.94964,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
456,0.05,20,score_sum_repaired_dag,0.757895,0.884211,0.8,0.917143,0.852632,0.968925,0.964029,51,8.042693,0.084211,1.45,3.0,0.408496,0.35
789,0.05,20,borda,0.968421,0.936842,1.0,0.960903,0.942105,0.972838,0.972789,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,borda_repaired_dag,0.8,0.831579,0.831579,0.937025,0.868421,0.975039,0.965986,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,fas_copeland,0.842105,0.894737,0.873684,0.940327,0.878947,0.972838,0.972789,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,fas_weighted_balance,0.894737,0.968421,0.926316,0.954005,0.905263,0.972838,0.972789,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,greedy_fas_topological,0.705263,0.778947,0.736842,0.936543,0.852632,1.0,1.0,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
