experiment_family,noise,n_items,method,n_runs,mean_tau,std_tau,mean_n_violations,mean_pairwise_inconsistency_before,mean_pairwise_inconsistency_after,mean_fas_removed_edges,mean_fas_removed_weight,mean_runtime_total_s,mean_runtime_repair_s,best_method_by_regime,gap_to_borda,gap_to_score_sum
noise_sweep_variant_followup,0.05,20,score_sum,1,0.9263157894736842,0.0,7,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,0.0,0.0
noise_sweep_variant_followup,0.05,20,borda,1,0.9263157894736842,0.0,7,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,0.0,0.0
noise_sweep_variant_followup,0.05,20,greedy_fas_topological,1,0.7263157894736842,0.0,26,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,-0.19999999999999996,-0.19999999999999996
noise_sweep_variant_followup,0.05,20,priority_topological_score_sum,1,0.7368421052631579,0.0,25,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,-0.18947368421052635,-0.18947368421052635
noise_sweep_variant_followup,0.05,20,fas_weighted_balance,1,0.8947368421052632,0.0,10,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,-0.03157894736842104,-0.03157894736842104
noise_sweep_variant_followup,0.05,20,fas_copeland,1,0.8210526315789474,0.0,17,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,-0.10526315789473684,-0.10526315789473684
noise_sweep_variant_followup,0.05,20,hybrid_rrf_fas_regularized,1,0.9263157894736842,0.0,7,10,5,41,5.807113212821223,0.018047,0.009539,score_sum,0.0,0.0
noise_sweep_variant_followup,0.1,20,score_sum,1,0.8105263157894737,0.0,18,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.0736842105263158,0.0
noise_sweep_variant_followup,0.1,20,borda,1,0.8842105263157894,0.0,11,23,8,61,10.5358035581852,0.019139,0.012309,borda,0.0,0.0736842105263158
noise_sweep_variant_followup,0.1,20,greedy_fas_topological,1,0.6,0.0,38,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.28421052631578947,-0.21052631578947367
noise_sweep_variant_followup,0.1,20,priority_topological_score_sum,1,0.5789473684210527,0.0,40,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.3052631578947368,-0.231578947368421
noise_sweep_variant_followup,0.1,20,fas_weighted_balance,1,0.8315789473684211,0.0,16,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.05263157894736836,0.021052631578947434
noise_sweep_variant_followup,0.1,20,fas_copeland,1,0.7368421052631579,0.0,25,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.1473684210526316,-0.0736842105263158
noise_sweep_variant_followup,0.1,20,hybrid_rrf_fas_regularized,1,0.8421052631578947,0.0,15,23,8,61,10.5358035581852,0.019139,0.012309,borda,-0.04210526315789476,0.03157894736842104
noise_sweep_variant_followup,0.15,20,score_sum,1,0.7578947368421053,0.0,23,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.10526315789473684,0.0
noise_sweep_variant_followup,0.15,20,borda,1,0.8631578947368421,0.0,13,29,9,73,13.689271912514776,0.025341,0.018454,borda,0.0,0.10526315789473684
noise_sweep_variant_followup,0.15,20,greedy_fas_topological,1,0.4842105263157895,0.0,49,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.37894736842105264,-0.2736842105263158
noise_sweep_variant_followup,0.15,20,priority_topological_score_sum,1,0.5157894736842106,0.0,46,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.34736842105263155,-0.2421052631578947
noise_sweep_variant_followup,0.15,20,fas_weighted_balance,1,0.7578947368421053,0.0,23,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.10526315789473684,0.0
noise_sweep_variant_followup,0.15,20,fas_copeland,1,0.6842105263157895,0.0,30,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.17894736842105263,-0.0736842105263158
