seed,noise,n_items,removed_edges,removed_weight,topo_incomparable_ratio,topo_mean_available_sources,topo_max_available_sources,topo_mean_log2_choices,topo_multi_source_step_ratio,tau_score_sum,tau_borda,tau_score_sum_repaired_dag,tau_greedy_fas_topological,tau_priority_topological_score_sum,tau_fas_weighted_balance,gap_score_sum_minus_fas_weighted_balance,gap_borda_minus_fas_weighted_balance,gap_score_sum_minus_greedy_topo,repair_loss_score_sum,extraction_loss_topo_from_repaired_score_sum,extraction_loss_priority_from_repaired_score_sum
42,0.05,20,41,5.807113,0.057895,1.2,2.0,0.2,0.2,0.926316,0.926316,0.863158,0.726316,0.736842,0.894737,0.031579,0.031579,0.2,0.063158,0.136842,0.126316
123,0.05,20,33,3.976427,0.026316,1.15,2.0,0.15,0.15,0.863158,0.936842,0.831579,0.673684,0.684211,0.831579,0.031579,0.105263,0.189474,0.031579,0.157895,0.147368
456,0.05,20,51,8.042693,0.084211,1.45,3.0,0.408496,0.35,0.852632,0.915789,0.757895,0.610526,0.642105,0.852632,0.0,0.063158,0.242105,0.094737,0.147368,0.115789
789,0.05,20,43,3.388923,0.078947,1.45,3.0,0.429248,0.4,0.926316,0.968421,0.905263,0.705263,0.747368,0.894737,0.031579,0.073684,0.221053,0.021053,0.2,0.157895
1234,0.05,20,52,10.195936,0.105263,1.8,4.0,0.666993,0.5,0.831579,0.905263,0.778947,0.568421,0.621053,0.821053,0.010526,0.084211,0.263158,0.052632,0.210526,0.157895
42,0.1,20,61,10.535804,0.047368,1.25,3.0,0.229248,0.2,0.810526,0.884211,0.778947,0.6,0.578947,0.831579,-0.021053,0.052632,0.210526,0.031579,0.178947,0.2
123,0.1,20,58,9.524902,0.073684,1.4,3.0,0.379248,0.35,0.747368,0.789474,0.705263,0.378947,0.4,0.694737,0.052632,0.094737,0.368421,0.042105,0.326316,0.305263
456,0.1,20,75,14.708632,0.126316,2.0,6.0,0.703841,0.45,0.747368,0.884211,0.6,0.431579,0.463158,0.694737,0.052632,0.189474,0.315789,0.147368,0.168421,0.136842
789,0.1,20,97,10.78123,0.210526,2.3,5.0,0.906785,0.55,0.821053,0.915789,0.652632,0.452632,0.536842,0.810526,0.010526,0.105263,0.368421,0.168421,0.2,0.115789
1234,0.1,20,57,12.832822,0.036842,1.15,3.0,0.129248,0.1,0.768421,0.831579,0.705263,0.452632,0.473684,0.726316,0.042105,0.105263,0.315789,0.063158,0.252632,0.231579
42,0.15,20,73,13.689272,0.1,1.55,3.0,0.487744,0.4,0.757895,0.863158,0.684211,0.484211,0.515789,0.757895,0.0,0.105263,0.273684,0.073684,0.2,0.168421
123,0.15,20,80,17.086887,0.068421,1.35,3.0,0.329248,0.3,0.684211,0.694737,0.378947,0.210526,0.210526,0.473684,0.210526,0.221053,0.473684,0.305263,0.168421,0.168421
456,0.15,20,83,18.217726,0.131579,2.0,6.0,0.703841,0.45,0.747368,0.873684,0.589474,0.431579,0.463158,0.705263,0.042105,0.168421,0.315789,0.157895,0.157895,0.126316
789,0.15,20,111,15.228619,0.257895,1.8,4.0,0.666993,0.5,0.757895,0.831579,0.536842,0.357895,0.442105,0.757895,0.0,0.073684,0.4,0.221053,0.178947,0.094737
1234,0.15,20,74,18.89847,0.1,1.6,3.0,0.537744,0.45,0.726316,0.768421,0.610526,0.378947,0.389474,0.694737,0.031579,0.073684,0.347368,0.115789,0.231579,0.221053
42,0.2,20,62,14.062826,0.047368,1.35,3.0,0.329248,0.3,0.757895,0.778947,0.663158,0.452632,0.484211,0.736842,0.021053,0.042105,0.305263,0.094737,0.210526,0.178947
123,0.2,20,72,15.694768,0.057895,1.25,2.0,0.25,0.25,0.642105,0.715789,0.431579,0.210526,0.221053,0.505263,0.136842,0.210526,0.431579,0.210526,0.221053,0.210526
456,0.2,20,87,20.595784,0.078947,1.55,4.0,0.479248,0.4,0.610526,0.757895,0.410526,0.305263,0.326316,0.578947,0.031579,0.178947,0.305263,0.2,0.105263,0.084211
