experiment_family,noise,n_items,method,n_runs,n_wins,n_beats_borda,n_beats_score_sum
noise_sweep_variant_followup,0.05,20,score_sum,1,1,0,0
noise_sweep_variant_followup,0.05,20,borda,1,1,0,0
noise_sweep_variant_followup,0.05,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.05,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.05,20,fas_weighted_balance,1,0,0,0
noise_sweep_variant_followup,0.05,20,fas_copeland,1,0,0,0
noise_sweep_variant_followup,0.05,20,hybrid_rrf_fas_regularized,1,1,0,0
noise_sweep_variant_followup,0.1,20,score_sum,1,0,0,0
noise_sweep_variant_followup,0.1,20,borda,1,1,0,1
noise_sweep_variant_followup,0.1,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.1,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.1,20,fas_weighted_balance,1,0,0,1
noise_sweep_variant_followup,0.1,20,fas_copeland,1,0,0,0
noise_sweep_variant_followup,0.1,20,hybrid_rrf_fas_regularized,1,0,0,1
noise_sweep_variant_followup,0.15,20,score_sum,1,0,0,0
noise_sweep_variant_followup,0.15,20,borda,1,1,0,1
noise_sweep_variant_followup,0.15,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.15,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.15,20,fas_weighted_balance,1,0,0,0
noise_sweep_variant_followup,0.15,20,fas_copeland,1,0,0,0
noise_sweep_variant_followup,0.15,20,hybrid_rrf_fas_regularized,1,0,0,1
noise_sweep_variant_followup,0.2,20,score_sum,1,0,0,0
noise_sweep_variant_followup,0.2,20,borda,1,1,0,1
noise_sweep_variant_followup,0.2,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.2,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.2,20,fas_weighted_balance,1,0,0,0
noise_sweep_variant_followup,0.2,20,fas_copeland,1,0,0,0
noise_sweep_variant_followup,0.2,20,hybrid_rrf_fas_regularized,1,0,0,0
noise_sweep_variant_followup,0.25,20,score_sum,1,0,1,0
noise_sweep_variant_followup,0.25,20,borda,1,0,0,0
noise_sweep_variant_followup,0.25,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.25,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.25,20,fas_weighted_balance,1,0,1,0
noise_sweep_variant_followup,0.25,20,fas_copeland,1,0,0,0
noise_sweep_variant_followup,0.25,20,hybrid_rrf_fas_regularized,1,1,1,1
noise_sweep_variant_followup,0.3,20,score_sum,1,0,0,0
noise_sweep_variant_followup,0.3,20,borda,1,0,0,1
noise_sweep_variant_followup,0.3,20,greedy_fas_topological,1,0,0,0
noise_sweep_variant_followup,0.3,20,priority_topological_score_sum,1,0,0,0
noise_sweep_variant_followup,0.3,20,fas_weighted_balance,1,1,1,1
noise_sweep_variant_followup,0.3,20,fas_copeland,1,0,0,1
noise_sweep_variant_followup,0.3,20,hybrid_rrf_fas_regularized,1,0,1,1
variant_multiseed_n20_noise0.20,0.2,20,score_sum,5,0,0,0
variant_multiseed_n20_noise0.20,0.2,20,borda,5,4,0,4
variant_multiseed_n20_noise0.20,0.2,20,greedy_fas_topological,5,0,0,0
variant_multiseed_n20_noise0.20,0.2,20,priority_topological_score_sum,5,0,0,0
variant_multiseed_n20_noise0.20,0.2,20,fas_weighted_balance,5,0,0,0
variant_multiseed_n20_noise0.20,0.2,20,fas_copeland,5,0,0,0
variant_multiseed_n20_noise0.20,0.2,20,hybrid_rrf_fas_regularized,5,1,1,2
