n_items,noise,weight_scheme,seed,method,kendall_tau,ndcg,pairwise_accuracy,n_violations,inconsistency_before,inconsistency_after,edges_removed,removed_weight,objective_value,greedy_objective,exact_objective,n_edges
6,0.05,margin,42,score_sum,0.7333333333333333,0.9856610970989863,0.8666666666666667,2,3,3,0,0.0,,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,borda,0.7333333333333333,0.9816574452651249,0.8666666666666667,2,3,3,0,0.0,,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,greedy_fas_weighted_balance,0.6,0.9781730678139509,0.8,3,3,1,5,0.6103048917213183,0.6103048917213183,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,hybrid_rrf_fas_regularized,0.7333333333333333,0.9856610970989863,0.8666666666666667,2,3,1,5,0.6103048917213183,0.6103048917213183,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,greedy_fas_alpha_beta,0.7333333333333333,0.9856610970989863,0.8666666666666667,2,3,1,5,0.6103048917213183,0.6103048917213183,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,exact_fas_weighted_balance,0.6,0.9686568430159576,0.8,3,3,3,2,0.4759877870501621,0.4759877870501621,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,exact_fas_hybrid_rrf,0.7333333333333333,0.9856610970989863,0.8666666666666667,2,3,3,2,0.4759877870501621,0.4759877870501621,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,42,exact_fas_alpha_beta,0.7333333333333333,0.9856610970989863,0.8666666666666667,2,3,3,2,0.4759877870501621,0.4759877870501621,0.6103048917213183,0.4759877870501621,15
6,0.05,margin,123,score_sum,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,0,0.0,,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,borda,0.7333333333333333,0.966240260944337,0.8666666666666667,2,2,2,0,0.0,,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,greedy_fas_weighted_balance,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,hybrid_rrf_fas_regularized,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,greedy_fas_alpha_beta,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,exact_fas_weighted_balance,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,exact_fas_hybrid_rrf,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,123,exact_fas_alpha_beta,0.7333333333333333,0.9985526245195289,0.8666666666666667,2,2,2,2,0.03472349016442866,0.03472349016442866,0.03472349016442866,0.03472349016442866,15
6,0.05,margin,7,score_sum,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,0,0.0,,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,borda,0.7333333333333333,0.9911740461963976,0.8666666666666667,2,1,1,0,0.0,,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,greedy_fas_weighted_balance,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,hybrid_rrf_fas_regularized,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,greedy_fas_alpha_beta,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,exact_fas_weighted_balance,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,exact_fas_hybrid_rrf,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,margin,7,exact_fas_alpha_beta,0.8666666666666667,0.9979207493352052,0.9333333333333333,1,1,1,1,0.04185615207942317,0.04185615207942317,0.04185615207942317,0.04185615207942317,15
6,0.05,uniform,42,score_sum,0.7333333333333333,0.9816574452651249,0.8666666666666667,2,3,3,0,0.0,,2.0,2.0,15
