stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.3e-05,7.3e-05,7.3e-05,7.3e-05
pairwise_preference_generation,1,0.000451,0.000451,0.000451,0.000451
graph_construction,1,0.002883,0.002883,0.002883,0.002883
cycle_detection,1,0.000176,0.000176,0.000176,0.000176
ranking_score_sum,1,9.6e-05,9.6e-05,9.6e-05,9.6e-05
ranking_borda,1,3.3e-05,3.3e-05,3.3e-05,3.3e-05
greedy_fas_solver,1,0.010696,0.010696,0.010696,0.010696
ranking_topological,1,0.000109,0.000109,0.000109,0.000109
evaluation,1,0.000278,0.000278,0.000278,0.000278
total_experiment,1,0.014934,0.014934,0.014934,0.014934
