stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.1e-05,7.1e-05,7.1e-05,7.1e-05
pairwise_preference_generation,1,0.000491,0.000491,0.000491,0.000491
graph_construction,1,0.002971,0.002971,0.002971,0.002971
cycle_detection,1,0.000208,0.000208,0.000208,0.000208
ranking_score_sum,1,9.7e-05,9.7e-05,9.7e-05,9.7e-05
ranking_borda,1,3.5e-05,3.5e-05,3.5e-05,3.5e-05
greedy_fas_solver,1,0.029253,0.029253,0.029253,0.029253
ranking_topological,1,0.000123,0.000123,0.000123,0.000123
evaluation,1,0.000352,0.000352,0.000352,0.000352
total_experiment,1,0.033754,0.033754,0.033754,0.033754
