dataset,query_id,flip_prob,method,ndcg_at_k
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,score_sum,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,borda,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,copeland_unrepaired,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,pagerank,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,greedy_fas_topological,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,greedy_fas_weighted_balance,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,greedy_fas_copeland,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,bt_aggregation,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,win_rate_aggregation,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,markov_aggregation,1.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,tournament_sort_aggregation,0.951231
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,score_sum,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,borda,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,copeland_unrepaired,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,pagerank,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,greedy_fas_topological,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,greedy_fas_weighted_balance,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,greedy_fas_copeland,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,bt_aggregation,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,win_rate_aggregation,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,markov_aggregation,1.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,tournament_sort_aggregation,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,score_sum,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,borda,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,copeland_unrepaired,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,pagerank,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,greedy_fas_topological,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,greedy_fas_weighted_balance,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,greedy_fas_copeland,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,bt_aggregation,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,win_rate_aggregation,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,markov_aggregation,1.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,tournament_sort_aggregation,0.706677
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,score_sum,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,borda,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,copeland_unrepaired,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,pagerank,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,greedy_fas_topological,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,greedy_fas_weighted_balance,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,greedy_fas_copeland,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,bt_aggregation,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,win_rate_aggregation,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,markov_aggregation,1.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,tournament_sort_aggregation,0.904398
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,score_sum,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,borda,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,copeland_unrepaired,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,pagerank,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,greedy_fas_topological,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,greedy_fas_weighted_balance,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,greedy_fas_copeland,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,bt_aggregation,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,win_rate_aggregation,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,markov_aggregation,1.0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,tournament_sort_aggregation,0.960925
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,score_sum,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,borda,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,copeland_unrepaired,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,pagerank,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,greedy_fas_topological,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,greedy_fas_weighted_balance,1.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,greedy_fas_copeland,1.0
