dataset,flip_prob,method,n_queries,ndcg_mean
scidocs,0.0,borda,500,1.0
scidocs,0.0,bt_aggregation,500,1.0
scidocs,0.0,copeland_unrepaired,500,1.0
scidocs,0.0,greedy_fas_copeland,500,1.0
scidocs,0.0,greedy_fas_topological,500,1.0
scidocs,0.0,greedy_fas_weighted_balance,500,1.0
scidocs,0.0,markov_aggregation,500,1.0
scidocs,0.0,pagerank,500,1.0
scidocs,0.0,score_sum,500,1.0
scidocs,0.0,tournament_sort_aggregation,500,0.805935
scidocs,0.0,win_rate_aggregation,500,1.0
scidocs,0.05,borda,500,1.0
scidocs,0.05,bt_aggregation,500,0.986616
scidocs,0.05,copeland_unrepaired,500,1.0
scidocs,0.05,greedy_fas_copeland,500,1.0
scidocs,0.05,greedy_fas_topological,500,0.975943
scidocs,0.05,greedy_fas_weighted_balance,500,1.0
scidocs,0.05,markov_aggregation,500,0.946102
scidocs,0.05,pagerank,500,0.946102
scidocs,0.05,score_sum,500,1.0
scidocs,0.05,tournament_sort_aggregation,500,0.781519
scidocs,0.05,win_rate_aggregation,500,1.0
scidocs,0.1,borda,500,1.0
scidocs,0.1,bt_aggregation,500,0.973193
scidocs,0.1,copeland_unrepaired,500,1.0
scidocs,0.1,greedy_fas_copeland,500,0.9999
scidocs,0.1,greedy_fas_topological,500,0.957236
scidocs,0.1,greedy_fas_weighted_balance,500,0.9999
scidocs,0.1,markov_aggregation,500,0.931648
scidocs,0.1,pagerank,500,0.931648
scidocs,0.1,score_sum,500,1.0
scidocs,0.1,tournament_sort_aggregation,500,0.757445
scidocs,0.1,win_rate_aggregation,500,0.999675
scidocs,0.15,borda,500,1.0
scidocs,0.15,bt_aggregation,500,0.949994
scidocs,0.15,copeland_unrepaired,500,0.999851
scidocs,0.15,greedy_fas_copeland,500,0.999104
scidocs,0.15,greedy_fas_topological,500,0.935784
scidocs,0.15,greedy_fas_weighted_balance,500,0.999104
scidocs,0.15,markov_aggregation,500,0.929935
scidocs,0.15,pagerank,500,0.929935
scidocs,0.15,score_sum,500,1.0
scidocs,0.15,tournament_sort_aggregation,500,0.727997
scidocs,0.15,win_rate_aggregation,500,0.998157
scidocs,0.2,borda,500,1.0
scidocs,0.2,bt_aggregation,500,0.920426
scidocs,0.2,copeland_unrepaired,500,0.998837
scidocs,0.2,greedy_fas_copeland,500,0.995134
scidocs,0.2,greedy_fas_topological,500,0.915643
scidocs,0.2,greedy_fas_weighted_balance,500,0.995134
scidocs,0.2,markov_aggregation,500,0.944753
scidocs,0.2,pagerank,500,0.944753
scidocs,0.2,score_sum,500,1.0
scidocs,0.2,tournament_sort_aggregation,500,0.709825
scidocs,0.2,win_rate_aggregation,500,0.993011
scidocs,0.25,borda,500,1.0
scidocs,0.25,bt_aggregation,500,0.881336
scidocs,0.25,copeland_unrepaired,500,0.995604
scidocs,0.25,greedy_fas_copeland,500,0.984897
scidocs,0.25,greedy_fas_topological,500,0.887273
scidocs,0.25,greedy_fas_weighted_balance,500,0.984897
scidocs,0.25,markov_aggregation,500,0.963842
scidocs,0.25,pagerank,500,0.963842
scidocs,0.25,score_sum,500,1.0
scidocs,0.25,tournament_sort_aggregation,500,0.682928
scidocs,0.25,win_rate_aggregation,500,0.977483
scidocs,0.3,borda,500,1.0
scidocs,0.3,bt_aggregation,500,0.83308
scidocs,0.3,copeland_unrepaired,500,0.984234
scidocs,0.3,greedy_fas_copeland,500,0.959902
scidocs,0.3,greedy_fas_topological,500,0.847316
scidocs,0.3,greedy_fas_weighted_balance,500,0.959902
scidocs,0.3,markov_aggregation,500,0.974633
scidocs,0.3,pagerank,500,0.974633
scidocs,0.3,score_sum,500,1.0
scidocs,0.3,tournament_sort_aggregation,500,0.657527
scidocs,0.3,win_rate_aggregation,500,0.941187
