dataset,query_id,method,preference_source,n_candidates,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
bright,economics:87,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,economics:71,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,stackoverflow:22,cross_encoder,cross_encoder,6,1.0,1.0,1.0,1.0,,
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,cross_encoder,cross_encoder,20,0.710511,0.500602,0.4,1.0,1.0,1
bright,biology:15,cross_encoder,cross_encoder,6,1.0,1.0,1.0,1.0,,
bright,theoremqa_questions:TheoremQA_elainewan/math_abstact_algebra_7_5.json,cross_encoder,cross_encoder,20,0.32432,0.112121,0.1,1.0,0.0,0
bright,stackoverflow:68,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,theoremqa_questions:TheoremQA_xueguangma/effective_rates_1.json,cross_encoder,cross_encoder,2,0.63093,0.5,0.5,1.0,1.0,1
bright,earth_science:47,cross_encoder,cross_encoder,6,1.0,1.0,1.0,1.0,,
bright,economics:79,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,biology:25,cross_encoder,cross_encoder,11,1.0,1.0,1.0,1.0,,
bright,pony:107,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,stackoverflow:71,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,theoremqa_questions:TheoremQA_wenhuchen/definite_matrix1.json,cross_encoder,cross_encoder,20,1.0,1.0,0.05,1.0,0.0,0
bright,psychology:2,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,theoremqa_questions:TheoremQA_xinyi/dag_1.json,cross_encoder,cross_encoder,20,0.580279,0.375,0.1,1.0,0.0,0
bright,robotics:70,cross_encoder,cross_encoder,8,1.0,1.0,1.0,1.0,,
bright,leetcode:43,cross_encoder,cross_encoder,20,1.0,1.0,0.1,1.0,0.0,0
bright,leetcode:71,cross_encoder,cross_encoder,20,0.770087,0.571429,0.1,1.0,3.0,3
bright,pony:1,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,theoremqa_theorems:TheoremQA_wenhuchen/Rolle's_theorem.json,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,sustainable_living:56,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,leetcode:96,cross_encoder,cross_encoder,20,0.506905,0.29359,0.15,1.0,3.0,3
bright,psychology:3,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
bright,psychology:91,cross_encoder,cross_encoder,7,1.0,1.0,1.0,1.0,,
bright,theoremqa_questions:TheoremQA_xueguangma/present_value_2.json,cross_encoder,cross_encoder,2,0.63093,0.5,0.5,1.0,1.0,1
bright,aops:math_test_counting_and_probability_838,cross_encoder,cross_encoder,20,1.0,1.0,0.2,1.0,0.0,0
bright,aops:math_train_number_theory_7066,cross_encoder,cross_encoder,20,1.0,1.0,0.2,1.0,0.0,0
bright,economics:66,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
bright,pony:94,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,robotics:69,cross_encoder,cross_encoder,10,1.0,1.0,1.0,1.0,,
bright,biology:78,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
bright,leetcode:118,cross_encoder,cross_encoder,20,1.0,1.0,0.05,1.0,0.0,0
bright,theoremqa_questions:TheoremQA_jianyu_xu/Binomial_5.json,cross_encoder,cross_encoder,20,0.696372,0.393476,0.35,1.0,0.0,0
bright,earth_science:16,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,leetcode:82,cross_encoder,cross_encoder,18,0.430677,0.25,0.055556,1.0,3.0,3
bright,economics:93,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
bright,stackoverflow:98,cross_encoder,cross_encoder,10,1.0,1.0,1.0,1.0,,
bright,biology:93,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
bright,pony:72,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,pony:41,cross_encoder,cross_encoder,20,1.0,1.0,1.0,1.0,,
bright,aops:aops_2022_AMC_10B_Problems/Problem_9,cross_encoder,cross_encoder,20,0.547219,0.333333,0.15,1.0,0.0,0
bright,stackoverflow:74,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
