protocol,protocol_label,protocol_kind,dataset,regime,mutual_pair_query_prevalence_pct,cyclic_query_pct,cyclic_query_pct_after_mutual_deletion,source_table
ablation_minmax_fixed,minmax + fixed,ablation,bright,ms1,100.0,100.0,68.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,bright,ms1_drop_mutual,0.0,68.0,68.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,bright,ms2,0.0,10.0,10.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,fiqa,ms1,100.0,100.0,29.166666666666668,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,fiqa,ms1_drop_mutual,0.0,29.166666666666668,29.166666666666668,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,fiqa,ms2,0.0,13.333333333333334,13.333333333333334,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,hotpotqa,ms1,96.15384615384616,96.15384615384616,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,hotpotqa,ms1_drop_mutual,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,hotpotqa,ms2,0.0,3.8461538461538463,3.8461538461538463,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,scidocs,ms1,100.0,100.0,9.166666666666666,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,scidocs,ms1_drop_mutual,0.0,9.166666666666666,9.166666666666666,"full_structural_results.csv (fraction units, converted to pct)"
ablation_minmax_fixed,minmax + fixed,ablation,scidocs,ms2,0.0,37.5,37.5,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,bright,ms1,88.0,88.0,24.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,bright,ms1_drop_mutual,0.0,24.0,24.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,bright,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,fiqa,ms1,97.5,98.33333333333333,22.5,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,fiqa,ms1_drop_mutual,0.0,22.5,22.5,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,fiqa,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,hotpotqa,ms1,71.15384615384616,71.15384615384616,1.9230769230769231,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,hotpotqa,ms1_drop_mutual,0.0,1.9230769230769231,1.9230769230769231,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,hotpotqa,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,scidocs,ms1,97.5,97.5,10.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,scidocs,ms1_drop_mutual,0.0,10.0,10.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_raw_fixed,raw + fixed,ablation,scidocs,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,bright,ms1,88.0,88.0,24.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,bright,ms1_drop_mutual,0.0,24.0,24.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,bright,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,fiqa,ms1,97.5,98.33333333333333,22.5,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,fiqa,ms1_drop_mutual,0.0,22.5,22.5,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,fiqa,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,hotpotqa,ms1,71.15384615384616,71.15384615384616,1.9230769230769231,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,hotpotqa,ms1_drop_mutual,0.0,1.9230769230769231,1.9230769230769231,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,hotpotqa,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,scidocs,ms1,97.5,97.5,10.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,scidocs,ms1_drop_mutual,0.0,10.0,10.0,"full_structural_results.csv (fraction units, converted to pct)"
ablation_unit_vote_retention,unit vote + retention-matched,ablation,scidocs,ms2,0.0,0.0,0.0,"full_structural_results.csv (fraction units, converted to pct)"
independent_minmax_quantile_q0p3,"minmax + independent quantile (q=0.3, low selectivity)",independent_grid,bright,ms1,100.0,100.0,54.0,independent_protocol_diagnostics_summary.csv (already pct units)
