dataset,protocol,protocol_label,protocol_kind,regime,n_queries,cyclic_query_pct,cyclic_query_pct_after_mutual_deletion,mutual_pair_query_prevalence_pct,mean_graph_density,mean_largest_scc_size,mean_largest_scc_after_mutual_deletion,mean_normalized_fas_weight_removed,bm25_retained_vote_rate_of_eligible,tfidf_retained_vote_rate_of_eligible,minilm_retained_vote_rate_of_eligible,bm25_conditional_weight_share_mean
bright,ablation_minmax_fixed,minmax + fixed,ablation,ms1,50,100.0,68.0,100.0,0.507,16.56,7.24,0.10392549907996003,0.8670435892759438,0.8557525199860966,0.8840315725561627,0.6980085798791265
bright,ablation_minmax_fixed,minmax + fixed,ablation,ms1_drop_mutual,50,68.0,68.0,0.0,0.33099999999999996,7.24,7.24,0.014414584001039885,0.8670435892759438,0.8557525199860966,0.8840315725561627,0.6608312396099825
bright,ablation_minmax_fixed,minmax + fixed,ablation,ms2,50,10.0,10.0,0.0,0.1383157894736842,1.36,1.36,0.0007425111021041428,0.8670435892759438,0.8557525199860966,0.8840315725561627,0.5092199091232913
bright,ablation_raw_fixed,raw + fixed,ablation,ms1,50,88.0,24.0,88.0,0.3738947368421053,10.54,2.8,0.0005664230660030315,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.9987781232597531
bright,ablation_raw_fixed,raw + fixed,ablation,ms1_drop_mutual,50,24.0,24.0,0.0,0.3188421052631579,2.8,2.8,2.6525922452130934e-05,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.9987158799884308
bright,ablation_raw_fixed,raw + fixed,ablation,ms2,50,0.0,0.0,0.0,0.06136842105263158,1.0,1.0,0.0,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.9903346872870475
bright,ablation_unit_vote_retention,unit vote + retention-matched,ablation,ms1,50,88.0,24.0,88.0,0.3738947368421053,10.54,2.8,0.1252713347085515,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.8525111311442498
bright,ablation_unit_vote_retention,unit vote + retention-matched,ablation,ms1_drop_mutual,50,24.0,24.0,0.0,0.3188421052631579,2.8,2.8,0.009910892878110455,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.8440097740083017
bright,ablation_unit_vote_retention,unit vote + retention-matched,ablation,ms2,50,0.0,0.0,0.0,0.06136842105263158,1.0,1.0,0.0,0.9979937990151377,0.18039624608967675,0.5698239222829387,0.48592126912469663
bright,independent_minmax_quantile_q0p3,"minmax + independent quantile (q=0.3, low selectivity)",independent_grid,ms1,50,100.0,54.0,100.0,0.4224736842105263,14.42,5.24,0.09081179749160612,0.6999817618092286,0.700034758428919,0.7003642987249544,0.7213353589176559
bright,independent_minmax_quantile_q0p3,"minmax + independent quantile (q=0.3, low selectivity)",independent_grid,ms1_drop_mutual,50,54.0,54.0,0.0,0.3144736842105263,5.24,5.24,0.01182054975316357,0.6999817618092286,0.700034758428919,0.7003642987249544,0.6943152355790077
bright,independent_minmax_quantile_q0p3,"minmax + independent quantile (q=0.3, low selectivity)",independent_grid,ms2,50,0.0,0.0,0.0,0.10057894736842105,1.0,1.0,0.0,0.6999817618092286,0.700034758428919,0.7003642987249544,0.5009318579088308
bright,independent_minmax_quantile_q0p5,minmax + independent quantile (q=0.5),independent,ms1,50,92.0,34.0,92.0,0.313578947368421,9.5,3.0,0.0651985689766063,0.5000911909538573,0.5,0.5,0.7565845392607348
bright,independent_minmax_quantile_q0p5,minmax + independent quantile (q=0.5),independent,ms1_drop_mutual,50,34.0,34.0,0.0,0.26410526315789473,3.0,3.0,0.006909229916521966,0.5000911909538573,0.5,0.5,0.744817495531113
bright,independent_minmax_quantile_q0p5,minmax + independent quantile (q=0.5),independent,ms2,50,0.0,0.0,0.0,0.061894736842105266,1.0,1.0,0.0,0.5000911909538573,0.5,0.5,0.4976227807938063
bright,independent_minmax_quantile_q0p7,"minmax + independent quantile (q=0.7, high selectivity)",independent_grid,ms1,50,62.0,16.0,62.0,0.19589473684210523,4.58,1.68,0.03357204356031276,0.3000182381907715,0.299965241571081,0.29993928354584093,0.8043190330700379
bright,independent_minmax_quantile_q0p7,"minmax + independent quantile (q=0.7, high selectivity)",independent_grid,ms1_drop_mutual,50,16.0,16.0,0.0,0.18063157894736842,1.68,1.68,0.003189196737091292,0.3000182381907715,0.299965241571081,0.29993928354584093,0.8011728515801912
bright,independent_minmax_quantile_q0p7,"minmax + independent quantile (q=0.7, high selectivity)",independent_grid,ms2,50,0.0,0.0,0.0,0.0311578947368421,1.0,1.0,0.0,0.3000182381907715,0.299965241571081,0.29993928354584093,0.49858477598504775
bright,independent_rank_percentile_q0p3,"rank-percentile (tie-abstain) + independent quantile (q=0.3, low selectivity)",independent_grid,ms1,50,96.0,58.0,96.0,0.4321052631578947,14.72,4.96,0.10863740339595314,0.7021703447018056,0.7097671185262426,0.7003642987249544,0.7259870619457351
bright,independent_rank_percentile_q0p3,"rank-percentile (tie-abstain) + independent quantile (q=0.3, low selectivity)",independent_grid,ms1_drop_mutual,50,58.0,58.0,0.0,0.31178947368421056,4.96,4.96,0.01316135789682149,0.7021703447018056,0.7097671185262426,0.7003642987249544,0.6892949517591797
bright,independent_rank_percentile_q0p3,"rank-percentile (tie-abstain) + independent quantile (q=0.3, low selectivity)",independent_grid,ms2,50,0.0,0.0,0.0,0.09726315789473684,1.0,1.0,0.0,0.7021703447018056,0.7097671185262426,0.7003642987249544,0.4859043789534212
bright,independent_rank_percentile_q0p5,rank-percentile (tie-abstain) + independent quantile (q=0.5),independent,ms1,50,94.0,48.0,94.0,0.3279473684210526,11.08,3.64,0.0778593970349571,0.5095750501550246,0.5076468543621828,0.5033394049787493,0.7745789868571634
bright,independent_rank_percentile_q0p5,rank-percentile (tie-abstain) + independent quantile (q=0.5),independent,ms1_drop_mutual,50,48.0,48.0,0.0,0.26942105263157895,3.64,3.64,0.009195694948326288,0.5095750501550246,0.5076468543621828,0.5033394049787493,0.7575105991474897
bright,independent_rank_percentile_q0p5,rank-percentile (tie-abstain) + independent quantile (q=0.5),independent,ms2,50,0.0,0.0,0.0,0.055842105263157894,1.0,1.0,0.0,0.5095750501550246,0.5076468543621828,0.5033394049787493,0.48751750696121515
bright,independent_rank_percentile_q0p7,"rank-percentile (tie-abstain) + independent quantile (q=0.7, high selectivity)",independent_grid,ms1,50,86.0,28.0,86.0,0.21742105263157893,6.02,2.04,0.04396556000082396,0.31552070034652563,0.31612791101842197,0.3430479659987857,0.8226567577699406
bright,independent_rank_percentile_q0p7,"rank-percentile (tie-abstain) + independent quantile (q=0.7, high selectivity)",independent_grid,ms1_drop_mutual,50,28.0,28.0,0.0,0.19647368421052633,2.04,2.04,0.005901727384006707,0.31552070034652563,0.31612791101842197,0.3430479659987857,0.8146090873887275
bright,independent_rank_percentile_q0p7,"rank-percentile (tie-abstain) + independent quantile (q=0.7, high selectivity)",independent_grid,ms2,50,0.0,0.0,0.0,0.027105263157894733,1.0,1.0,0.0,0.31552070034652563,0.31612791101842197,0.3430479659987857,0.497309720556234
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,50,92.0,22.0,92.0,0.3738947368421053,10.82,3.1,0.0547970834928075,0.9979937990151377,0.18039624608967675,0.5701275045537341,0.7656272183494397
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,50,22.0,22.0,0.0,0.31884210526315787,3.08,3.08,0.002798994803778616,0.9979937990151377,0.18039624608967675,0.5701275045537341,0.7592215084873838
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,50,0.0,0.0,0.0,0.05573684210526317,1.0,1.0,0.0,0.9979937990151377,0.18039624608967675,0.5701275045537341,0.34919896287520596
