dataset,query_id,method,n_candidates,is_cyclic,n_fas_removed,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
hotpotqa,5a88a42f554299206df2b317,llm_pairwise_copeland,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,bt_from_llm,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,win_rate_from_llm,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,markov_from_llm,10,True,6,1.0,1.0,0.2,1.0,5.0,5
hotpotqa,5a88a42f554299206df2b317,tournament_sort_from_llm,10,True,6,1.0,1.0,0.2,1.0,7.0,7
hotpotqa,5a88a42f554299206df2b317,greedy_fas_topological,10,True,6,1.0,1.0,0.2,1.0,5.0,5
hotpotqa,5a88a42f554299206df2b317,greedy_fas_weighted_balance,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,greedy_fas_copeland,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,hybrid_rrf_repaired_copeland_a03,10,True,6,1.0,1.0,0.2,1.0,5.0,5
hotpotqa,5a88a42f554299206df2b317,hybrid_rrf_unrepaired_copeland_a03,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5a88a42f554299206df2b317,hybrid_rrf_repaired_balance_a03,10,True,6,1.0,1.0,0.2,1.0,5.0,5
hotpotqa,5a88a42f554299206df2b317,hybrid_rrf_unrepaired_balance_a03,10,True,6,1.0,1.0,0.2,1.0,6.0,6
hotpotqa,5ae663b05542992ae0d16316,llm_pairwise_copeland,10,True,15,1.0,1.0,0.1,1.0,7.0,7
hotpotqa,5ae663b05542992ae0d16316,bt_from_llm,10,True,15,1.0,1.0,0.1,1.0,7.0,7
hotpotqa,5ae663b05542992ae0d16316,win_rate_from_llm,10,True,15,1.0,1.0,0.1,1.0,7.0,7
hotpotqa,5ae663b05542992ae0d16316,markov_from_llm,10,True,15,1.0,1.0,0.1,1.0,9.0,9
hotpotqa,5ae663b05542992ae0d16316,tournament_sort_from_llm,10,True,15,1.0,1.0,0.1,1.0,5.0,5
hotpotqa,5ae663b05542992ae0d16316,greedy_fas_topological,10,True,15,1.0,1.0,0.1,1.0,10.0,10
hotpotqa,5ae663b05542992ae0d16316,greedy_fas_weighted_balance,10,True,15,1.0,1.0,0.1,1.0,10.0,10
hotpotqa,5ae663b05542992ae0d16316,greedy_fas_copeland,10,True,15,1.0,1.0,0.1,1.0,10.0,10
hotpotqa,5ae663b05542992ae0d16316,hybrid_rrf_repaired_copeland_a03,10,True,15,1.0,1.0,0.1,1.0,8.0,8
hotpotqa,5ae663b05542992ae0d16316,hybrid_rrf_unrepaired_copeland_a03,10,True,15,1.0,1.0,0.1,1.0,7.0,7
hotpotqa,5ae663b05542992ae0d16316,hybrid_rrf_repaired_balance_a03,10,True,15,1.0,1.0,0.1,1.0,8.0,8
hotpotqa,5ae663b05542992ae0d16316,hybrid_rrf_unrepaired_balance_a03,10,True,15,1.0,1.0,0.1,1.0,7.0,7
hotpotqa,5ab6993f554299110f219a2b,llm_pairwise_copeland,10,True,1,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5ab6993f554299110f219a2b,bt_from_llm,10,True,1,0.63093,0.5,0.1,1.0,1.0,1
