dataset,regime,query_id,pair_name,method_key,metric,cutoff,greedy,ilp_scip,delta
bright,ms1,biology:0,copeland,copeland_graph_repaired,nDCG@5,5,0.21398626473452756,0.21398626473452756,0.0
bright,ms1,biology:0,copeland,copeland_graph_repaired,nDCG@10,10,0.25288473642100684,0.25288473642100684,0.0
bright,ms1,biology:0,copeland,copeland_graph_repaired,nDCG@20,20,0.323241539660714,0.323241539660714,0.0
bright,ms1,biology:0,copeland,copeland_graph_repaired,MRR,,0.5,0.5,0.0
bright,ms1,biology:0,copeland,copeland_graph_repaired,MAP,,0.30476190476190473,0.30476190476190473,0.0
bright,ms1,biology:0,balance,balance_graph_repaired,nDCG@5,5,0.3391602052736161,0.3391602052736161,0.0
bright,ms1,biology:0,balance,balance_graph_repaired,nDCG@10,10,0.3615901614084106,0.3615901614084106,0.0
bright,ms1,biology:0,balance,balance_graph_repaired,nDCG@20,20,0.43194696464811777,0.43194696464811777,0.0
bright,ms1,biology:0,balance,balance_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:0,balance,balance_graph_repaired,MAP,,0.4880952380952381,0.4880952380952381,0.0
bright,ms1,biology:0,markov,markov_graph_repaired,nDCG@5,5,0.21398626473452756,0.21398626473452756,0.0
bright,ms1,biology:0,markov,markov_graph_repaired,nDCG@10,10,0.17342765698823945,0.17342765698823945,0.0
bright,ms1,biology:0,markov,markov_graph_repaired,nDCG@20,20,0.3180665331304541,0.3180665331304541,0.0
bright,ms1,biology:0,markov,markov_graph_repaired,MRR,,0.5,0.5,0.0
bright,ms1,biology:0,markov,markov_graph_repaired,MAP,,0.29365079365079366,0.29365079365079366,0.0
bright,ms1,biology:0,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:0,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,0.18953836965473142,0.18953836965473142,0.0
bright,ms1,biology:0,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,0.2598951728944386,0.2598951728944386,0.0
bright,ms1,biology:0,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,0.16666666666666666,0.16666666666666666,0.0
bright,ms1,biology:0,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,0.2222222222222222,0.2222222222222222,0.0
bright,ms1,biology:0,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,0.13120507751234178,0.13120507751234178,0.0
bright,ms1,biology:0,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,0.19796212533499344,0.19796212533499344,0.0
bright,ms1,biology:0,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,0.2683189285747006,0.2683189285747006,0.0
bright,ms1,biology:0,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,0.2,0.2,0.0
bright,ms1,biology:0,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,0.2333333333333333,0.2333333333333333,0.0
bright,ms1,biology:0,topological_repaired,topological_repaired,nDCG@5,5,0.21398626473452756,0.21398626473452756,0.0
bright,ms1,biology:0,topological_repaired,topological_repaired,nDCG@10,10,0.17342765698823945,0.17342765698823945,0.0
bright,ms1,biology:0,topological_repaired,topological_repaired,nDCG@20,20,0.3159806012606139,0.3159806012606139,0.0
bright,ms1,biology:0,topological_repaired,topological_repaired,MRR,,0.5,0.5,0.0
bright,ms1,biology:0,topological_repaired,topological_repaired,MAP,,0.2893772893772894,0.2893772893772894,0.0
bright,ms1,biology:0,priority_topological_repaired,priority_topological_repaired,nDCG@5,5,0.14606834984270645,0.14606834984270645,0.0
bright,ms1,biology:0,priority_topological_repaired,priority_topological_repaired,nDCG@10,10,0.11838279295536291,0.11838279295536291,0.0
bright,ms1,biology:0,priority_topological_repaired,priority_topological_repaired,nDCG@20,20,0.2609357372277374,0.2609357372277374,0.0
bright,ms1,biology:0,priority_topological_repaired,priority_topological_repaired,MRR,,0.25,0.25,0.0
bright,ms1,biology:0,priority_topological_repaired,priority_topological_repaired,MAP,,0.20604395604395606,0.20604395604395606,0.0
bright,ms1,biology:1,copeland,copeland_graph_repaired,nDCG@5,5,0.5531464700081437,0.5087403079104241,-0.044406162097719526
bright,ms1,biology:1,copeland,copeland_graph_repaired,nDCG@10,10,0.7156767650519379,0.6796872745208438,-0.035989490531094126
bright,ms1,biology:1,copeland,copeland_graph_repaired,nDCG@20,20,0.7156767650519379,0.6796872745208438,-0.035989490531094126
bright,ms1,biology:1,copeland,copeland_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,copeland,copeland_graph_repaired,MAP,,0.711111111111111,0.6444444444444445,-0.06666666666666654
bright,ms1,biology:1,balance,balance_graph_repaired,nDCG@5,5,0.6992148198508501,0.6992148198508501,0.0
bright,ms1,biology:1,balance,balance_graph_repaired,nDCG@10,10,0.7450260556567766,0.7450260556567766,0.0
bright,ms1,biology:1,balance,balance_graph_repaired,nDCG@20,20,0.7450260556567766,0.7450260556567766,0.0
bright,ms1,biology:1,balance,balance_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,balance,balance_graph_repaired,MAP,,0.7892857142857143,0.7892857142857143,0.0
bright,ms1,biology:1,markov,markov_graph_repaired,nDCG@5,5,0.7227265726449519,0.6548086577531307,-0.0679179148918212
bright,ms1,biology:1,markov,markov_graph_repaired,nDCG@10,10,0.7703689102037634,0.7090365651256826,-0.06133234507808083
bright,ms1,biology:1,markov,markov_graph_repaired,nDCG@20,20,0.7703689102037634,0.7090365651256826,-0.06133234507808083
bright,ms1,biology:1,markov,markov_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,markov,markov_graph_repaired,MAP,,0.8583333333333332,0.7226190476190476,-0.13571428571428557
bright,ms1,biology:1,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,0.6992148198508501,0.6843515475204855,-0.014863272330364552
bright,ms1,biology:1,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,0.6645997082078611,0.6462661152375239,-0.01833359297033721
bright,ms1,biology:1,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,0.7318483520708122,0.713514759100475,-0.01833359297033721
bright,ms1,biology:1,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,0.7458333333333333,0.6967857142857143,-0.04904761904761901
bright,ms1,biology:1,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,0.6992148198508501,0.6992148198508501,0.0
bright,ms1,biology:1,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,0.6645997082078611,0.6645997082078611,0.0
bright,ms1,biology:1,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,0.7318483520708122,0.7318483520708122,0.0
bright,ms1,biology:1,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,0.7458333333333333,0.7458333333333333,0.0
bright,ms1,biology:1,topological_repaired,topological_repaired,nDCG@5,5,0.7227265726449519,0.7227265726449519,0.0
bright,ms1,biology:1,topological_repaired,topological_repaired,nDCG@10,10,0.7752805260144073,0.7601136219697595,-0.015166904044647822
bright,ms1,biology:1,topological_repaired,topological_repaired,nDCG@20,20,0.7752805260144073,0.7601136219697595,-0.015166904044647822
bright,ms1,biology:1,topological_repaired,topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,topological_repaired,topological_repaired,MAP,,0.8761904761904761,0.8253968253968254,-0.050793650793650724
bright,ms1,biology:1,priority_topological_repaired,priority_topological_repaired,nDCG@5,5,0.6992148198508501,0.6843515475204855,-0.014863272330364552
bright,ms1,biology:1,priority_topological_repaired,priority_topological_repaired,nDCG@10,10,0.7513135367019809,0.7329799437316437,-0.01833359297033721
bright,ms1,biology:1,priority_topological_repaired,priority_topological_repaired,nDCG@20,20,0.7513135367019809,0.7329799437316437,-0.01833359297033721
bright,ms1,biology:1,priority_topological_repaired,priority_topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:1,priority_topological_repaired,priority_topological_repaired,MAP,,0.8083333333333332,0.7592857142857143,-0.049047619047618896
bright,ms1,biology:2,copeland,copeland_graph_repaired,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,copeland,copeland_graph_repaired,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,copeland,copeland_graph_repaired,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,copeland,copeland_graph_repaired,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,copeland,copeland_graph_repaired,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,balance,balance_graph_repaired,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,balance,balance_graph_repaired,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,balance,balance_graph_repaired,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,balance,balance_graph_repaired,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,balance,balance_graph_repaired,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,markov,markov_graph_repaired,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,markov,markov_graph_repaired,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,markov,markov_graph_repaired,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,markov,markov_graph_repaired,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,markov,markov_graph_repaired,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,topological_repaired,topological_repaired,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,topological_repaired,topological_repaired,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,topological_repaired,topological_repaired,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,topological_repaired,topological_repaired,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,topological_repaired,topological_repaired,MAP,,0.0,0.0,0.0
bright,ms1,biology:2,priority_topological_repaired,priority_topological_repaired,nDCG@5,5,0.0,0.0,0.0
bright,ms1,biology:2,priority_topological_repaired,priority_topological_repaired,nDCG@10,10,0.0,0.0,0.0
bright,ms1,biology:2,priority_topological_repaired,priority_topological_repaired,nDCG@20,20,0.0,0.0,0.0
bright,ms1,biology:2,priority_topological_repaired,priority_topological_repaired,MRR,,0.0,0.0,0.0
bright,ms1,biology:2,priority_topological_repaired,priority_topological_repaired,MAP,,0.0,0.0,0.0
bright,ms1,biology:3,copeland,copeland_graph_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,copeland,copeland_graph_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,copeland,copeland_graph_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,copeland,copeland_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,copeland,copeland_graph_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:3,balance,balance_graph_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,balance,balance_graph_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,balance,balance_graph_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,balance,balance_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,balance,balance_graph_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:3,markov,markov_graph_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,markov,markov_graph_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,markov,markov_graph_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,markov,markov_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,markov,markov_graph_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:3,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,1.0,1.0,0.0
bright,ms1,biology:3,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,1.0,1.0,0.0
bright,ms1,biology:3,topological_repaired,topological_repaired,nDCG@5,5,0.787702056960637,0.787702056960637,0.0
bright,ms1,biology:3,topological_repaired,topological_repaired,nDCG@10,10,0.910853251331002,0.910853251331002,0.0
bright,ms1,biology:3,topological_repaired,topological_repaired,nDCG@20,20,0.910853251331002,0.910853251331002,0.0
bright,ms1,biology:3,topological_repaired,topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,topological_repaired,topological_repaired,MAP,,0.775,0.775,0.0
bright,ms1,biology:3,priority_topological_repaired,priority_topological_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:3,priority_topological_repaired,priority_topological_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:3,priority_topological_repaired,priority_topological_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:3,priority_topological_repaired,priority_topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:3,priority_topological_repaired,priority_topological_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:4,copeland,copeland_graph_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:4,copeland,copeland_graph_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:4,copeland,copeland_graph_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:4,copeland,copeland_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,copeland,copeland_graph_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:4,balance,balance_graph_repaired,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:4,balance,balance_graph_repaired,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:4,balance,balance_graph_repaired,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:4,balance,balance_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,balance,balance_graph_repaired,MAP,,1.0,1.0,0.0
bright,ms1,biology:4,markov,markov_graph_repaired,nDCG@5,5,0.9828920819566879,1.0,0.01710791804331213
bright,ms1,biology:4,markov,markov_graph_repaired,nDCG@10,10,0.9828920819566879,1.0,0.01710791804331213
bright,ms1,biology:4,markov,markov_graph_repaired,nDCG@20,20,0.9828920819566879,1.0,0.01710791804331213
bright,ms1,biology:4,markov,markov_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,markov,markov_graph_repaired,MAP,,0.95,1.0,0.050000000000000044
bright,ms1,biology:4,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:4,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:4,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:4,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,1.0,1.0,0.0
bright,ms1,biology:4,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,1.0,1.0,0.0
bright,ms1,biology:4,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,1.0,1.0,0.0
bright,ms1,biology:4,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,1.0,1.0,0.0
bright,ms1,biology:4,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,1.0,1.0,0.0
bright,ms1,biology:4,topological_repaired,topological_repaired,nDCG@5,5,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,topological_repaired,topological_repaired,nDCG@10,10,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,topological_repaired,topological_repaired,nDCG@20,20,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,topological_repaired,topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,topological_repaired,topological_repaired,MAP,,0.8875,1.0,0.11250000000000004
bright,ms1,biology:4,priority_topological_repaired,priority_topological_repaired,nDCG@5,5,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,priority_topological_repaired,priority_topological_repaired,nDCG@10,10,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,priority_topological_repaired,priority_topological_repaired,nDCG@20,20,0.9558295932317544,1.0,0.044170406768245574
bright,ms1,biology:4,priority_topological_repaired,priority_topological_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:4,priority_topological_repaired,priority_topological_repaired,MAP,,0.8875,1.0,0.11250000000000004
bright,ms1,biology:5,copeland,copeland_graph_repaired,nDCG@5,5,0.5531464700081437,0.5531464700081437,0.0
bright,ms1,biology:5,copeland,copeland_graph_repaired,nDCG@10,10,0.601312434202259,0.601312434202259,0.0
bright,ms1,biology:5,copeland,copeland_graph_repaired,nDCG@20,20,0.6857212427847592,0.6857212427847592,0.0
bright,ms1,biology:5,copeland,copeland_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:5,copeland,copeland_graph_repaired,MAP,,0.7159090909090909,0.7159090909090909,0.0
bright,ms1,biology:5,balance,balance_graph_repaired,nDCG@5,5,0.7227265726449519,0.7227265726449519,0.0
bright,ms1,biology:5,balance,balance_graph_repaired,nDCG@10,10,0.644824486427155,0.644824486427155,0.0
bright,ms1,biology:5,balance,balance_graph_repaired,nDCG@20,20,0.7292332950096551,0.726599204176327,-0.0026340908333281066
bright,ms1,biology:5,balance,balance_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:5,balance,balance_graph_repaired,MAP,,0.8409090909090909,0.8333333333333334,-0.007575757575757569
bright,ms1,biology:5,markov,markov_graph_repaired,nDCG@5,5,0.5531464700081437,0.5531464700081437,0.0
bright,ms1,biology:5,markov,markov_graph_repaired,nDCG@10,10,0.601312434202259,0.601312434202259,0.0
bright,ms1,biology:5,markov,markov_graph_repaired,nDCG@20,20,0.6753442787110273,0.6753442787110273,0.0
bright,ms1,biology:5,markov,markov_graph_repaired,MRR,,1.0,1.0,0.0
bright,ms1,biology:5,markov,markov_graph_repaired,MAP,,0.6875,0.6875,0.0
