dataset,regime,query_id,n_nodes,n_edges_pre_repair,is_cyclic_pre_repair,greedy_n_edges_removed,greedy_weight_removed,ilp_n_edges_removed,ilp_weight_removed,ilp_proven_optimal,weight_removed_delta_ilp_minus_greedy,edges_removed_delta_ilp_minus_greedy,same_edges_removed_set,repaired_is_dag_greedy,repaired_is_dag_ilp,bew_post_greedy,bew_post_ilp,pic_post_greedy,pic_post_ilp
bright,ms1,biology:0,20,97,False,0,0.0,0,0.0,True,0.0,0,True,True,True,22.695178431040794,22.695178431040794,46,46
bright,ms1,biology:1,20,97,True,10,2.3187870909593467,7,2.0145308273711198,True,-0.3042562635882269,-3,False,True,True,12.466182254863323,13.368126110478489,31,33
bright,ms1,biology:2,20,162,True,28,4.255180203916651,13,2.6576538787386013,True,-1.5975263251780496,-15,False,True,True,15.15429135805543,16.059800959432383,55,60
bright,ms1,biology:3,20,102,True,12,1.5699053525170663,7,1.2272326793201853,True,-0.342672673196881,-5,False,True,True,8.889708434508629,8.889708434508629,28,28
bright,ms1,biology:4,20,195,True,39,5.181737136056239,24,4.224828802439486,True,-0.9569083336167532,-15,False,True,True,11.672043526094294,10.356276971415598,52,57
bright,ms1,biology:5,20,187,True,19,3.4144293783518047,10,2.6482243770052807,True,-0.766205001346524,-9,False,True,True,15.184304732739044,15.659656845443427,79,85
bright,ms1,biology:6,20,181,True,33,9.407363881282329,22,5.808134721760507,True,-3.5992291595218218,-11,False,True,True,52.391145568197544,50.761255560033284,89,85
bright,ms1,biology:7,20,144,False,0,0.0,0,0.0,True,0.0,0,True,True,True,9.52472740430597,9.52472740430597,52,52
bright,ms1,biology:8,20,150,True,15,2.399291568989525,11,1.926905340449206,True,-0.4723862285403191,-4,False,True,True,48.379028733333385,48.86220486159649,79,82
bright,ms1,biology:9,20,167,True,28,2.4893702743160024,18,2.000800272171283,True,-0.48857000214471924,-10,False,True,True,44.33344477496505,45.38031867063228,64,73
bright,ms1,biology:10,20,148,True,3,0.36214255927554273,2,0.3362489287652708,True,-0.025893630510271937,-1,False,True,True,13.277634315931643,13.277634315931643,64,64
