pair_name,method_key,metric,cutoff,n_queries,mean_greedy,mean_ilp_scip,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_gt_zero,paired_permutation_pvalue,helped_query_count,harmed_query_count,unchanged_query_count,holm_pvalue,bh_pvalue
balance,balance_graph_repaired,MAP,,1025,0.3580551778267249,0.35779774485931304,-0.00025743296741182414,0.0,-0.0015669734599381396,0.0011774374801492894,0.3429,0.7376262373762624,22,31,972,1.0,0.9649960929832943
balance,balance_graph_repaired,MRR,,1025,0.39784425244434307,0.39781622226766833,-2.803017667474359e-05,0.0,-0.0015985280527614214,0.0019834183615096168,0.4632,0.981001899810019,10,22,993,1.0,0.9930006999300071
balance,balance_graph_repaired,nDCG@10,10,1025,0.3293202031949316,0.3282825909262824,-0.001037612268649201,0.0,-0.002289195359583034,0.00019291875604337668,0.0469,0.10118988101189881,15,26,984,1.0,0.635380906353809
balance,balance_graph_repaired,nDCG@20,20,869,0.26464221329070864,0.26435576030765223,-0.0002864529830564521,0.0,-0.0013898970874486637,0.0008896515066188427,0.2958,0.6126387361263873,22,31,816,1.0,0.8912908709129087
balance,balance_graph_repaired,nDCG@5,5,1025,0.306137156310595,0.305094104349104,-0.0010430519614910122,0.0,-0.00306296417661636,0.0007111949722725319,0.1326,0.29357064293570645,5,11,1009,1.0,0.6849981668499817
balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MAP,,1025,0.3739865312207486,0.37440084203702023,0.00041431081627160075,0.0,-0.0002195276244116511,0.0012473372992383026,0.8698,0.3417658234176582,8,16,1001,1.0,0.7476127387261273
balance_hybrid,hybrid_repaired_balance_a0p3_minmax,MRR,,1025,0.4135154145777872,0.41444750496468385,0.0009320903868966997,0.0,-0.000310531891988133,0.0025825920353359376,0.9055,0.28217178282171784,5,11,1009,1.0,0.6849981668499817
balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@10,10,1025,0.3375618640295942,0.33776286276678347,0.00020099873718930415,0.0,-0.0004172957041153819,0.0009050138531548187,0.726,0.5616438356164384,7,9,1009,1.0,0.8912908709129087
balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@20,20,869,0.2709959151929279,0.27138550896450475,0.00038959377157687014,0.0,-0.00015723254552746764,0.00112741371121017,0.8981,0.2576742325767423,8,16,845,1.0,0.6849981668499817
balance_hybrid,hybrid_repaired_balance_a0p3_minmax,nDCG@5,5,1025,0.309255611344033,0.3096634805645511,0.00040786922051810155,0.0,-4.986572072651624e-05,0.0010138350149671682,0.9434,0.24817518248175183,3,1,1021,1.0,0.6849981668499817
copeland,copeland_graph_repaired,MAP,,1025,0.35098663526631796,0.3502991893051122,-0.0006874459612056829,0.0,-0.0021603624294682772,0.0009133655708903002,0.2042,0.39936006399360063,38,59,928,1.0,0.7763697314479078
copeland,copeland_graph_repaired,MRR,,1025,0.3908330092847574,0.39063458946181895,-0.0001984198229384362,0.0,-0.0025059052187922154,0.0022264066164900567,0.4398,0.8674132586741325,25,38,962,1.0,0.9839484801519848
copeland,copeland_graph_repaired,nDCG@10,10,1025,0.3235277714549634,0.321742503378577,-0.0017852680763863452,0.0,-0.003587254733345622,-5.454643532145635e-05,0.021,0.0446955304469553,26,39,960,1.0,0.635380906353809
copeland,copeland_graph_repaired,nDCG@20,20,869,0.2605929423764004,0.26032744425765747,-0.0002654981187429514,0.0,-0.0012429816064802987,0.0008615002493220752,0.2913,0.6366363363663634,38,58,773,1.0,0.8912908709129087
copeland,copeland_graph_repaired,nDCG@5,5,1025,0.29749711042976595,0.297273650985373,-0.00022345944439301234,0.0,-0.0020402083950204365,0.0015910078109470326,0.4138,0.8112188781121887,15,18,992,1.0,0.9790572666871242
copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MAP,,1025,0.3722284363951401,0.3731352240006125,0.0009067876054724452,0.0,-0.000910190942486495,0.002876071554426408,0.8316,0.37036296370362964,23,37,965,1.0,0.7625119840957081
copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,MRR,,1025,0.40997609846503597,0.4119406890314917,0.0019645905664557027,0.0,-0.000303965833305862,0.004540359968821228,0.9527,0.1257874212578742,15,20,990,1.0,0.635380906353809
copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@10,10,1025,0.33564728530936055,0.335651959283647,4.67397428641623e-06,0.0,-0.0011043588568510733,0.0011059679682531298,0.5091,0.993000699930007,19,22,984,1.0,0.9930006999300071
copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@20,20,869,0.2696660413702686,0.2703225718863873,0.0006565305161187318,0.0,-0.00025525840737948997,0.001697123159295749,0.9159,0.20577942205779423,23,37,809,1.0,0.6849981668499817
copeland_hybrid,hybrid_repaired_copeland_a0p3_minmax,nDCG@5,5,1025,0.3072313345920902,0.30753311463112015,0.00030178003903000327,0.0,-0.0007370715947315928,0.0013575980540405236,0.7167,0.591040895910409,10,10,1005,1.0,0.8912908709129087
markov,markov_graph_repaired,MAP,,1025,0.3540672022554501,0.35395994125062064,-0.00010726100482953143,0.0,-0.0014707048964694507,0.0014306438711626356,0.4304,0.8996100389961004,29,37,959,1.0,0.9839484801519848
markov,markov_graph_repaired,MRR,,1025,0.3948333481565378,0.3954257873399306,0.0005924391833928949,0.0,-0.001067482653477141,0.002675704495316743,0.7248,0.6021397860213978,17,23,985,1.0,0.8912908709129087
markov,markov_graph_repaired,nDCG@10,10,1025,0.32437042540282784,0.32325919956374966,-0.001111225839078233,0.0,-0.0025016660786696147,0.0003063298488128563,0.0596,0.12498750124987501,24,33,968,1.0,0.635380906353809
markov,markov_graph_repaired,nDCG@20,20,869,0.26203423291311,0.2620181338984267,-1.6099014683337736e-05,0.0,-0.0009906654905063295,0.0011695995666072692,0.4611,0.9776022397760225,29,36,804,1.0,0.9930006999300071
markov,markov_graph_repaired,nDCG@5,5,1025,0.3006140991476337,0.2999931650016487,-0.0006209341459850752,0.0,-0.0026326177390757943,0.001368623427123192,0.2769,0.5625437456254374,11,14,1000,1.0,0.8912908709129087
priority_topological_repaired,priority_topological_repaired,MAP,,1025,0.3630331790321277,0.36138564387775496,-0.0016475351543727282,0.0,-0.003624131713009988,0.00026523209019187964,0.0473,0.09669033096690331,38,67,920,1.0,0.635380906353809
priority_topological_repaired,priority_topological_repaired,MRR,,1025,0.4031929784454514,0.4013293510587175,-0.001863627386733934,0.0,-0.004579670009171444,0.0005746528155744346,0.0671,0.1633836616338366,22,42,961,1.0,0.635380906353809
priority_topological_repaired,priority_topological_repaired,nDCG@10,10,1025,0.3287243454454529,0.32649476552323,-0.002229579922222949,0.0,-0.004436466099126074,-0.000265070058576259,0.0134,0.025897410258974102,30,45,950,0.9064093590640936,0.635380906353809
priority_topological_repaired,priority_topological_repaired,nDCG@20,20,869,0.2668776236153312,0.26582254856431464,-0.0010550750510165455,0.0,-0.0025010563635033804,0.0003070514730688265,0.0631,0.144985501449855,37,67,765,1.0,0.635380906353809
priority_topological_repaired,priority_topological_repaired,nDCG@5,5,1025,0.3037500598600975,0.30253560924022455,-0.0012144506198729864,0.0,-0.0035168248489707192,0.0009808926501818182,0.1369,0.2933706629337066,12,21,992,1.0,0.6849981668499817
topological_repaired,topological_repaired,MAP,,1025,0.34279749820915,0.3419562031458018,-0.0008412950633482227,0.0,-0.002843710410686831,0.0012098044767368185,0.2109,0.42145785421457854,40,56,929,1.0,0.7763697314479078
topological_repaired,topological_repaired,MRR,,1025,0.38803513525245764,0.38762602951178043,-0.00040910574067713697,0.0,-0.0036121873160903212,0.0027338497361415123,0.4126,0.795020497950205,27,34,964,1.0,0.9790572666871242
topological_repaired,topological_repaired,nDCG@10,10,1025,0.3142757537309935,0.31282376476811397,-0.0014519889628795525,0.0,-0.0035212027826427975,0.00048135512421579606,0.0695,0.1566843315668433,32,40,953,1.0,0.635380906353809
topological_repaired,topological_repaired,nDCG@20,20,869,0.2550370062011913,0.254942859994238,-9.414620695335025e-05,0.0,-0.0014762342148608347,0.0014007565144534928,0.4358,0.8964103589641036,41,54,774,1.0,0.9839484801519848
topological_repaired,topological_repaired,nDCG@5,5,1025,0.2877967296159205,0.2873838710592908,-0.00041285855662964786,0.0,-0.0026894514850250664,0.0020752583490866233,0.3619,0.7444255574442555,15,16,994,1.0,0.9649960929832943
