dataset,regime,config_id,pool_size,metric_cutoff,query_id,graph_is_cyclic,status,proven_optimal,trivial,gap,time_s,n_nodes,n_vars,n_constraints,objective,solver,solver_version,error
scidocs,ms1,pool50_ndcg10,50,10,78495383450e02c5fe817e408726134b3084905d,True,optimal,True,False,0.0,0.3185591697692871,50,2450,40425,2.091487234006081,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,True,optimal,True,False,0.0,0.3119995594024658,50,2450,40425,3.672126214334533,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,True,optimal,True,False,0.0,0.3379840850830078,50,2450,40425,12.576348587343631,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,3a63667284dc8b9687ed1620406030bfe39af3c9,True,optimal,True,False,0.0,0.3493640422821045,50,2450,40425,10.98516882924089,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,071f47b7bc5830643e31dbed82e0375bf9b26559,True,optimal,True,False,0.0,0.3444225788116455,50,2450,40425,5.273006256273675,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,True,optimal,True,False,0.0,0.30753087997436523,50,2450,40425,16.252354310543467,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,a65196dfff31425281c690a7f2ca65247147da6b,True,optimal,True,False,0.0,0.34290504455566406,50,2450,40425,11.528126714077928,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,a04b5b99f5d9d8748843e870536a4a9f65562012,True,optimal,True,False,0.0,0.3407473564147949,50,2450,40425,13.289007774396623,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,True,optimal,True,False,0.0,0.34302568435668945,50,2450,40425,7.793438165155351,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,True,optimal,True,False,0.0,0.31362152099609375,50,2450,40425,19.93951644462109,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,648678f1edab0d2139958070744b826d2b24c79e,True,optimal,True,False,0.0,0.3432459831237793,50,2450,40425,1.8880644005818255,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,True,optimal,True,False,0.0,0.34226226806640625,50,2450,40425,0.8619748341373423,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,4715401473dca02ebaa5bdd4d4003705ed91c380,True,optimal,True,False,0.0,0.31087660789489746,50,2450,40425,24.39613343016609,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,True,optimal,True,False,0.0,0.3058326244354248,50,2450,40425,7.302487379619244,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,3be10c45163c61dfb9f250412699b3f8cb0ada1d,True,optimal,True,False,0.0,0.3428807258605957,50,2450,40425,11.338737528211269,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,566c89a1ace18f57ac3212e6d62634b501990b31,True,optimal,True,False,0.0,0.33832836151123047,50,2450,40425,0.3052879825186068,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,370fda29c5aaff285311a87824c5f28db33da021,True,optimal,True,False,0.0,0.3101539611816406,50,2450,40425,17.02224687235409,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,6c89453c09abde95d998f5acd244f00519472ee0,True,optimal,True,False,0.0,0.3096950054168701,50,2450,40425,4.967049619878466,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,True,optimal,True,False,0.0,0.3408939838409424,50,2450,40425,37.77868578852713,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,714c194a2fc326151b905270558aa137f9f22730,True,optimal,True,False,0.0,0.34882211685180664,50,2450,40425,17.61383530918644,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,c79b88a8d8ba491cead38b431703d84015153a8f,True,optimal,True,False,0.0,0.34309840202331543,50,2450,40425,10.971594131230034,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,b2a20116c0609e23d3adfeaa604500fddca66178,True,optimal,True,False,0.0,0.31128478050231934,50,2450,40425,10.019963890438788,pyscipopt/SCIP,6.2.1,
scidocs,ms1,pool50_ndcg10,50,10,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,True,optimal,True,False,0.0,0.34101128578186035,50,2450,40425,3.803215337960168,pyscipopt/SCIP,6.2.1,
