dataset,regime,config_id,pool_size,metric_cutoff,pair_name,pair_family,metric,n_paired_queries,mean_unrepaired,mean_repaired,mean_delta,median_delta,std_delta,helped_queries,harmed_queries,unchanged_queries,perm_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_gt_zero,top_influence_query_id,top_influence_delta,mean_without_top_influence,median_without_top_influence,q05_delta,q25_delta,q50_delta,q75_delta,q95_delta,holm_full_family,bh_full_family,holm_active_ms1_family,bh_active_ms1_family
bright,ms1,pool50_ndcg10,50,10,balance_graph,graph,ndcg,50,0.5829498824097694,0.5842485256725307,0.0012986432627613601,0.0,0.017412015066489487,4,5,41,0.7955204479552045,-0.0025176783242133317,0.006848291457901512,0.6537,biology:42,0.11284514134893528,-0.0009778158818544342,0.0,-0.006884811108581163,0.0,0.0,0.0,0.009648135753292878,1.0,0.9928418922813601,1.0,0.9928418922813601
bright,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,ndcg,50,0.5324602607067439,0.5307433234140533,-0.0017169372926907562,0.0,0.016493586655332466,2,3,45,0.8142185781421858,-0.006910218260142824,0.0016137058143778228,0.2932,biology:9,-0.11284514134893522,0.000550985239069335,0.0,-0.00380692584703191,0.0,0.0,0.0,0.0,1.0,0.9928418922813601,1.0,0.9928418922813601
bright,ms1,pool50_ndcg10,50,10,copeland_graph,graph,ndcg,50,0.5533907665847881,0.5565083722086673,0.003117605623879213,0.0,0.03457595006160377,11,8,31,0.5649435056494351,-0.005947623835638539,0.013383502962476482,0.7286,biology:33,0.17319681505689122,-0.00035339865026389004,0.0,-0.026870409803294665,0.0,0.0,0.0,0.05284427263165688,1.0,0.9928418922813601,1.0,0.9928418922813601
bright,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,ndcg,50,0.5303234469519547,0.5328685575249236,0.002545110572968892,0.0,0.013328233917320874,6,2,42,0.26877312268773124,-0.000596679707498562,0.00669018303749263,0.9214,biology:21,0.06794340091829076,0.0012104515863296703,0.0,0.0,0.0,0.0,0.0,0.010480730106926548,1.0,0.8959104089591041,1.0,0.8959104089591041
bright,ms1,pool50_ndcg10,50,10,markov_graph,graph,ndcg,50,0.5475722228410288,0.5447980435933508,-0.002774179247677983,0.0,0.06496539640982105,8,9,33,0.7912208779122087,-0.021109887832136194,0.01497968280233687,0.3843,biology:42,0.2742043445820722,-0.008426802182979008,0.0,-0.08293895268922233,0.0,0.0,0.0,0.0458850857864504,1.0,0.9928418922813601,1.0,0.9928418922813601
fiqa,ms1,pool50_ndcg10,50,10,balance_graph,graph,ndcg,120,0.2712595447535417,0.2759094847821826,0.004649940028640825,0.0,0.02309769378054626,11,3,106,0.015798420157984203,0.0010556786280061887,0.009097942672900237,0.9981,12,0.17463612766613873,0.0032214846703425225,0.0,0.0,0.0,0.0,0.0,0.01759604263131123,0.31596840315968405,0.31596840315968405,0.31596840315968405,0.31596840315968405
fiqa,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,ndcg,120,0.2504702019754197,0.25163503914549606,0.0011648371700763347,0.0,0.011922707293883443,2,0,118,0.5057494250574942,0.0,0.003420755619914816,0.8686,446,0.13092975357145753,7.437568771178692e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9928418922813601,1.0,0.9928418922813601
fiqa,ms1,pool50_ndcg10,50,10,copeland_graph,graph,ndcg,120,0.25983960447234694,0.2563229505766419,-0.0035166538957050737,0.0,0.07692017594721523,11,11,98,0.6384361563843616,-0.01793165210964718,0.009607763174430753,0.3119,498,-0.5,0.0006554750631545471,0.0,-0.08281173798779469,0.0,0.0,0.0,0.10744949926062468,1.0,0.9928418922813601,1.0,0.9928418922813601
fiqa,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,ndcg,120,0.2566867172121333,0.2586348967547326,0.0019481795425992994,0.0,0.016832586718726023,6,2,112,0.1695830416958304,-0.00018772008323114745,0.005489825500323516,0.9463,25,0.17723928678404774,0.0004751450279652789,0.0,0.0,0.0,0.0,0.0,0.0003487744480167611,1.0,0.8959104089591041,1.0,0.8959104089591041
fiqa,ms1,pool50_ndcg10,50,10,markov_graph,graph,ndcg,120,0.2815741025779006,0.27855462808214565,-0.0030194744957549855,0.0,0.06553679381083391,8,13,99,0.6203379662033797,-0.015047260195989507,0.008733268363252937,0.3023,21,-0.36907024642854247,5.6582411243228715e-05,0.0,-0.02780992360085129,0.0,0.0,0.0,0.028202863008190297,1.0,0.9928418922813601,1.0,0.9928418922813601
