stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.4e-05,7.4e-05,7.4e-05,7.4e-05
pairwise_preference_generation,1,0.000443,0.000443,0.000443,0.000443
graph_construction,1,0.002884,0.002884,0.002884,0.002884
cycle_detection,1,0.000174,0.000174,0.000174,0.000174
ranking_score_sum,1,9.7e-05,9.7e-05,9.7e-05,9.7e-05
ranking_borda,1,3.3e-05,3.3e-05,3.3e-05,3.3e-05
greedy_fas_solver,1,0.025076,0.025076,0.025076,0.025076
ranking_topological,1,0.000204,0.000204,0.000204,0.000204
evaluation,1,0.000321,0.000321,0.000321,0.000321
total_experiment,1,0.029513,0.029513,0.029513,0.029513
