stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.173262,0.173262,0.173262,0.173262
candidate_selection,1,0.005613,0.005613,0.005613,0.005613
pairwise_preference_generation,50,0.006182,0.000124,0.000121,0.000171
graph_construction,50,0.035038,0.000701,0.000108,0.029127
cycle_detection,50,0.001489,3e-05,2.9e-05,4.7e-05
greedy_fas_solver,50,0.029286,0.000586,0.000565,0.00135
ranking_score_sum,50,0.001501,3e-05,2.9e-05,5e-05
ranking_borda,50,0.000954,1.9e-05,1.9e-05,2.7e-05
ranking_pagerank,50,0.278829,0.005577,0.001936,0.184607
ranking_topological,50,0.002911,5.8e-05,5.6e-05,7.9e-05
ranking_fas_weighted_balance,50,0.00179,3.6e-05,3.6e-05,4.7e-05
ranking_fas_copeland,50,0.001337,2.7e-05,2.7e-05,3.5e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.002671,5.3e-05,5.2e-05,9.2e-05
ranking_fas_score_augmented_topological,50,0.002895,5.8e-05,5.7e-05,7.5e-05
ranking_hybrid_rrf_fas_regularized,50,0.002204,4.4e-05,4.3e-05,5.8e-05
ranking_hybrid_rrf_balance_a05,50,0.001926,3.9e-05,3.8e-05,5.4e-05
ranking_hybrid_rrf_copeland_a03,50,0.001688,3.4e-05,3.3e-05,5.1e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.004371,8.7e-05,8.5e-05,0.000116
evaluation,50,0.069102,0.001382,0.00137,0.001509
total_pipeline,1,0.477582,0.477582,0.477582,0.477582
