method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
borda,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
pagerank,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.43347374,0.452632,0.652632,0.6308315,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
greedy_fas_topological,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.43347374,0.452632,0.652632,0.6308315,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
greedy_fas_weighted_balance,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
greedy_fas_copeland,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
greedy_fas_score_augmented_topological,50,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09199998000000001,-0.031579,0.178947,0.63109884,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
fas_balance_score_prior_alpha_beta,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_rrf_fas_regularized,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_rrf_balance_a05,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_rrf_copeland_a03,50,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.65778402,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_rrf_priority_topo_a03,50,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09199998000000001,-0.031579,0.178947,0.63109884,1.0,1.0,0.287,1.0,1.0,0.00892832,0.00471,0.216664,20.0,86.26,0.0,0.0,0.0,0.0,0.0,0.0
