method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,50,17.76,18.0,32.0,4.0,12.64,13.5,24,0.6345263400000001,0.642105,0.842105,0.64813834,1.0,1.0,0.287,1.0,1.0,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
borda,50,18.02,18.0,33.0,4.0,12.9,13.5,24,0.65389478,0.657895,0.863158,0.61218652,0.97343362,1.0,0.287,1.0,0.98990222,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
pagerank,50,21.6,20.0,45.0,4.0,16.36,16.0,31,0.36715792,0.373684,0.652632,0.51302094,0.90076156,0.81110266,0.287,1.0,0.9118376,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
greedy_fas_topological,50,18.08,18.0,40.0,2.0,14.58,15.0,35,0.29389474,0.294737,0.515789,0.29272414,0.74555654,0.74807548,0.287,1.0,0.82268494,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
greedy_fas_weighted_balance,50,18.04,18.5,35.0,4.0,12.96,13.5,25,0.60673684,0.610526,0.789474,0.6108298,0.98372456,0.99482872,0.287,1.0,0.99041448,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
greedy_fas_copeland,50,20.52,21.0,41.0,4.0,15.42,15.5,33,0.57831572,0.578947,0.778947,0.49778557999999995,0.88137938,0.9936307200000001,0.287,1.0,0.95444272,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
greedy_fas_score_augmented_topological,50,17.82,17.0,40.0,2.0,14.42,14.0,32,0.0256842,0.052632,0.305263,0.29796422,0.7479719199999999,0.74140934,0.287,1.0,0.8237538600000001,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
fas_balance_score_prior_alpha_beta,50,17.78,18.0,34.0,4.0,12.66,13.5,24,0.60568418,0.610526,0.8,0.63476,0.9961427999999999,0.9985238,0.287,1.0,0.99719488,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
hybrid_rrf_fas_regularized,50,18.04,18.5,35.0,4.0,12.96,13.5,25,0.60673684,0.610526,0.789474,0.6108298,0.98372456,0.99482872,0.287,1.0,0.99041448,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
hybrid_rrf_balance_a05,50,18.04,18.5,35.0,4.0,12.96,13.5,25,0.60673684,0.610526,0.789474,0.6108298,0.98372456,0.99482872,0.287,1.0,0.99041448,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
hybrid_rrf_copeland_a03,50,20.52,21.0,41.0,4.0,15.42,15.5,33,0.57831572,0.578947,0.778947,0.49778557999999995,0.88137938,0.9936307200000001,0.287,1.0,0.95444272,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
hybrid_rrf_priority_topo_a03,50,17.0,18.0,40.0,2.0,13.76,14.0,32,0.16547367999999998,0.1842105,0.484211,0.31406058000000003,0.7614131000000001,0.75736678,0.287,1.0,0.8341786600000001,0.01030318,0.0062455,0.204424,20.0,86.26,100.0,20.9,17.76,10.56,12.64,6.78
