provider,model,dataset,experiment,policy,status,usable_queries,cyclic_pct,mean_delta_ndcg,ci95_low,ci95_high,help,harm,inactive,reproducibility_note
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q50_k15,P0,reconstructed-from-committed-final-outputs,50,92.0,-0.000953,-0.001784,-0.000208,0,5,45,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q50_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q50_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q50_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q50_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q20_k15,P0,reconstructed-from-committed-final-outputs,20,80.0,0.0,0.0,0.0,0,0,20,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q20_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q20_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q20_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q20_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,fiqa,openai_fiqa_real_run_q20_k15,P0,reconstructed-from-committed-final-outputs,10,10.0,0.0,0.0,0.0,0,0,10,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,fiqa,openai_fiqa_real_run_q20_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,fiqa,openai_fiqa_real_run_q20_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,fiqa,openai_fiqa_real_run_q20_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,fiqa,openai_fiqa_real_run_q20_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
gemini,gemini-3.1-flash-lite-preview,scidocs,gemini_scidocs_real_pilot,P0,reconstructed-from-committed-final-outputs,2,100.0,-0.004465,-0.00893,0.0,0,1,1,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
gemini,gemini-3.1-flash-lite-preview,scidocs,gemini_scidocs_real_pilot,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
gemini,gemini-3.1-flash-lite-preview,scidocs,gemini_scidocs_real_pilot,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
gemini,gemini-3.1-flash-lite-preview,scidocs,gemini_scidocs_real_pilot,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
gemini,gemini-3.1-flash-lite-preview,scidocs,gemini_scidocs_real_pilot,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_run_q20_k15,P0,reconstructed-from-committed-final-outputs,20,95.0,-0.000303,-0.000909,0.0,0,1,19,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_run_q20_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_run_q20_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_run_q20_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_run_q20_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q30_k15,P0,reconstructed-from-committed-final-outputs,30,96.6667,-0.000895,-0.002079,0.0,0,3,27,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q30_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q30_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q30_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_scidocs_real_pairwise_q30_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q10_k15,P0,reconstructed-from-committed-final-outputs,10,90.0,-0.006932,-0.020797,0.0,0,1,9,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q10_k15,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q10_k15,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q10_k15,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,hotpotqa,openai_hotpotqa_real_run_q10_k15,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_smoke_scidocs_q1_k5,P0,reconstructed-from-committed-final-outputs,1,100.0,0.0,0.0,0.0,0,0,1,"Computed from stored per-query repaired/unrepaired outputs, not raw responses."
openai,gpt-4o-mini,scidocs,openai_smoke_scidocs_q1_k5,P1,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_smoke_scidocs_q1_k5,P2,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_smoke_scidocs_q1_k5,P3,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
openai,gpt-4o-mini,scidocs,openai_smoke_scidocs_q1_k5,P4,not-reproducible-from-committed-artifacts,,,,,,,,,"Raw pairwise response texts are absent, so ambiguity/fallback-sensitive reparsing cannot be reproduced."
