dataset,variant,pair,n_queries,mean_delta_ndcg,ci95_low,ci95_high,bootstrap_reps
scidocs,ms2,copeland,119,0.0,0.0,0.0,2000
scidocs,ms2,copeland_scc_high,119,0.0,0.0,0.0,2000
scidocs,ms2,copeland_scc_low,0,,,,2000
scidocs,ms2,balance,119,0.0,0.0,0.0,2000
scidocs,ms1,copeland,120,-0.009116783333333333,-0.016691933333333336,-0.0029046000000000002,2000
scidocs,ms1,copeland_scc_high,70,-0.015125328571428572,-0.027054457142857147,-0.0057382,2000
scidocs,ms1,copeland_scc_low,50,-0.0007048199999999993,-0.00540572,0.004118200000000001,2000
scidocs,ms1,balance,120,-2.4691666666666148e-05,-7.407499999999845e-05,0.0,2000
scidocs,ms1_drop_mutual,copeland,120,2.0600000000000247e-05,0.0,6.180000000000074e-05,2000
scidocs,ms1_drop_mutual,copeland_scc_high,120,2.0600000000000247e-05,0.0,6.180000000000074e-05,2000
scidocs,ms1_drop_mutual,copeland_scc_low,0,,,,2000
scidocs,ms1_drop_mutual,balance,120,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland,52,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland_scc_high,52,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland_scc_low,0,,,,2000
hotpotqa,ms2,balance,52,0.0,0.0,0.0,2000
hotpotqa,ms1,copeland,52,-0.0008684999999999985,-0.002182269230769226,0.0,2000
hotpotqa,ms1,copeland_scc_high,34,-0.0013282941176470566,-0.0031246470588235245,0.0,2000
hotpotqa,ms1,copeland_scc_low,18,0.0,0.0,0.0,2000
hotpotqa,ms1,balance,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland_scc_high,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland_scc_low,0,,,,2000
hotpotqa,ms1_drop_mutual,balance,52,0.0,0.0,0.0,2000
