dataset,query_id,preserve_metric,repair_metric,oracle,n_regimes,delta
bright,biology:0,0.44678399407667807,0.44694251559684833,0.44699544705969513,370,0.00015852152017026278
bright,biology:1,0.8705720095831091,0.8745715523334932,0.8778630068152589,376,0.003999542750384055
bright,biology:10,0.8860760097665196,0.8850916978283014,0.8860955316563327,386,-0.0009843119382181298
bright,biology:11,0.9379286517248373,0.9442448189586992,0.946576842058063,386,0.006316167233861858
bright,biology:12,0.7937868013639443,0.7875504046094486,0.7997268668740223,386,-0.006236396754495721
bright,biology:13,0.8321278127758195,0.8415163616260883,0.8430773638971681,386,0.009388548850268852
bright,biology:14,0.8321361018071769,0.8342232655708568,0.8349349879163424,376,0.0020871637636799
bright,biology:15,0.3702002441699511,0.368260949346923,0.3721522802857391,376,-0.001939294823028126
bright,biology:16,0.23935706566787898,0.23929062674979146,0.23935706566787898,376,-6.643891808752467e-05
bright,biology:17,0.9610012038752891,0.9610426331184941,0.963749127639742,386,4.142924320504893e-05
bright,biology:18,0.017508536046796568,0.017508536046796568,0.017508536046796568,376,0.0
bright,biology:19,1.0,1.0,1.0,386,0.0
bright,biology:2,0.12161417078174447,0.12144755475160963,0.12164545890352613,386,-0.0001666160301348335
bright,biology:20,0.9084192409811236,0.9082297953400358,0.9089593393027655,386,-0.00018944564108780426
bright,biology:21,0.8997328722731193,0.9000022419511523,0.9011773852757564,386,0.0002693696780330379
bright,biology:22,0.39570086901588225,0.4021075559692887,0.40505487613143987,386,0.00640668695340646
bright,biology:23,0.0,0.0,0.0,376,0.0
bright,biology:24,0.9484878806766791,0.9485156895185407,0.9485156895185407,386,2.7808841861598488e-05
bright,biology:25,0.6201186304948051,0.6273160233388149,0.6349349512975392,356,0.007197392844009776
bright,biology:26,0.2691020974415482,0.2679898217340939,0.2703222668556739,356,-0.0011122757074543133
bright,biology:27,0.9122122047550184,0.8841538867411818,0.9130978150682078,356,-0.028058318013836625
bright,biology:28,0.9653858755892871,0.9674024668554907,0.9723150440762736,356,0.002016591266203571
bright,biology:29,0.25018015309583874,0.2496437153334066,0.2523543192068487,356,-0.0005364377624321459
bright,biology:3,0.9891634371532639,0.9861636595258376,0.9897158160336097,386,-0.0029997776274263144
bright,biology:30,0.9242620678634614,0.9280952610761419,0.9289435950541379,356,0.003833193212680497
bright,biology:31,0.9551256821184443,0.9597029208009484,0.9612266991464172,356,0.004577238682504148
bright,biology:32,0.678447183560886,0.6784563970583102,0.6784563970583102,356,9.21349742422084e-06
bright,biology:33,0.8466440933686418,0.8565779916513102,0.8627363612100514,356,0.00993389828266844
bright,biology:34,0.0,0.0,0.0,356,0.0
bright,biology:35,0.5708517818898441,0.5697692347542372,0.5773572053216237,356,-0.0010825471356068483
bright,biology:36,0.6104828958674918,0.5746565088740756,0.6126794731419737,356,-0.035826386993416226
bright,biology:37,0.11807800342750287,0.11807800342750287,0.11807800342750287,356,0.0
bright,biology:38,0.9224535961900695,0.9213058668979094,0.9227570245428457,356,-0.0011477292921601157
bright,biology:39,0.8747759771319891,0.8818597125913668,0.8836305398260133,356,0.0070837354593776825
bright,biology:4,0.948491934984082,0.9485710082289228,0.9504706717409811,386,7.907324484079936e-05
bright,biology:40,0.4958972387200457,0.5081941397453611,0.5091789474167677,356,0.012296901025315388
bright,biology:41,0.8693703261272693,0.8729383030701715,0.875465717046196,356,0.003567976942902229
bright,biology:42,0.516492647426654,0.5240825959562652,0.5281683334224698,356,0.007589948529611146
bright,biology:43,0.2630001652574418,0.25423092652063484,0.2645011538039869,356,-0.008769238736806961
bright,biology:44,0.4225112945871806,0.4224870931534064,0.42401682834569193,356,-2.4201433774240222e-05
bright,biology:45,0.3346880558874617,0.3206447302434496,0.3365286251193515,356,-0.014043325644012117
bright,biology:46,0.07040611093875372,0.0708208927462683,0.0712343309295685,356,0.00041478180751457205
bright,biology:47,0.6048815895989287,0.5968915761146396,0.6087718117663035,356,-0.007990013484289071
bright,biology:48,0.30079608590220863,0.3011856005963783,0.30212338750733475,356,0.0003895146941696459
bright,biology:49,0.4874565236824744,0.4735093527839164,0.48889094559774626,356,-0.013947170898557959
bright,biology:5,0.8908600841575501,0.889449968586918,0.8931857978681973,386,-0.0014101155706320867
bright,biology:50,0.4249599017752093,0.4249599017752093,0.4249599017752093,1,0.0
bright,biology:51,0.0,0.0,0.0,1,0.0
bright,biology:52,0.7149900109169716,0.7149900109169716,0.7149900109169716,1,0.0
bright,biology:53,0.5508095940041026,0.5508095940041026,0.5508095940041026,1,0.0
bright,biology:54,0.6671257879301893,0.6671257879301893,0.6671257879301893,1,0.0
bright,biology:55,0.4188952322724267,0.4188952322724267,0.4188952322724267,1,0.0
bright,biology:56,0.0,0.0,0.0,1,0.0
bright,biology:57,0.8348200792023318,0.8348200792023318,0.8348200792023318,1,0.0
bright,biology:58,0.8451850618939637,0.8451850618939637,0.8451850618939637,1,0.0
bright,biology:59,0.3189825639565941,0.3189825639565941,0.3189825639565941,1,0.0
bright,biology:6,0.702947647381454,0.6971848455737559,0.7066598643553476,386,-0.005762801807698059
bright,biology:60,0.2559580248098155,0.2559580248098155,0.2559580248098155,1,0.0
bright,biology:61,0.7109050375811679,0.7109050375811679,0.7109050375811679,1,0.0
bright,biology:62,0.6240505200038379,0.6240505200038379,0.6240505200038379,1,0.0
bright,biology:63,0.244650542118226,0.244650542118226,0.244650542118226,1,0.0
bright,biology:64,0.3847078518234938,0.3847078518234938,0.3847078518234938,1,0.0
bright,biology:65,0.8772153153380493,0.6509209298071326,0.8772153153380493,1,-0.22629438553091674
bright,biology:66,0.8520036678470282,0.8520036678470282,0.8520036678470282,1,0.0
bright,biology:67,0.5279618220882902,0.5279618220882902,0.5279618220882902,1,0.0
bright,biology:68,0.5073118668981403,0.5073118668981403,0.5073118668981403,1,0.0
bright,biology:69,0.8455586002619683,0.8455586002619683,0.8455586002619683,1,0.0
bright,biology:7,0.9367405129607241,0.9369071560055489,0.9369197032897261,386,0.00016664304482472136
bright,biology:70,0.5581242405308336,0.5581242405308336,0.5581242405308336,1,0.0
bright,biology:71,0.9318171001351272,0.9318171001351272,0.9318171001351272,1,0.0
bright,biology:72,0.8658571984169293,0.8658571984169293,0.8658571984169293,1,0.0
bright,biology:73,0.0,0.0,0.0,1,0.0
bright,biology:74,0.8504764442273092,0.8504764442273092,0.8504764442273092,1,0.0
bright,biology:75,0.4847122190364953,0.4847122190364953,0.4847122190364953,1,0.0
bright,biology:76,0.0,0.0,0.0,1,0.0
bright,biology:77,0.430676558073393,0.430676558073393,0.430676558073393,1,0.0
bright,biology:78,0.9619991470595832,0.9619991470595832,0.9619991470595832,1,0.0
bright,biology:79,0.3189825639565941,0.3189825639565941,0.3189825639565941,1,0.0
bright,biology:8,0.40048840558802445,0.3932530274891922,0.4043254540752651,386,-0.007235378098832235
bright,biology:80,0.5256940434743352,0.5256940434743352,0.5256940434743352,1,0.0
bright,biology:81,0.0,0.0,0.0,1,0.0
bright,biology:82,0.5780136823717549,0.5780136823717549,0.5780136823717549,1,0.0
