dataset,n_queries,mean_preserve,mean_repair,mean_oracle,headroom,headroom_ci_lower,headroom_ci_upper,frac_benefit,frac_harm,frac_neutral,mean_delta,median_delta,std_delta,slice_type,repair_algorithm,regime,pair_family,source_family
bright,18524,0.614215033275258,0.6131606548994717,0.6177716468287594,0.003556613553501453,0.0032306791431478315,0.003885907518093987,0.0765493413949471,0.07795292593392356,0.8454977326711294,-0.0010543783757863729,0.0,0.03715989765297427,by_dataset,,,,
fiqa,43430,0.2809886126818828,0.28137286658837546,0.283726477422338,0.002353610833962516,0.002135943535681693,0.0025805499658541095,0.03939673037071149,0.029495740271701588,0.9311075293575869,0.0003842539064926803,0.0,0.03392833847436982,by_dataset,,,,
hotpotqa,17549,0.8683038307684877,0.8690897212505012,0.8712763764678935,0.0021866552173922527,0.0017877645784813573,0.002598317663885943,0.017721807510399454,0.014644709100233631,0.9676334833893669,0.0007858904820134024,0.0,0.04004687935874975,by_dataset,,,,
scidocs,42700,0.31683314085109965,0.3176049826685312,0.32003874674523647,0.002433764076705258,0.0022430807371874094,0.0026230443671192514,0.059976580796252926,0.05175644028103044,0.8882669789227167,0.000771841817431563,0.0,0.030911050317181873,by_dataset,,,,
,9576,0.3979836248585303,0.3990265967371127,0.40566343456769,0.00663683783057728,0.005866996055248671,0.007440640327890335,0.08155806182121972,0.0804093567251462,0.8380325814536341,0.0010429718785824188,0.0,0.05813683609434969,by_repair_algorithm,exact_ilp,,,
,112627,0.43094997268876833,0.4312511312128326,0.43361621518414356,0.002365083971310966,0.00223968512896465,0.0024928024604116326,0.04634767862057943,0.039262343842950624,0.9143899775364699,0.0003011585240642654,0.0,0.03156173089620516,by_repair_algorithm,greedy,,,
bright,1400,0.56191387380433,0.5626856836850656,0.5717873215313398,0.009101637846274269,0.007033038172366673,0.011291677728743291,0.14857142857142858,0.13214285714285715,0.7192857142857143,0.0007718098807355886,0.0,0.05853180109655282,by_dataset_and_repair_algorithm,exact_ilp,,,
bright,17124,0.6184909981934607,0.6172873168768233,0.6215311688689595,0.0030401706754988878,0.0027197904675507977,0.0033668275359472607,0.0706610604998832,0.07352254146227517,0.8558163980378416,-0.0012036813166372694,0.0,0.03483607039829183,by_dataset_and_repair_algorithm,greedy,,,
fiqa,3360,0.2626819356805895,0.26312787386021647,0.269736101774093,0.006608227913876552,0.005235257920159998,0.008141292174686064,0.06339285714285714,0.06011904761904762,0.8764880952380952,0.00044593817962699817,0.0,0.062091924503589094,by_dataset_and_repair_algorithm,exact_ilp,,,
fiqa,40070,0.2825236871696378,0.2829027686489348,0.2848996159843071,0.001996847335372254,0.0018000119608898787,0.002203636444228193,0.03738457699026703,0.026927876216620912,0.9356875467931121,0.0003790814792969899,0.0,0.030404935536365967,by_dataset_and_repair_algorithm,greedy,,,
hotpotqa,1456,0.8538763702469387,0.8569133756318202,0.8607148063174733,0.0038014306856530844,0.0021125420619262174,0.005773173621474825,0.03983516483516483,0.0260989010989011,0.9340659340659341,0.0030370053848815543,0.0,0.05634829210517088,by_dataset_and_repair_algorithm,exact_ilp,,,
hotpotqa,16093,0.8696091425512117,0.87019136539521,0.8722319252244343,0.002040559829224242,0.0016430625617753095,0.0024636033748490303,0.01572112098427888,0.01360840116820978,0.9706704778475114,0.0005822228439983627,0.0,0.03822658811289711,by_dataset_and_repair_algorithm,greedy,,,
scidocs,3360,0.2674275206407443,0.26831642919798865,0.27518355336819333,0.006867124170204686,0.005704564449332423,0.008128029627566959,0.08988095238095238,0.10267857142857142,0.8074404761904762,0.0008889085572443937,0.0,0.05454139749147107,by_dataset_and_repair_algorithm,exact_ilp,,,
scidocs,39340,0.3210528379509165,0.3218146811855882,0.32386979528989496,0.0020551141043067545,0.0018808408260014829,0.0022299408147589623,0.057422470767666496,0.047407219115404166,0.8951703101169294,0.0007618432346717484,0.0,0.027983898371509074,by_dataset_and_repair_algorithm,greedy,,,
bright,7197,0.611853178420315,0.6088269655795667,0.6202592990526055,0.008406120632290515,0.007601494016250179,0.00922571704297059,0.16701403362512157,0.17535084062803946,0.6576351257468389,-0.0030262128407481876,0.0,0.05874083264208996,by_dataset_and_regime,,ms1,,
bright,5697,0.6255862613250448,0.6259873486345265,0.6265220953013237,0.0005347466667972034,0.000379414592402455,0.0007133065264482223,0.037212568018255225,0.031068983675618746,0.931718448306126,0.0004010873094816949,0.0,0.0110772056547708,by_dataset_and_regime,,ms1_drop_mutual,,
bright,5630,0.6057277123501056,0.6057212033589299,0.6057370219614026,9.309611296970388e-06,1.3768358761621308e-06,2.0101894242554998e-05,0.0007104795737122557,0.0008880994671403197,0.9984014209591474,-6.50899117571685e-06,0.0,0.0007029600224464279,by_dataset_and_regime,,ms2,,
