dataset,protocol,regime,query_id,graph_changed,raw_balance_scores_changed,normalized_balance_scores_changed,balance_only_ranking_changed,hybrid_scores_changed,full_hybrid_ranking_changed,top_k_set_changed,top_k_order_changed,relevance_sequence_changed,ndcg_changed,hybrid_delta_ndcg
scidocs,primary_minmax_retention_matched,ms2,78495383450e02c5fe817e408726134b3084905d,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,3a63667284dc8b9687ed1620406030bfe39af3c9,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,071f47b7bc5830643e31dbed82e0375bf9b26559,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,a65196dfff31425281c690a7f2ca65247147da6b,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,a04b5b99f5d9d8748843e870536a4a9f65562012,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,648678f1edab0d2139958070744b826d2b24c79e,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,4715401473dca02ebaa5bdd4d4003705ed91c380,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,3be10c45163c61dfb9f250412699b3f8cb0ada1d,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,566c89a1ace18f57ac3212e6d62634b501990b31,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,370fda29c5aaff285311a87824c5f28db33da021,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,6c89453c09abde95d998f5acd244f00519472ee0,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,714c194a2fc326151b905270558aa137f9f22730,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,c79b88a8d8ba491cead38b431703d84015153a8f,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,b2a20116c0609e23d3adfeaa604500fddca66178,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,281b6888d5df1dddb350fac4e9be5c8272519109,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,0a40663fdcf7c5fb7cfc459693116c41309e7eca,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,8501e330d78391f4e690886a8eb8fac867704ea6,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,beac53e8074b4822943a3374ff5e9fed98a891b8,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,7db20fcc1d71edc32c365f145148d24b9f1427a5,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,335ad0ff82c728aca99fb0059c607cb18129526f,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,04e4034344bda5c97015ea634e6eb1b65ef3a898,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,271a4077c037b86fb7daf6bff3e66682322ff7d7,False,False,False,False,False,False,False,False,False,False,0.0
scidocs,primary_minmax_retention_matched,ms2,3d23666c6d97d6ba3c86044d83c697821084bed6,False,False,False,False,False,False,False,False,False,False,0.0
