dataset,protocol,protocol_label,regime,bm25_weight_share_total,bm25_weight_share_conditional,calibration,threshold_mode
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,0.3699417826146125,0.37950984828321915,minmax_query_ranker,retention_matched
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,0.4548871822329182,0.5324865140452713,minmax_query_ranker,retention_matched
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,0.4957505219982203,0.5152905591392198,minmax_query_ranker,retention_matched
scidocs,ablation_raw_fixed,raw + fixed,ms2,0.9779834318274411,0.9788109542626073,raw,fixed_numeric
scidocs,ablation_raw_fixed,raw + fixed,ms1,0.9830479510255377,0.9870607251835337,raw,fixed_numeric
scidocs,ablation_raw_fixed,raw + fixed,ms1_drop_mutual,0.9855132670838719,0.9863294073471292,raw,fixed_numeric
scidocs,ablation_minmax_fixed,minmax + fixed,ms2,0.3943885353704445,0.42508758625747006,minmax_query_ranker,fixed_numeric
scidocs,ablation_minmax_fixed,minmax + fixed,ms1,0.37696397213478555,0.47650318501710087,minmax_query_ranker,fixed_numeric
scidocs,ablation_minmax_fixed,minmax + fixed,ms1_drop_mutual,0.39460634912040127,0.43474872060320163,minmax_query_ranker,fixed_numeric
scidocs,ablation_unit_vote_retention,unit vote + retention-matched,ms2,0.437752300984983,0.4477291494632535,unit_vote,retention_matched
scidocs,ablation_unit_vote_retention,unit vote + retention-matched,ms1,0.6099856938483548,0.6800102070109406,unit_vote,retention_matched
scidocs,ablation_unit_vote_retention,unit vote + retention-matched,ms1_drop_mutual,0.6469095459917958,0.6618651301749894,unit_vote,retention_matched
scidocs,robustness_zscore_retention,z-score + retention-matched,ms2,0.37834879515502046,0.38744577643330297,zscore_query_ranker,retention_matched
scidocs,robustness_zscore_retention,z-score + retention-matched,ms1,0.464709170220352,0.5397283254069807,zscore_query_ranker,retention_matched
scidocs,robustness_zscore_retention,z-score + retention-matched,ms1_drop_mutual,0.5043573003653411,0.5233369050832496,zscore_query_ranker,retention_matched
scidocs,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms2,0.3674703167043859,0.3766829131672213,rank_percentile,retention_matched
scidocs,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1,0.4828835871831805,0.5651137110075286,rank_percentile,retention_matched
scidocs,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1_drop_mutual,0.5298009011207038,0.5467456594738102,rank_percentile,retention_matched
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,0.3806735034785336,0.39346585640018644,minmax_query_ranker,retention_matched
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,0.5259998958414319,0.6354770248074356,minmax_query_ranker,retention_matched
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,0.5795030179618427,0.6187362658900925,minmax_query_ranker,retention_matched
fiqa,ablation_raw_fixed,raw + fixed,ms2,0.9736207364702225,0.9749964873947248,raw,fixed_numeric
fiqa,ablation_raw_fixed,raw + fixed,ms1,0.9835705710879735,0.9886947691038414,raw,fixed_numeric
fiqa,ablation_raw_fixed,raw + fixed,ms1_drop_mutual,0.9863159934055598,0.9880841683524435,raw,fixed_numeric
fiqa,ablation_minmax_fixed,minmax + fixed,ms2,0.4329841770726062,0.46486636684020843,minmax_query_ranker,fixed_numeric
fiqa,ablation_minmax_fixed,minmax + fixed,ms1,0.4276127842776536,0.5698916757134296,minmax_query_ranker,fixed_numeric
fiqa,ablation_minmax_fixed,minmax + fixed,ms1_drop_mutual,0.4405061700547678,0.5070926047466388,minmax_query_ranker,fixed_numeric
fiqa,ablation_unit_vote_retention,unit vote + retention-matched,ms2,0.45837606837606837,0.4715969046781569,unit_vote,retention_matched
fiqa,ablation_unit_vote_retention,unit vote + retention-matched,ms1,0.6870040018992064,0.771225157998934,unit_vote,retention_matched
fiqa,ablation_unit_vote_retention,unit vote + retention-matched,ms1_drop_mutual,0.729269367961204,0.7589572471324296,unit_vote,retention_matched
fiqa,robustness_zscore_retention,z-score + retention-matched,ms2,0.3891721527688877,0.4015229006667025,zscore_query_ranker,retention_matched
fiqa,robustness_zscore_retention,z-score + retention-matched,ms1,0.5361733534059748,0.6411206024423333,zscore_query_ranker,retention_matched
fiqa,robustness_zscore_retention,z-score + retention-matched,ms1_drop_mutual,0.588003008882283,0.6252871943953826,zscore_query_ranker,retention_matched
