dataset,protocol,protocol_label,regime,pair_name,pair_family,query_id,unrepaired_method_key,repaired_method_key,unrepaired_ndcg,repaired_ndcg,delta_ndcg
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,78495383450e02c5fe817e408726134b3084905d,copeland_graph,copeland_graph_repaired,0.6309297535714575,0.6309297535714575,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,78495383450e02c5fe817e408726134b3084905d,balance_graph,balance_graph_repaired,0.6309297535714575,0.6309297535714575,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,78495383450e02c5fe817e408726134b3084905d,markov_graph,markov_graph_repaired,0.6309297535714575,0.6309297535714575,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,78495383450e02c5fe817e408726134b3084905d,hybrid_unrepaired_copeland_a0p3_minmax,hybrid_repaired_copeland_a0p3_minmax,0.6309297535714575,0.6309297535714575,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,78495383450e02c5fe817e408726134b3084905d,hybrid_unrepaired_balance_a0p3_minmax,hybrid_repaired_balance_a0p3_minmax,0.6309297535714575,0.6309297535714575,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,copeland_graph,copeland_graph_repaired,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,balance_graph,balance_graph_repaired,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,markov_graph,markov_graph_repaired,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,hybrid_unrepaired_copeland_a0p3_minmax,hybrid_repaired_copeland_a0p3_minmax,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,hybrid_unrepaired_balance_a0p3_minmax,hybrid_repaired_balance_a0p3_minmax,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,copeland_graph,copeland_graph_repaired,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,balance_graph,balance_graph_repaired,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,markov_graph,markov_graph_repaired,0.0,0.0,0.0
