result_file,table_or_report,row_or_method_label,dataset,regime,metric,value,solver_label,actual_code_path,external_dependency,reproducible_from_repository,used_in_current_manuscript,current_manuscript_location,scientific_conclusion_depends_on_it,notes
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),greedy,pooled (all 4 datasets x 3 regimes),pooled,mean_ndcg_copeland,0.43873656865313193,in-repository greedy heuristic,src/consistency_ranker/greedy_fas.py::greedy_fas,no,yes,yes,"main.tex Table 4 row ""Greedy (cycle-peeling)""; used throughout main experiments (Section 3.4/3.6)",yes - this IS the canonical repair method for all headline Figure 4 / Table 5 results,Fully reproducible from this repository alone; no external dependency of any kind.
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),no_repair,pooled (all 4 datasets x 3 regimes),pooled,mean_ndcg_copeland,0.43886360495015025,none (baseline; no repair applied),n/a (trivial: graph.copy() with no edges removed),no,yes,yes,main.tex Table 4 implicit baseline (unrepaired comparator throughout),yes - the unrepaired side of every repaired-vs-unrepaired comparison,Trivial no-op; no dependency of any kind.
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),exact_small_greedy_hybrid,pooled (all 4 datasets x 3 regimes),pooled,mean_ndcg_copeland,0.4387007628382941,in-repository exact (SCC<=10 brute force) + greedy fallback,experiments/final_method_gap_audit_20260711_221113/run_final_method_gap_audit.py:270-315 (apply_exact_small_greedy_hybrid),no,yes,yes,"main.tex Table 4 row ""Exact (brute-force) + greedy fallback""; this is also the ""best_stronger_repair"" method selected for the pooled Table 6 comparison (final_baseline_comparison.csv, out of scope / Results)",yes - THIS is the in-repo method behind the pooled ""stronger repair does not improve retrieval"" claim,"Fully reproducible from this repository alone. Uses src/consistency_ranker/exact_fas.py (brute-force permutation, n<=10 per SCC) and src/consistency_ranker/greedy_fas.py (fallback for SCCs 11+). REPAIR_COMPARISON_FINAL_REPORT.md line 7 confirms: ""Best stronger repair selected for Task 3: exact_small_greedy_hybrid"" -- i.e. the pooled/Results-facing stronger-repair claim does NOT depend on the external package at all."
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),exact_scc_dp20,bounded sample of 100 cyclic queries (seed=42) across all 4 datasets/3 regimes,bounded sample (not per-regime broken out in source file),mean_ndcg_copeland,0.41999760845294154,external package: mwfas.exact.exact_min_fas_from_dimacs (bitmask DP exact solver),experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py:1041-1045 -> sys.path.insert(0,'/home/soroush/minimum-weighted-fas-heuristics/src'),yes,no (requires a sibling repository not present in or vendored into this repository),yes,"main.tex Table 4 row ""Exact (SCC-bounded)$^\dagger$""",no - this is a bounded secondary robustness check; the pooled headline claim uses exact_small_greedy_hybrid instead,"n=100 (EXTERNAL_CYCLIC_CAP), seed=42, 10s per-query timeout (EXTERNAL_REPAIR_TIMEOUT), 0 recorded failures (logs/failures/ empty, RUN_MANIFEST status=completed). Restricted further to queries whose largest SCC <=20 (EXACT_SCC_MAX) within the 100-query cap. Mean nDCG (0.420) is NOTABLY LOWER than greedy (0.439) and no_repair (0.439) on this bounded slice -- i.e. the fully-exact solver looks WORSE than the greedy heuristic on this sample, the opposite direction from what 'exact should be at least as good structurally' might suggest; this is because the exact solver optimizes the graph-internal BEW objective, not nDCG, and Section 2 (Background)/Section 3 (Methodology) of main.tex already explain why these can diverge."
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),lrta_external,bounded sample of 100 cyclic queries (seed=42),bounded sample,mean_ndcg_copeland,0.41948314668431486,external package: mwfas.lrta.paper_fas_ranking_from_dimacs_fast (Local-Ratio Topological Add-Back),experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py:1046-1050,yes,no (same external dependency as exact_scc_dp20),yes,"main.tex Table 4 row ""LRTA*-style heuristic$^\dagger$""",no - secondary robustness check only,"Same n=100/seed=42/10s-timeout protocol as exact_scc_dp20. No SCC-size restriction applied to this method (runs on all 100 capped cyclic queries regardless of SCC size, unlike exact_scc_dp20's additional <=20 gate) -- verified via _should_run_expensive_repair in run_final_method_gap_audit.py, which returns True unconditionally for lrta_external/wmsf_external/ipsns_external once a query is in the capped set."
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),wmsf_external,bounded sample of 100 cyclic queries (seed=42),bounded sample,mean_ndcg_copeland,0.4188793192955741,external package: mwfas.wmsf.wmsf_ranking_from_dimacs_fast (Weighted Minimum Spanning Forest heuristic),experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py:1051-1055,yes,no (same external dependency),yes,"main.tex Table 4 row ""WMSF heuristic$^\dagger$""",no - secondary robustness check only,"Same n=100/seed=42/10s-timeout protocol. WMSF is described by the external repository itself as ""a reimplementation of the removeArcs/Minimize/Stabilize pipeline from our predecessor work... used as a seed and baseline, not as a novel contribution"" of that (separate) paper."
experiments/final_method_gap_audit_20260711_221113/task2/repair_comparison_real.csv,repair_comparison_real.csv (pooled row),ipsns_external,bounded sample of 100 cyclic queries (seed=42),bounded sample,mean_ndcg_copeland,0.4193043740336755,external package: mwfas.ipsns.lns_merge_wmsf_lr_best_incumbent (Incumbent-Protected SCC-Neighborhood Search),experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py:1056-1066,yes,no (same external dependency),yes,"main.tex Table 4 row ""IPSNS heuristic$^\dagger$""",no - secondary robustness check only,"Same n=100/seed=42/10s-timeout protocol, iters=40 (run_method_improvement_audit.py passes iters=40 to lns_merge_wmsf_lr_best_incumbent). IPSNS is the external repository's own stated primary novel contribution for its (separate, unpublished) manuscript -- using it here is citing a sibling work-in-progress of the same author, not a validated third-party baseline."
docs/tables/exact_vs_greedy_summary.csv,exact_vs_greedy_summary.csv (synthetic),greedy_fas_topological / exact (varies by row),synthetic (n=6/8/10 items),synthetic noise sweep,kendall_tau / objective_gap,see file (varies by n/noise/weight_scheme),in-repository exact_fas.py (brute-force permutation enumeration) vs greedy_fas.py,src/consistency_ranker/exact_fas.py + src/consistency_ranker/greedy_fas.py; driver scripts/run_exact_vs_greedy.py (verified: no mwfas import; grep for 'mwfas_solver\|method=.ilp.' in this file returned nothing),no,yes,no,not currently cited anywhere in main.tex,no - this family is not referenced in the manuscript at all,"Synthetic-only (n<=10 items, fully dense pairwise graphs), separate experiment family from the real-data repair_comparison_real.csv. Included here for completeness per the task's search list (exact_vs_greedy) even though it is not part of the manuscript's current external-dependency story."
src/consistency_ranker/mwfas_solver.py,n/a (no committed result file uses this path),solve(method='ilp') / _solve_ilp,n/a,n/a,n/a,n/a (never invoked by any script that produced a committed CSV, as far as could be verified),in-repository Gurobi-based ILP formulation (fully implemented, requires gurobipy + a Gurobi license),src/consistency_ranker/mwfas_solver.py:23-95 (_solve_ilp),partially (requires a commercial solver license to RUN, but the Python code itself is fully committed in this repository -- unlike the four external-package methods above whose Python code lives outside this repository entirely),"yes, IF a Gurobi license is available (grep across scripts/ and experiments/ for mwfas_solver/method=.ilp. found no caller in any result-producing script)",yes (mentioned, not tabulated),main.tex Section 4.6 (Implementation) paragraph distinguishing it from the external-package methods,no - not used for any committed result,"docs/baselines_and_datasets_references.md in the SEPARATE mwfas repository independently confirms Gurobi is not used there either (""Gurobi-based solvers | Gurobi not installed""), corroborating that this path is unused end-to-end across both repositories' actual results."
experiments/final_method_gap_audit_20260711_221113/task3/final_baseline_comparison.csv,final_baseline_comparison.csv (pooled, scope=pooled),best_stronger_repair,pooled (1020 query x regime records),pooled,mean_ndcg,0.4548617189919198,in-repository exact_small_greedy_hybrid (relabeled as 'best_stronger_repair' for Table 6),experiments/final_method_gap_audit_20260711_221113/run_final_method_gap_audit.py (task3 aggregation logic; REPAIR_COMPARISON_FINAL_REPORT.md line 7 names exact_small_greedy_hybrid as the method selected),no,yes,not yet (Table 6 / Results, out of scope for Sections 1-4 written so far),will be Results section (Section 6, not yet drafted),yes - this is the pooled-comparison stronger-repair row that will support the future Results claim ""stronger repair does not improve retrieval,"",Confirms the headline pooled claim about stronger repair is NOT contingent on the external package -- it is fully reproducible in-repository.
