dataset,query_id,method,preference_source,preference_source_note,n_nodes,n_edges,graph_density,n_sccs,largest_scc,is_cyclic,n_non_trivial_sccs,scc_cycle_burden,fas_weight_removed,fas_n_edges_removed,graph_ref_bew_pre,graph_ref_bew_post,graph_ref_pic_pre,graph_ref_pic_post,n_eval_candidates,primary_metric,backward_edge_weight,pairwise_inconsistency,kendall_tau,kendall_tau_legacy,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,pairwise_accuracy,runtime_pref_gen_s,runtime_graph_build_s,runtime_cycle_detect_s,runtime_fas_solver_s,runtime_ranking_s,runtime_evaluation_s,runtime_total_s
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,score_sum,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.684211,0.5,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,3e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,borda,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.684211,0.5,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,1.8e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,pagerank,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,32.0,32,0.189474,0.222222,0.698348,0.565463,0.4,1.0,0.760417,0.000795,0.000395,2.7e-05,0.00231,0.115141,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,21.0,21,0.410526,0.055556,0.973917,0.909722,0.4,1.0,0.895833,0.000795,0.000395,2.7e-05,0.00231,5.8e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_weighted_balance,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.631579,0.222222,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,3.2e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_copeland,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.631579,0.222222,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,2.5e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_score_augmented_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,16.0,16,0.326316,0.277778,0.982591,0.938131,0.4,1.0,0.947917,0.000795,0.000395,2.7e-05,0.00231,3.7e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,fas_balance_score_prior_alpha_beta,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.578947,0.222222,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,5.4e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,hybrid_rrf_fas_regularized,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.536842,0.5,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,3.6e-05,0.001015,0.120079
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,hybrid_rrf_balance_a05,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,96,0.252632,1,20,True,1,20,22.0,22,17.0,2.0,17,2,20,ndcg_at_k,17.0,17,0.557895,0.388889,1.0,1.0,0.4,1.0,1.0,0.000795,0.000395,2.7e-05,0.00231,2.9e-05,0.001015,0.120079
