stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000216,0.000216,0.000216,0.000216
pairwise_preference_generation,1,0.007419,0.007419,0.007419,0.007419
graph_construction,1,0.019437,0.019437,0.019437,0.019437
cycle_detection,1,0.002977,0.002977,0.002977,0.002977
ranking_score_sum,1,0.001842,0.001842,0.001842,0.001842
ranking_borda,1,0.000106,0.000106,0.000106,0.000106
greedy_fas_solver,1,1.194237,1.194237,1.194237,1.194237
ranking_topological,1,0.000716,0.000716,0.000716,0.000716
evaluation,1,0.004145,0.004145,0.004145,0.004145
total_experiment,1,1.231536,1.231536,1.231536,1.231536
