issue,classification,description,disposition,recommended_fix
"Every core dependency (networkx, numpy, pandas, scipy, scikit-learn, tqdm, datasets, huggingface-hub, sentence-transformers, matplotlib) is declared TWICE",duplicated declaration,"requirements.txt duplicates pyproject.toml's [project.dependencies] verbatim (same version floors). pytest/pytest-cov/ruff are also duplicated, but requirements.txt declares them UNCONDITIONALLY where pyproject.toml correctly scopes them to the [dev] extra.",fix now,"requirements.txt should either be regenerated as a pinned lock file derived FROM pyproject.toml (e.g. via pip-compile), or reduced to a one-line pointer ('pip install -e .[dev]'); keeping two hand-maintained sources of the same floors risks silent drift (not yet found to have drifted, but there is no mechanism preventing it)"
sentence-transformers version floor CONFLICTED within pyproject.toml itself,conflicting version bounds,"pyproject.toml's core [project.dependencies] requires >=5.3.0, but its own [dense] optional-dependencies extra (meant to be an alternative way to get dense-embedding support) independently declared >=2.2.0 -- a stale floor that predated sentence-transformers becoming a core dependency and was never actually reachable as a looser install once the core deps were resolved. requirements.txt already correctly used >=5.3.0 (no conflict there).",FIXED this stage,"Aligned pyproject.toml's [dense] extra to >=5.3.0 to match the core requirement, with an explanatory comment."
"gurobipy is imported (tests/test_mwfas_solver.py, src/consistency_ranker/mwfas_solver.py) but declared nowhere",undeclared imported package,"Neither pyproject.toml nor requirements.txt mentions gurobipy anywhere, including as an optional extra",optional and documented,"This is intentional per docs/READ_ME_FIRST_FOR_AI.md ('a method=gurobi legacy backend also exists but is never required') -- add one sentence to pyproject.toml's [exact] extra comment noting gurobipy is an undeclared, never-required, license-gated legacy alternative, so a future maintainer doesn't wonder why it's importable without being declared"
ir-datasets and rank-bm25 declared as separate optional extras but each maps to only one narrow script,"declared, optional, lightly used",pyproject.toml [ir] and [bm25] extras exist solely for scripts/download_datasets.py and scripts/generate_bm25_scores.py respectively,optional and documented,"No action needed -- correctly scoped as optional extras already; not a discrepancy, just noted for completeness per the audit's own request to inventory every optional group"
jupyter / seaborn ([notebook] extra) have zero active consumers,declared but unused in any active/canonical workflow,grep confirms notebooks/ contains no canonical-pipeline notebook (session did not find any notebook referenced by a script or test),historical,"Keep as an optional convenience extra; do not remove without confirming notebooks/ is genuinely dead first (not verified this stage -- out of scope for a reproducibility-hardening pass, deferred)"
requirements.txt duplicates pytest/pytest-cov/ruff UNCONDITIONALLY (not as a dev-only group),duplicated + scoping mismatch,"pyproject.toml correctly separates runtime deps from [dev] tooling; requirements.txt has no such separation, so 'pip install -r requirements.txt' always installs test/lint tooling even for a pure-reproduction use case",fix now,"Same fix as the top row (regenerate requirements.txt from pyproject.toml, or split into requirements.txt + requirements-dev.txt)"
No lock file (requirements.txt / poetry.lock / Pipfile.lock / conda environment.yml) exists anywhere,missing exact-pin mechanism,"Every declared dependency uses only a floor (>=X), never an exact pin or upper bound (except datasets<4.0 and google-genai's implicit floor) -- confirmed via pyproject.toml/requirements.txt text",fix now (partially -- see canonical_environment_specification.md),"Stage 4 adds requirements-lock.txt (a full `pip freeze` from the verified-working .venv) as the 'tested canonical environment' pin, alongside the existing floor-only pyproject.toml as the 'minimum supported' spec -- see canonical_environment_specification.md"
"PySCIPOpt pinned only as a floor (>=6.2.1), not exactly, despite being the single most reproducibility-sensitive dependency",unpinned numerical/optimization dependency,Already flagged in Stage 1's deferred_cleanup_items.csv; independently re-confirmed and resolved this stage,fix now (RESOLVED this stage),"See solver_reproducibility_report.md -- pyproject.toml's [exact] extra now pins PySCIPOpt==6.2.1 exactly (was >=6.2.1), matching the version recovered from 3 independent ENVIRONMENT_pip_freeze.txt files and confirmed to reproduce all 16 exact-repair tests byte-for-byte"
CI (.github/workflows/ci.yml) never installs the [exact] extra,"CI gap, not a dependency-file discrepancy",pip install -e '.[dev]' only -- the 16 SCIP-dependent tests have silently skipped in every CI run to date,fix now,"See ci_validation_report.md -- added a second CI step/job installing '.[exact]' and running the SCIP-dependent tests explicitly, so this class of test cannot silently skip forever"
"Python version: pyproject.toml declares >=3.11; CI pins exactly 3.12; .venv runs 3.12.3; ambient/ephemeral shells in this session ran a DIFFERENT environment (a 'modal-venv' with older, non-identical package versions and NO PySCIPOpt/gurobipy installed) that is not referenced anywhere in repository documentation",undeclared/ambient environment risk,"Discovered directly this stage: invoking bare 'python3'/'pytest' in an interactive shell resolved to an unrelated ambient virtualenv, producing 23 spuriously-skipped tests across every full-suite run earlier in this session, none of which were failures once re-run against the repo's own .venv (1272 passed, 0 skipped)",fix now,"This is the single highest-value finding of this stage: all commands (Makefile targets, the new offline-reproduction script, this stage's own validation) now explicitly invoke $(VENV)/bin/python or .venv/bin/python rather than a bare 'python'/'python3', so this ambiguity cannot recur silently"
