dependency,purpose,required_or_optional,declared_version_and_source,actually_installed_version,source_of_declaration,scripts_or_tests_requiring_it,platform_specific_constraints,affects_numerical_reproducibility
networkx,"core graph library (preference-graph construction, cycle detection, SCC)",required,pyproject.toml [project.dependencies] >=3.2; requirements.txt >=3.2 (duplicated),3.6.1 (.venv),"pyproject.toml + requirements.txt (duplicated, see discrepancy)",virtually every src module + test,none known,"yes -- graph algorithms (SCC, cycle detection) are deterministic and version-stable for the API surface used"
numpy,core numeric library,required,pyproject.toml >=1.26; requirements.txt >=1.26 (duplicated),2.5.1 (.venv) / 2.4.4 (ambient modal-venv),pyproject.toml + requirements.txt,everywhere,none known,"YES -- bootstrap/permutation reps use numpy's RNG (default_rng); version differences in the RNG algorithm itself are stable across 1.26-2.5 (PCG64 unchanged), but downstream statistical outputs (means, correlations) are float-precision sensitive at the ~1e-15 level, as observed this session (frontier reconstruction check: max abs diff 1.1e-16)"
pandas,tabular data / CSV I/O for every report,required,pyproject.toml >=2.1; requirements.txt >=2.1 (duplicated),3.0.3 (.venv) / 3.0.2 (ambient),pyproject.toml + requirements.txt,every scripts/run_*.py and analysis module,none known,low -- CSV read/write and groupby/merge semantics used here are stable across 2.x-3.x
scipy,"statistical distributions (t, norm, beta) in statistical_inference.py",required,pyproject.toml >=1.11; requirements.txt >=1.11 (duplicated),1.18.0 (.venv) / 1.17.1 (ambient),pyproject.toml + requirements.txt,"statistical_inference.py, every study using bootstrap/equivalence tests",none known,"low -- only stable, long-established distribution functions (t.cdf, norm.ppf, beta.ppf) are used"
scikit-learn,"GroupKFold (repair_diagnostic), baseline rankers",required,pyproject.toml >=1.3; requirements.txt >=1.3 (duplicated),1.9.0 (.venv) / 1.8.0 (ambient),pyproject.toml + requirements.txt,"src/consistency_ranker/repair_diagnostic/prediction.py, tests",none known,"low for GroupKFold (pure combinatorial splitting, version-stable); MEDIUM if any model (logistic regression, decision tree) hyperparameter defaults changed across versions -- not verified this stage, flagged as deferred"
tqdm,progress bars in long-running scripts,required (cosmetic only),pyproject.toml >=4.66; requirements.txt >=4.66 (duplicated),4.68.3 (.venv),pyproject.toml + requirements.txt,most scripts/run_*.py,none known,"no -- purely cosmetic, no effect on any computed value"
datasets (HuggingFace),BEIR/BRIGHT dataset loading,required for raw data regeneration only (not for reading already-tracked tables),"pyproject.toml >=2.18,<4.0; requirements.txt >=2.18,<4.0 (duplicated)","3.6.0 (.venv, within the <4.0 ceiling)",pyproject.toml + requirements.txt,"scripts/download_beir_via_irds.py, data_loader.py",requires network access to huggingface.co (documented known issue in docs/DATASET_ACCESS_DIAGNOSIS.md),no direct effect on already-computed evidence; affects only fresh raw-data downloads
huggingface-hub,dataset download backend,required for raw data regeneration only,pyproject.toml >=0.21; requirements.txt >=0.21 (duplicated),present in .venv (see freeze),pyproject.toml + requirements.txt,scripts/download_beir_via_irds.py,network access required for fresh downloads,no
sentence-transformers,dense embedding scores (generate_dense_scores.py),required for raw score regeneration only,"pyproject.toml core >=5.3.0; pyproject.toml [dense] extra was >=2.2.0 (internal conflict, FIXED this stage to >=5.3.0); requirements.txt >=5.3.0 (already consistent)",5.6.0 (.venv),pyproject.toml core deps + [dense] extra (now aligned) + requirements.txt,scripts/generate_dense_scores.py,"GPU optional (CPU fallback works, slower)","MEDIUM -- embedding model weights/versions can shift score magnitudes slightly; the currently-committed dense scores are already-frozen CSVs, not regenerated by any tracked pipeline this session touched"
matplotlib,figure generation,required for figure regeneration only,pyproject.toml >=3.8; requirements.txt >=3.8 (duplicated),3.11.0 (.venv),pyproject.toml + requirements.txt,scripts/generate_figures.py and similar; run_ir_evidence_audit.py's write_publication_figure(),none known,"low -- only basic scatter/line plotting used; rendering differences would not change any numeric conclusion, only cosmetic figure appearance"
pytest,test runner,required (dev),pyproject.toml [dev] >=7.4,9.1.1 (.venv),"pyproject.toml [dev] extra only (requirements.txt duplicates as unconditional, see discrepancy)",all tests/,none known,no
pytest-cov,coverage plugin,optional (dev),pyproject.toml [dev] >=4.1,7.1.0 (.venv),pyproject.toml [dev] extra; requirements.txt duplicates unconditionally,none required (coverage reporting only),none known,no
ruff,linter,required (dev),pyproject.toml [dev] >=0.3,0.15.20 (.venv),pyproject.toml [dev] extra; requirements.txt duplicates unconditionally,"CI, this session's own validation passes",none known,no
ir-datasets,TREC DL passage / Robust04 export,optional,pyproject.toml [ir] >=0.5.5,"NOT INSTALLED in .venv (optional extra, correctly not installed by default)",pyproject.toml [ir] extra only,scripts/download_datasets.py (per comment),none known,no -- affects only an unused-by-current-canonical-pipeline dataset export path
rank-bm25,"BM25 scoring, alternate to the tracked BM25 scores",optional,pyproject.toml [bm25] >=0.2.2,NOT INSTALLED in .venv,pyproject.toml [bm25] extra only,scripts/generate_bm25_scores.py (one of two BM25 code paths -- see discrepancy),none known,no direct effect on tracked evidence; affects only fresh BM25 regeneration via this specific script
jupyter,notebook support,"optional, historical",pyproject.toml [notebook],NOT INSTALLED,pyproject.toml [notebook] extra only,notebooks/ (not used by any canonical pipeline),none known,no
seaborn,notebook plotting,"optional, historical",pyproject.toml [notebook],NOT INSTALLED,pyproject.toml [notebook] extra only,notebooks/ only,none known,no
openai,LLM provider client,"optional, online-only",pyproject.toml [llm] >=1.60.0,"2.44.0 (.venv, well above floor)",pyproject.toml [llm] extra only,src/consistency_ranker/failure_mining/llm_runner.py and similar; NOT required for any offline re-analysis in this session,requires OPENAI_API_KEY; network access,no effect on already-collected judgments; would only matter for NEW data collection (out of scope for all re-analysis stages this session)
google-genai,Gemini LLM provider client (import name: google),"optional, online-only",pyproject.toml [llm] >=1.3.0,2.10.0 (.venv),pyproject.toml [llm] extra only,same as openai above,requires GEMINI_API_KEY/Vertex ADC; network access,no
cohere,Cohere LLM provider client,"optional, online-only",pyproject.toml [llm] >=5.0.0,7.0.8 (.venv),pyproject.toml [llm] extra only,same as openai above,requires COHERE_API_KEY; network access,no
PySCIPOpt (pyscipopt),exact MWFAS solver (SCIP),optional but REQUIRED for exact-repair canonical evidence reproduction,"pyproject.toml [exact] >=6.2.1 (floor only, not pinned exactly)","6.2.1 (.venv, EXACTLY matches the version recovered from reports/exact_open_source_ilp_repair_investigation/COMMANDS_EXECUTED.md and 3 ENVIRONMENT_pip_freeze.txt files)",pyproject.toml [exact] extra only,"tests/test_exact_mwfas_scip.py (16 tests), src/consistency_ranker/mwfas_solver.py, every exact-repair report",Linux/macOS/Windows all supported by the PySCIPOpt wheel; no known platform restriction,YES -- see solver_reproducibility_report.md for the full analysis; this is the single most reproducibility-sensitive dependency in the repository
gurobipy,"LEGACY optional exact solver backend, never required","optional, UNDECLARED anywhere in pyproject.toml or requirements.txt",not declared,"13.0.2 (.venv, ambient install, not from any requirements file)",UNDECLARED (see discrepancy) -- present only because it happens to be installed in this environment,"tests/test_mwfas_solver.py (1 test, skips gracefully if absent)",requires a commercial/trial license file (GRB_LICENSE_FILE) for anything beyond the trial size limit,no effect on any canonical evidence -- explicitly documented elsewhere in this repo as 'never required'
