path,change_type,reason
pyproject.toml,content edit,"[dense] extra floor aligned from >=2.2.0 to >=5.3.0 (matches core sentence-transformers requirement); [exact] extra changed from PySCIPOpt>=6.2.1 to an exact pin PySCIPOpt==6.2.1, with an explanatory comment naming the recovery sources"
src/consistency_ranker/mwfas_solver.py,content edit,"Added CANONICAL_PYSCIPOPT_VERSION constant, UnsupportedSolverVersionError, and verify_canonical_solver_version(allow_mismatch=False) -- no existing function's behavior changed"
Makefile,content edit,"Added verify-env, test-full, typecheck, validate-evidence, reproduce-ir-audit, reproduce-real-llm-reanalysis, validate-offline, doc-links, secret-scan, repo-ready targets; changed setup to install '.[dev,exact]' instead of '.[dev]'; all targets invoke $(VENV)/bin/python explicitly rather than a bare python/pytest"
requirements-lock.txt,new file (repo root),"Full pip freeze from the verified-working .venv, as the 'tested canonical environment' pin alongside pyproject.toml's floor-only 'minimum supported' spec"
src/consistency_ranker/provenance.py,new file,"collect_provenance()/git_commit_info()/dependency_versions()/solver_version()/hash_paths()/protect_canonical_output() -- one shared reproducibility-manifest schema and an overwrite guard, replacing each canonical workflow's own ad-hoc manifest logic"
scripts/run_ir_evidence_audit.py,content edit,"Wired to call consistency_ranker.provenance.collect_provenance() and write a reproducibility_manifest.json using the shared schema (this script previously wrote no manifest at all)"
scripts/run_real_llm_clustered_reanalysis.py,content edit,"Wired to call collect_provenance() via write_reproducibility_manifest() (previously wrote a partial ad-hoc manifest -- see reports/repo_reproducibility_stage4a_remediation_20260730T140000Z/manifest_comparison_policy.md for the Stage 4A finding that the committed manifest artifact itself was never regenerated after this wiring)"
scripts/run_offline_validation_workflow.py,new file,"8-step canonical offline reproduction workflow (verify-env, input-availability x2, reproduce-ir-audit, reproduce-real-llm-reanalysis, regression-tests, evidence-manifest-validation, report-link-validation, readiness summary); see offline_reproduction_report.md"
scripts/validate_canonical_evidence_manifest.py,new file,"Validates every path referenced by canonical_evidence_inventory.csv resolves; this run caught and this stage fixed the CB-04/CB-05 stale-path rows below"
scripts/validate_report_links.py,new file,"Validates every local Markdown link in reports/README.md, README.md, docs/READ_ME_FIRST_FOR_AI.md, docs/REPOSITORY_LAYOUT.md, docs/EXPERIMENTS.md resolves"
reports/repo_preparation_stage1_20260730T011354Z/canonical_evidence_inventory.csv,content correction (baked into this file's first-ever commit -- see note),"CB-04/CB-05 rows' script paths corrected from the repo-root scripts/ path to their actual locations under reports/normalization_protocol_audit_20260714/scripts/ and reports/candidate_pool_conditional_audit_20260714/scripts/ respectively, caught by validate_canonical_evidence_manifest.py's automated check"
tests/test_provenance.py,new file,"13 tests for src/consistency_ranker/provenance.py"
tests/test_offline_validation_scripts.py,new file,Tests for scripts/run_offline_validation_workflow.py
tests/test_secret_scan.py,new file,"Tests for scripts/run_secret_scan.py -- this script and its test were the one Stage 4 deliverable explicitly marked 'NOT YET CREATED / deferred to the next Stage 4 sub-task' in workflow_command_inventory.csv; both existed on disk by the time Stage 4A began (see PRE_CORRECTION_MANIFEST.md) and are not further modified by Stage 4A"
scripts/run_secret_scan.py,new file,"Greps tracked+staged files for secret-shaped patterns; fulfills the make secret-scan / make repo-ready target that Makefile already referenced. Present on disk at the start of Stage 4A (see prior column note) -- not authored by Stage 4A"
src/consistency_ranker/baseline_ranking.py,NOT MODIFIED BY STAGE 4 OR STAGE 4A,"Pre-existing uncommitted change from earlier in the session (HodgeRank scorer), carried forward unchanged per reports/repo_preparation_stage1_20260730T011354Z/modified_files.csv's identical note -- listed here only so a reader of `git status` during Stage 4 does not mistake it for a Stage 4 edit"
reports/repo_reproducibility_stage4_20260730T031306Z/*,new files this stage,"This stage's 8 original deliverables plus this file and ci_validation_report.md, both reconstructed retroactively during Stage 4A from git evidence -- see ci_validation_report.md's opening note and reports/repo_reproducibility_stage4a_remediation_20260730T140000Z/deliverable_reconciliation.csv"
