dataset,vote_regime,query_id,provider,policy,n_candidates,pairs_expected,pairs_used,pairs_missing_from_cache,pairs_excluded_no_raw_text,pairs_excluded_response_quality,pairs_excluded_fwd_rev_disagreement,pairs_excluded_retry_policy,usable,is_cyclic,n_sccs,largest_scc_size,n_edges_removed,unrepaired_ndcg,repaired_ndcg,delta_ndcg,help,harm,inactive
fiqa,ms1,0,cohere,P0,10,45,45,0,0,0,0,0,True,True,4,5,5,0.0,0.0,0.0,False,False,True
fiqa,ms1,4,cohere,P0,10,45,45,0,0,0,0,0,True,True,5,6,2,0.0,0.0,0.0,False,False,True
fiqa,ms1,5,cohere,P0,10,45,45,0,0,0,0,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,6,cohere,P0,10,45,45,0,0,0,0,0,True,True,7,4,2,1.0,1.0,0.0,False,False,True
fiqa,ms1,7,cohere,P0,10,45,45,0,0,0,0,0,True,True,6,3,2,0.0,0.0,0.0,False,False,True
fiqa,ms1,9,cohere,P0,10,45,45,0,0,0,0,0,True,True,5,6,7,0.0,0.0,0.0,False,False,True
fiqa,ms1,11,cohere,P0,10,45,45,0,0,0,0,0,True,True,7,4,3,0.0,0.0,0.0,False,False,True
fiqa,ms1,12,cohere,P0,10,45,45,0,0,0,0,0,True,True,6,5,5,1.0,1.0,0.0,False,False,True
fiqa,ms1,13,cohere,P0,10,45,45,0,0,0,0,0,True,True,4,7,6,0.0,0.0,0.0,False,False,True
fiqa,ms1,14,cohere,P0,10,45,45,0,0,0,0,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms1,16,cohere,P0,10,45,45,0,0,0,0,0,True,True,7,4,2,0.0,0.0,0.0,False,False,True
fiqa,ms1,19,cohere,P0,10,45,45,0,0,0,0,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,20,cohere,P0,10,45,45,0,0,0,0,0,True,True,6,5,4,0.5,0.5,0.0,False,False,True
fiqa,ms1,21,cohere,P0,10,45,45,0,0,0,0,0,True,True,6,5,3,0.0,0.0,0.0,False,False,True
fiqa,ms1,23,cohere,P0,10,45,45,0,0,0,0,0,True,True,8,3,1,0.0,0.0,0.0,False,False,True
fiqa,ms1,25,cohere,P0,10,45,45,0,0,0,0,0,True,True,7,4,3,0.3333333333333333,0.3333333333333333,0.0,False,False,True
fiqa,ms1,27,cohere,P0,10,45,45,0,0,0,0,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,28,cohere,P0,10,45,45,0,0,0,0,0,True,True,4,7,4,0.0,0.0,0.0,False,False,True
fiqa,ms1,30,cohere,P0,10,45,45,0,0,0,0,0,True,True,7,4,2,0.6309297535714575,0.6309297535714575,0.0,False,False,True
fiqa,ms1,31,cohere,P0,10,45,45,0,0,0,0,0,True,True,8,3,1,0.0,0.0,0.0,False,False,True
fiqa,ms1,32,cohere,P0,10,45,45,0,0,0,0,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
