provider,dataset,query_id,doc_a_id,doc_b_id,ab_category,ba_category,ab_label,ba_label,ref_wins_forward,ref_wins_reverse,agree,either_fallback
cohere,fiqa,0,194308,216077,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,194308,327002,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,194308,381151,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,194308,417981,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,194308,513362,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,194308,531442,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,194308,531578,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,194308,55200,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,194308,562777,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,216077,327002,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,216077,381151,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,216077,417981,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,216077,513362,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,216077,531442,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,216077,531578,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,216077,55200,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,216077,562777,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,327002,381151,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,327002,417981,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,327002,513362,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,327002,531442,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,327002,531578,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,327002,55200,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,327002,562777,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,381151,417981,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,381151,513362,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,381151,531442,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,381151,531578,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,381151,55200,exact,exact,B,A,False,False,True,False
cohere,fiqa,0,381151,562777,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,417981,513362,exact,exact,A,B,True,True,True,False
cohere,fiqa,0,417981,531442,exact,exact,B,B,False,True,False,False
cohere,fiqa,0,417981,531578,exact,exact,B,A,False,False,True,False
