dataset,protocol,protocol_label,regime,pair_name,pair_family,common_query_count,helped_query_count,harmed_query_count,unchanged_query_count
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_graph,graph,120,36,22,62
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_graph,graph,120,12,18,90
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,markov_graph,graph,120,18,19,83
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_hybrid,hybrid,120,30,10,80
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_hybrid,hybrid,120,3,5,112
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_graph,graph,120,1,0,119
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_graph,graph,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,markov_graph,graph,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_hybrid,hybrid,120,0,0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_hybrid,hybrid,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_graph,graph,120,21,10,89
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_graph,graph,120,16,5,99
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,markov_graph,graph,120,17,7,96
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_hybrid,hybrid,120,16,8,96
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_hybrid,hybrid,120,3,2,115
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_graph,graph,120,0,2,118
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_graph,graph,120,0,1,119
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,markov_graph,graph,120,0,1,119
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_hybrid,hybrid,120,0,0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_hybrid,hybrid,120,0,0,120
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_graph,graph,52,5,3,44
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_graph,graph,52,0,1,51
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,markov_graph,graph,52,1,2,49
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_hybrid,hybrid,52,3,0,49
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_hybrid,hybrid,52,1,0,51
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,markov_graph,graph,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_hybrid,hybrid,52,0,0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_hybrid,hybrid,52,0,0,52
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_graph,graph,50,0,0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_graph,graph,50,0,0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,markov_graph,graph,50,0,0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,copeland_hybrid,hybrid,50,0,0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,balance_hybrid,hybrid,50,0,0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_graph,graph,50,19,13,18
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_graph,graph,50,10,8,32
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,markov_graph,graph,50,6,13,31
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,copeland_hybrid,hybrid,50,10,10,30
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,balance_hybrid,hybrid,50,2,6,42
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_graph,graph,50,2,3,45
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_graph,graph,50,1,0,49
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,markov_graph,graph,50,2,1,47
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,copeland_hybrid,hybrid,50,2,0,48
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,balance_hybrid,hybrid,50,1,0,49
