study,comparison,dataset,query_id,n_rows,mean_effect
repair_diagnostic,repair_vs_preserve,scidocs,0674058618d04def58c79a0b28174301ef591433,20,-0.0009075837877234871
repair_diagnostic,repair_vs_preserve,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.0006909085166115214
repair_diagnostic,repair_vs_preserve,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,-0.0020885144113247044
repair_diagnostic,repair_vs_preserve,fiqa,11039,20,-0.0010644473181033675
repair_diagnostic,repair_vs_preserve,fiqa,2377,20,-0.0005338774412764147
repair_diagnostic,repair_vs_preserve,fiqa,4002,20,-0.0002688198763849181
extraction_study,borda_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,-0.0030848195373714637
extraction_study,borda_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.017202558933689473
extraction_study,borda_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,-0.02809534054090544
extraction_study,borda_vs_incumbent,fiqa,11039,20,0.0007401719541159591
extraction_study,borda_vs_incumbent,fiqa,2377,20,0.0018484917442162518
extraction_study,borda_vs_incumbent,fiqa,4002,20,-0.001879085928541685
extraction_study,pagerank_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,-0.0015189537106804485
extraction_study,pagerank_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.0057245538100630265
extraction_study,pagerank_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,-0.001282187709945526
extraction_study,pagerank_vs_incumbent,fiqa,11039,20,0.001318749393764157
extraction_study,pagerank_vs_incumbent,fiqa,2377,20,0.001651856736087115
extraction_study,pagerank_vs_incumbent,fiqa,4002,20,0.001016454688475782
extraction_study,rank_centrality_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,-0.0016771756312683127
