stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.031424,0.031424,0.031424,0.031424
candidate_selection,1,0.000992,0.000992,0.000992,0.000992
pairwise_preference_generation,100,0.018039,0.00018,0.000178,0.000525
graph_construction,100,0.014112,0.000141,0.00014,0.000364
cycle_detection,100,0.001688,1.7e-05,1.6e-05,3.2e-05
greedy_fas_solver,100,0.19531,0.001953,0.001748,0.00589
ranking_score_sum,100,0.003024,3e-05,3.1e-05,3.9e-05
ranking_borda,100,0.0017,1.7e-05,1.7e-05,2.5e-05
ranking_pagerank,100,0.358643,0.003586,0.001642,0.183668
ranking_topological,100,0.00646,6.5e-05,6.3e-05,9.2e-05
ranking_fas_weighted_balance,100,0.003677,3.7e-05,3.7e-05,5.4e-05
ranking_fas_copeland,100,0.002742,2.7e-05,2.7e-05,4.4e-05
ranking_fas_score_augmented_topological,100,0.004705,4.7e-05,4.7e-05,6.5e-05
ranking_hybrid_rrf_fas_regularized,100,0.004888,4.9e-05,4.8e-05,7.5e-05
ranking_hybrid_rrf_balance_a05,100,0.004187,4.2e-05,4.1e-05,6.1e-05
ranking_hybrid_rrf_copeland_a03,100,0.0034,3.4e-05,3.3e-05,5.5e-05
ranking_hybrid_rrf_priority_topo_a03,100,0.008105,8.1e-05,7.9e-05,0.000108
evaluation,100,0.142117,0.001421,0.001435,0.001607
total_pipeline,1,0.837644,0.837644,0.837644,0.837644
