source_dir,noise,method,kendall_tau
noise_sweep_n0.05,0.050,borda,0.926316
noise_sweep_n0.05,0.050,greedy_fas_topological,0.726316
noise_sweep_n0.05,0.050,score_sum,0.926316
noise_sweep_variant_followup/noise_0.05,0.050,borda,0.926316
noise_sweep_variant_followup/noise_0.05,0.050,fas_copeland,0.821053
noise_sweep_variant_followup/noise_0.05,0.050,fas_weighted_balance,0.894737
noise_sweep_variant_followup/noise_0.05,0.050,greedy_fas_topological,0.726316
noise_sweep_variant_followup/noise_0.05,0.050,hybrid_rrf_fas_regularized,0.926316
noise_sweep_variant_followup/noise_0.05,0.050,priority_topological_score_sum,0.736842
noise_sweep_variant_followup/noise_0.05,0.050,score_sum,0.926316
noise_sweep_n0.10,0.100,borda,0.884211
noise_sweep_n0.10,0.100,greedy_fas_topological,0.600000
noise_sweep_n0.10,0.100,score_sum,0.810526
noise_sweep_variant_followup/noise_0.10,0.100,borda,0.884211
noise_sweep_variant_followup/noise_0.10,0.100,fas_copeland,0.736842
noise_sweep_variant_followup/noise_0.10,0.100,fas_weighted_balance,0.831579
noise_sweep_variant_followup/noise_0.10,0.100,greedy_fas_topological,0.600000
noise_sweep_variant_followup/noise_0.10,0.100,hybrid_rrf_fas_regularized,0.842105
noise_sweep_variant_followup/noise_0.10,0.100,priority_topological_score_sum,0.578947
noise_sweep_variant_followup/noise_0.10,0.100,score_sum,0.810526
noise_sweep_n0.15,0.150,borda,0.863158
noise_sweep_n0.15,0.150,greedy_fas_topological,0.484211
noise_sweep_n0.15,0.150,score_sum,0.757895
noise_sweep_variant_followup/noise_0.15,0.150,borda,0.863158
noise_sweep_variant_followup/noise_0.15,0.150,fas_copeland,0.684211
noise_sweep_variant_followup/noise_0.15,0.150,fas_weighted_balance,0.757895
noise_sweep_variant_followup/noise_0.15,0.150,greedy_fas_topological,0.484211
noise_sweep_variant_followup/noise_0.15,0.150,hybrid_rrf_fas_regularized,0.778947
noise_sweep_variant_followup/noise_0.15,0.150,priority_topological_score_sum,0.515789
noise_sweep_variant_followup/noise_0.15,0.150,score_sum,0.757895
noise_sweep_n0.20,0.200,borda,0.778947
noise_sweep_n0.20,0.200,greedy_fas_topological,0.452632
noise_sweep_n0.20,0.200,score_sum,0.757895
noise_sweep_variant_followup/noise_0.20,0.200,borda,0.778947
noise_sweep_variant_followup/noise_0.20,0.200,fas_copeland,0.547368
noise_sweep_variant_followup/noise_0.20,0.200,fas_weighted_balance,0.736842
noise_sweep_variant_followup/noise_0.20,0.200,greedy_fas_topological,0.452632
noise_sweep_variant_followup/noise_0.20,0.200,hybrid_rrf_fas_regularized,0.757895
noise_sweep_variant_followup/noise_0.20,0.200,priority_topological_score_sum,0.484211
noise_sweep_variant_followup/noise_0.20,0.200,score_sum,0.757895
noise_sweep_n0.25,0.250,borda,0.726316
noise_sweep_n0.25,0.250,greedy_fas_topological,0.400000
noise_sweep_n0.25,0.250,score_sum,0.789474
noise_sweep_variant_followup/noise_0.25,0.250,borda,0.726316
noise_sweep_variant_followup/noise_0.25,0.250,fas_copeland,0.621053
noise_sweep_variant_followup/noise_0.25,0.250,fas_weighted_balance,0.736842
noise_sweep_variant_followup/noise_0.25,0.250,greedy_fas_topological,0.400000
noise_sweep_variant_followup/noise_0.25,0.250,hybrid_rrf_fas_regularized,0.821053
noise_sweep_variant_followup/noise_0.25,0.250,priority_topological_score_sum,0.463158
noise_sweep_variant_followup/noise_0.25,0.250,score_sum,0.789474
noise_sweep_n0.30,0.300,borda,0.578947
noise_sweep_n0.30,0.300,greedy_fas_topological,0.410526
noise_sweep_n0.30,0.300,score_sum,0.526316
noise_sweep_variant_followup/noise_0.30,0.300,borda,0.578947
noise_sweep_variant_followup/noise_0.30,0.300,fas_copeland,0.568421
noise_sweep_variant_followup/noise_0.30,0.300,fas_weighted_balance,0.642105
noise_sweep_variant_followup/noise_0.30,0.300,greedy_fas_topological,0.410526
noise_sweep_variant_followup/noise_0.30,0.300,hybrid_rrf_fas_regularized,0.621053
noise_sweep_variant_followup/noise_0.30,0.300,priority_topological_score_sum,0.410526
noise_sweep_variant_followup/noise_0.30,0.300,score_sum,0.526316
