dataset,flip_prob,method,n_queries,ndcg_mean
hotpotqa,0.0,borda,497,1.0
hotpotqa,0.0,bt_aggregation,497,1.0
hotpotqa,0.0,copeland_unrepaired,497,1.0
hotpotqa,0.0,greedy_fas_copeland,497,1.0
hotpotqa,0.0,greedy_fas_topological,497,1.0
hotpotqa,0.0,greedy_fas_weighted_balance,497,1.0
hotpotqa,0.0,markov_aggregation,497,1.0
hotpotqa,0.0,pagerank,497,1.0
hotpotqa,0.0,score_sum,497,1.0
hotpotqa,0.0,tournament_sort_aggregation,497,1.0
hotpotqa,0.0,win_rate_aggregation,497,1.0
hotpotqa,0.05,borda,497,1.0
hotpotqa,0.05,bt_aggregation,497,0.889681
hotpotqa,0.05,copeland_unrepaired,497,0.999838
hotpotqa,0.05,greedy_fas_copeland,497,0.999838
hotpotqa,0.05,greedy_fas_topological,497,0.880053
hotpotqa,0.05,greedy_fas_weighted_balance,497,0.999838
hotpotqa,0.05,markov_aggregation,497,0.986549
hotpotqa,0.05,pagerank,497,0.986549
hotpotqa,0.05,score_sum,497,1.0
hotpotqa,0.05,tournament_sort_aggregation,497,0.935238
hotpotqa,0.05,win_rate_aggregation,497,0.904672
hotpotqa,0.1,borda,497,1.0
hotpotqa,0.1,bt_aggregation,497,0.79948
hotpotqa,0.1,copeland_unrepaired,497,0.999338
hotpotqa,0.1,greedy_fas_copeland,497,0.999148
hotpotqa,0.1,greedy_fas_topological,497,0.77255
hotpotqa,0.1,greedy_fas_weighted_balance,497,0.999148
hotpotqa,0.1,markov_aggregation,497,0.983691
hotpotqa,0.1,pagerank,497,0.983691
hotpotqa,0.1,score_sum,497,1.0
hotpotqa,0.1,tournament_sort_aggregation,497,0.871253
hotpotqa,0.1,win_rate_aggregation,497,0.824203
hotpotqa,0.15,borda,497,1.0
hotpotqa,0.15,bt_aggregation,497,0.725118
hotpotqa,0.15,copeland_unrepaired,497,0.990507
hotpotqa,0.15,greedy_fas_copeland,497,0.989514
hotpotqa,0.15,greedy_fas_topological,497,0.677112
hotpotqa,0.15,greedy_fas_weighted_balance,497,0.989514
hotpotqa,0.15,markov_aggregation,497,0.979918
hotpotqa,0.15,pagerank,497,0.979918
hotpotqa,0.15,score_sum,497,1.0
hotpotqa,0.15,tournament_sort_aggregation,497,0.809731
hotpotqa,0.15,win_rate_aggregation,497,0.75769
hotpotqa,0.2,borda,497,1.0
hotpotqa,0.2,bt_aggregation,497,0.665666
hotpotqa,0.2,copeland_unrepaired,497,0.966873
hotpotqa,0.2,greedy_fas_copeland,497,0.961261
hotpotqa,0.2,greedy_fas_topological,497,0.613619
hotpotqa,0.2,greedy_fas_weighted_balance,497,0.961261
hotpotqa,0.2,markov_aggregation,497,0.977529
hotpotqa,0.2,pagerank,497,0.977529
hotpotqa,0.2,score_sum,497,1.0
hotpotqa,0.2,tournament_sort_aggregation,497,0.760276
hotpotqa,0.2,win_rate_aggregation,497,0.700973
hotpotqa,0.25,borda,497,0.999591
hotpotqa,0.25,bt_aggregation,497,0.614305
hotpotqa,0.25,copeland_unrepaired,497,0.927489
hotpotqa,0.25,greedy_fas_copeland,497,0.915639
hotpotqa,0.25,greedy_fas_topological,497,0.563357
hotpotqa,0.25,greedy_fas_weighted_balance,497,0.915639
hotpotqa,0.25,markov_aggregation,497,0.979737
hotpotqa,0.25,pagerank,497,0.979737
hotpotqa,0.25,score_sum,497,0.999591
hotpotqa,0.25,tournament_sort_aggregation,497,0.70319
hotpotqa,0.25,win_rate_aggregation,497,0.651339
hotpotqa,0.3,borda,497,0.999344
hotpotqa,0.3,bt_aggregation,497,0.563477
hotpotqa,0.3,copeland_unrepaired,497,0.868912
hotpotqa,0.3,greedy_fas_copeland,497,0.849283
hotpotqa,0.3,greedy_fas_topological,497,0.518265
hotpotqa,0.3,greedy_fas_weighted_balance,497,0.849283
hotpotqa,0.3,markov_aggregation,497,0.980955
hotpotqa,0.3,pagerank,497,0.980955
hotpotqa,0.3,score_sum,497,0.999344
hotpotqa,0.3,tournament_sort_aggregation,497,0.648265
hotpotqa,0.3,win_rate_aggregation,497,0.597753
