dataset,method,preference_source,n_queries,ndcg_mean,map_mean,precision_mean,recall_mean,bew_mean
scidocs,borda,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,bt_from_qrels,qrels,100,1.0,1.0,0.247,1.0,0.0
scidocs,cross_encoder,cross_encoder,100,0.9083,0.7983,0.247,1.0,7.71
scidocs,fas_balance_score_prior_alpha_beta,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,greedy_fas_copeland,qrels,150,0.9992,0.9976,0.247,1.0,7.4867
scidocs,greedy_fas_score_augmented_topological,qrels,150,0.9441,0.8597,0.247,1.0,5.9267
scidocs,greedy_fas_topological,qrels,150,0.9398,0.8492,0.247,1.0,6.52
scidocs,greedy_fas_weighted_balance,qrels,150,0.9992,0.9976,0.247,1.0,7.4867
scidocs,hybrid_rrf_balance_a05,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,hybrid_rrf_copeland_a03,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,hybrid_rrf_fas_regularized,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,hybrid_rrf_priority_topo_a03,qrels,150,0.9459,0.8642,0.247,1.0,6.1267
scidocs,llm_listwise_mock,llm_listwise,100,0.6474,0.4488,0.247,1.0,11.69
scidocs,llm_pairwise_mock,llm_pairwise,100,0.5817,0.3379,0.247,1.0,22.46
scidocs,llm_pointwise_mock,llm_pointwise,100,0.6061,0.3635,0.247,1.0,21.66
scidocs,markov_from_qrels,qrels,100,1.0,1.0,0.247,1.0,0.0
scidocs,pagerank,qrels,150,0.9295,0.8769,0.247,1.0,8.3267
scidocs,score_sum,qrels,150,1.0,1.0,0.247,1.0,7.5133
scidocs,tournament_sort_from_qrels,qrels,100,0.819,0.6693,0.247,1.0,4.49
scidocs,win_rate_from_qrels,qrels,100,1.0,1.0,0.247,1.0,0.0
