feature,dimension,group_value,n,correlation,note
n_nodes,by_dataset,scidocs,60,-0.1878671647834158,
n_nodes,by_dataset,fiqa,60,1.5740464190836687e-17,
n_nodes,by_provider,azure,24,-0.29488391230979427,
n_nodes,by_provider,gemini,24,2.8879828832301805e-19,
n_nodes,by_provider,cohere,24,,no variance
n_nodes,by_provider,fireworks,24,,no variance
n_nodes,by_provider,aggregate,24,-0.08716445635993697,
n_nodes,by_pool_size,6,30,,no variance
n_nodes,by_pool_size,8,60,,no variance
n_nodes,by_pool_size,10,30,,no variance
n_edges,by_dataset,scidocs,60,-0.029860933808116538,
n_edges,by_dataset,fiqa,60,0.10303010666925082,
n_edges,by_provider,azure,24,-0.1486075233534274,
n_edges,by_provider,gemini,24,0.3521799092090303,
n_edges,by_provider,cohere,24,,no variance
n_edges,by_provider,fireworks,24,,no variance
n_edges,by_provider,aggregate,24,0.3182254897014026,
n_edges,by_pool_size,6,30,,no variance
n_edges,by_pool_size,8,60,0.18950973019367287,
n_edges,by_pool_size,10,30,0.00806618199534555,
graph_density,by_dataset,scidocs,60,0.19740330041969856,
graph_density,by_dataset,fiqa,60,0.12542188861590248,
graph_density,by_provider,azure,24,0.2160253548459353,
graph_density,by_provider,gemini,24,0.32616507235477354,
graph_density,by_provider,cohere,24,,no variance
graph_density,by_provider,fireworks,24,,no variance
graph_density,by_provider,aggregate,24,0.4201469170524004,
graph_density,by_pool_size,6,30,,no variance
graph_density,by_pool_size,8,60,0.18950973019367293,
graph_density,by_pool_size,10,30,0.00806618199534553,
pool_size,by_dataset,scidocs,60,-0.1878671647834158,
pool_size,by_dataset,fiqa,60,1.5740464190836687e-17,
pool_size,by_provider,azure,24,-0.29488391230979427,
pool_size,by_provider,gemini,24,2.8879828832301805e-19,
pool_size,by_provider,cohere,24,,no variance
pool_size,by_provider,fireworks,24,,no variance
pool_size,by_provider,aggregate,24,-0.08716445635993697,
pool_size,by_pool_size,6,30,,no variance
pool_size,by_pool_size,8,60,,no variance
pool_size,by_pool_size,10,30,,no variance
n_sccs,by_dataset,scidocs,60,0.03667113073811691,
n_sccs,by_dataset,fiqa,60,0.18062690918038973,
n_sccs,by_provider,azure,24,-0.052310553817961604,
n_sccs,by_provider,gemini,24,0.009425626450759629,
