feature,family,correlation,pvalue_raw,pvalue_holm,n
n_nodes,pre_repair,-0.12524975947476136,0.18858114188581143,1.0,120
n_edges,pre_repair,0.007161551059635267,0.9488051194880512,1.0,120
graph_density,pre_repair,0.15518262361581753,0.06669333066693331,0.9584041595840416,120
pool_size,pre_repair,-0.12524975947476136,0.18858114188581143,1.0,120
n_sccs,pre_repair,0.06295452897166466,0.49345065493450657,1.0,120
n_nontrivial_sccs,pre_repair,-0.19091036390050212,0.043495650434956505,0.8699130086991301,120
largest_scc_size,pre_repair,-0.19339393411528066,0.0367963203679632,0.7727227277272273,120
largest_scc_frac,pre_repair,-0.1403119579172014,0.09759024097590241,1.0,120
is_cyclic,pre_repair,-0.24786696856924056,0.000999900009999,0.022997700229977002,120
scc_cycle_weight,pre_repair,-0.12531710317375758,0.10948905109489052,1.0,120
scc_cycle_weight_frac,pre_repair,-0.16872202579158363,0.05729427057294271,0.9377062293770623,120
edge_weight_mean,pre_repair,-0.17361791532563506,0.0638936106389361,0.9584041595840416,120
edge_weight_std,pre_repair,-0.1872575219434313,0.047795220477952205,0.908109189081092,120
edge_weight_max,pre_repair,-0.1832356679870381,0.052094790520947905,0.9377062293770623,120
mean_edge_reliability,pre_repair,0.1314710353371148,0.12638736126387362,1.0,120
frac_edges_unanimous,pre_repair,0.11574947204099266,0.16468353164683533,1.0,120
provider_disagreement,pre_repair,-0.1314710353371149,0.12638736126387362,1.0,120
topk_involvement,pre_repair,-0.24786696856924056,0.000999900009999,0.022997700229977002,120
incumbent_topk_margin,pre_repair,0.0,1.0,1.0,120
repair_objective,post_repair,-0.14363124283531128,0.0841915808419158,1.0,120
n_reversed_edges,post_repair,-0.14439237330190502,0.0800919908009199,1.0,120
weight_reversed_edges,post_repair,-0.14363124283531128,0.0841915808419158,1.0,120
repair_objective_frac,post_repair,-0.16905891594029013,0.05269473052694731,0.9377062293770623,120
