method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.5935789100000001,0.6,0.842105,0.49695235,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
borda,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.5935789100000001,0.6,0.842105,0.49695235,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
pagerank,100,12.49,12.0,19.0,6.0,12.49,12.0,19,0.32884203999999995,0.326316,0.568421,0.44247616,0.89424822,0.8152928300000001,0.247,1.0,0.94172084,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
greedy_fas_topological,100,9.78,10.0,20.0,1.0,9.78,10.0,20,0.27357896,0.284211,0.568421,0.32209522,0.90977065,0.7737301,0.247,1.0,0.86102911,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
greedy_fas_weighted_balance,100,11.23,11.0,18.0,4.0,11.23,11.0,18,0.54989472,0.568421,0.8,0.47828569000000004,0.99879221,0.99639934,0.247,1.0,0.9970666699999999,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
greedy_fas_copeland,100,11.23,11.0,18.0,4.0,11.23,11.0,18,0.54989472,0.568421,0.8,0.47828569000000004,0.99879221,0.99639934,0.247,1.0,0.9970666699999999,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
greedy_fas_score_augmented_topological,100,8.89,9.0,19.0,1.0,8.89,9.0,19,0.11347365,0.12105250000000001,0.4,0.34514286,0.9161471899999999,0.78957937,0.247,1.0,0.8808354,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
fas_balance_score_prior_alpha_beta,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.53726315,0.547368,0.8,0.48038092,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
hybrid_rrf_fas_regularized,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.5388420899999999,0.547368,0.8,0.48704758,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
hybrid_rrf_balance_a05,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.53642103,0.5421050000000001,0.8,0.48114283999999996,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
hybrid_rrf_copeland_a03,100,11.27,11.0,19.0,4.0,11.27,11.0,19,0.5376841800000001,0.547368,0.8,0.48457139,1.0,1.0,0.247,1.0,1.0,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
hybrid_rrf_priority_topo_a03,100,9.19,10.0,19.0,1.0,9.19,10.0,19,0.12726319,0.126316,0.421053,0.35238091,0.91884933,0.79630469,0.247,1.0,0.8854375299999999,0.005720619999999999,0.0044480000000000006,0.128892,20.0,74.34,100.0,11.09,11.27,4.79,11.27,4.79
