stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,6.1e-05,6.1e-05,6.1e-05,6.1e-05
pairwise_preference_generation,1,0.000288,0.000288,0.000288,0.000288
graph_construction,1,0.002174,0.002174,0.002174,0.002174
cycle_detection,1,0.00017,0.00017,0.00017,0.00017
ranking_score_sum,1,9.2e-05,9.2e-05,9.2e-05,9.2e-05
ranking_borda,1,3.2e-05,3.2e-05,3.2e-05,3.2e-05
greedy_fas_solver,1,0.010307,0.010307,0.010307,0.010307
ranking_topological,1,0.000127,0.000127,0.000127,0.000127
evaluation,1,0.000335,0.000335,0.000335,0.000335
total_experiment,1,0.013741,0.013741,0.013741,0.013741
