experiment,generating_script,input_files,output_files,consuming_report_or_manuscript_section,reproducible_from_repo,hardcoded_paths,local_only_or_untracked
"Original construction (score normalization, pooling, vote-graph regimes ms1/ms1_drop_mutual/ms2)","reports/normalization_protocol_audit_20260714/scripts/run_independent_protocols.py + scripts/build_votes_file.py","BEIR/BRIGHT/HotpotQA qrels+runs under data/raw, data/processed (partly gitignored, regenerable via scripts/download_beir_via_irds.py / scripts/prepare_hotpotqa.py)","reports/normalization_protocol_audit_20260714/tables/independent_protocol_*.csv (tracked, 5-19MB each)","papers/JDIQ_2026/manuscript/main.tex Sec.4.1 (construction->structure); numbers hand-typed, no \input","yes, if data/raw is repopulated (external dataset downloads required)","_REPO_ROOT-relative in the audit script itself; report's own scripts/ subfolder uses paths relative to its own dir","tracked (tables/); data/raw mostly gitignored per policy"
"Classical retrieval evaluation (nDCG/MAP/MRR per method, candidate-pool + qrels alignment)","reports/full_calibrated_core/scripts/*.py (full_calibration_utils.py + run_full_calibrated_core.py, per docs/ARTIFACT_POLICY.md and .gitignore:286-289)","normalization-protocol outputs + qrels_reference.py (src/consistency_ranker/qrels_reference.py, canonical missing-doc=0 convention)","reports/full_calibrated_core/outputs/calibrated_all4/paper_package/tables/*.csv (tracked, 9 files) + reports/full_calibrated_core/outputs/calibrated_all4/{protocol_runs,pool_runs}/ (explicitly gitignored, .gitignore:291-292)","Sole source for main.tex's CombSUM=0.554/RRF=0.546/etc. numbers and for scripts/run_ir_evidence_audit.py's CALIBRATED_CORE constant","PARTIAL -- paper_package/tables/ are tracked and sufficient for the audit script, but the underlying protocol_runs/pool_runs intermediates are gitignored by design (regenerate via the cited scripts)","_REPO_ROOT-relative in run_ir_evidence_audit.py","tables/ tracked; protocol_runs/pool_runs gitignored (intentional per .gitignore comment)"
"Greedy repair (whole-graph MWFAS)","src/consistency_ranker/greedy_fas.py via reports/full_calibrated_core pipeline and reports/final_revision_task1_pool_cutoff_20260715/scripts/","graph edge lists from construction step","table_primary_repair_effects.csv (full_calibrated_core, tracked); pool_cutoff_statistics.csv / pool_cutoff_pair_metrics.csv (final_revision_task1, UNTRACKED)","main.tex Sec.4.2-4.3 (0/20, 0/60, 0/110 Holm-significant); FINAL_IR_EVIDENCE_AUDIT.md Sec.6","Partially -- full_calibrated_core side is reproducible from tracked tables; final_revision_task1 side is NOT reproducible from a fresh clone (see notes column)","n/a","full_calibrated_core/tables tracked; final_revision_task1 ENTIRELY gitignored (reports/final_revision_*/ blanket rule) -- 1.9GB local-only, including the small canonical pool_cutoff_statistics.csv (250KB) that should be tracked per docs/ARTIFACT_POLICY.md's own stated criteria"
"Exact repair (SCIP MWFAS) vs. greedy","reports/exact_open_source_ilp_repair_investigation/scripts/run_exact_open_ilp_study.py + validate_scip_vs_bruteforce.py","same graphs as greedy repair; requires SCIP solver (pip install per docs/READ_ME_FIRST_FOR_AI.md:39)","reports/exact_open_source_ilp_repair_investigation/tables/{structural_per_query,retrieval_metric_paired_per_query,...}.csv (tracked, 9 files, 4.2MB total)","main.tex Sec.4.2 robustness (1,025/1,025 proven-optimal, 0/36, 0/56); FINAL_IR_EVIDENCE_AUDIT.md Sec.6 and this meta-audit's independently-recomputed spot check (bright/ms1/nDCG@10 = 0.0056537568... confirmed exact match)","Yes, if SCIP is installed (external solver dependency, not vendored)","n/a","tracked; superseded predecessor reports/exact_ilp_repair_investigation/ (56KB) still present, gitignored, referenced only by anonymous-submission manifest scripts"
"Larger-pool analysis (P>k greedy + exact, multi-cutoff nDCG@5/10/20)","reports/final_revision_task1_pool_cutoff_20260715/ (greedy) + reports/final_revision_task4_exact_baseline_fairness_20260715/ (exact + baseline fairness)","full_calibrated_core candidate pools re-scored at larger depth","pool_cutoff_statistics.csv, exact_larger_pool_family_statistics.csv, baseline_targeted_tests_primary_canonical.csv (ALL UNTRACKED)","main.tex Sec.4.2 ('0/110 active larger-pool cells'); FINAL_IR_EVIDENCE_AUDIT.md Sec.5-6 (baseline verification, cutoff robustness); this meta-audit independently recomputed the Holm-active-family count and matched exactly (0/110)","NO from a fresh clone -- both source directories are entirely untracked (see notes)","POOL_CUTOFF / BASELINE_FAIRNESS constants in scripts/run_ir_evidence_audit.py point at these two directories by relative path","UNTRACKED. reports/final_revision_*/ is blanket-gitignored (.gitignore:351); no carve-out exists for these two directories' small tables/ subdirectories unlike sibling report families (e.g. offline_active_acquisition_pilot, policy_selection) which have documented, surgical tracked/untracked splits"
"Repair-frontier study (SCC-local, incumbent-protected, confidence-weighted repair; real multi-provider LLM graphs)","scripts/run_repair_frontier_pilot.py (src/consistency_ranker/repair_frontier/*)","reports/multi_provider_repair_pilot_20260729T032348Z/ + reports/reviewer_concerns_program_20260729T035320Z/ (both: 6 real queries x provider/construction variants)","reports/repair_frontier_20260729T144742Z/{FINAL_REPORT.md,FINAL_SUMMARY.json,checkpoint/frontier_results.jsonl,discovery/,sensitivity/} (tracked once committed -- currently untracked/new)","FINAL_IR_EVIDENCE_AUDIT.md unified table row 90; proposed manuscript text 'n=120 query-graphs'","Yes for the analysis step (deterministic given the two upstream JSONLs); NOT reproducible end-to-end without live LLM API credentials for the original data-collection step","REPAIR_FRONTIER_DIR constant in run_ir_evidence_audit.py; RUN_CONFIG.json sources list absolute repo paths","currently untracked (new this session); raw_calls/*.jsonl in upstream dirs contain full prompt/completion transcripts -- checked for secrets (none found) but per docs/ARTIFACT_POLICY.md 'do not track... raw API transcripts' these should likely stay untracked even after the summary files are committed"
"Extraction-method comparison study (9 extractors incl. new HodgeRank)","scripts/run_extraction_study.py (src/consistency_ranker/extraction_study/*)","same two upstream real-LLM sources as repair-frontier (identical 120 query-graphs / 6 real queries, per FINAL_REPORT.md:1)","reports/extraction_study_20260729T151610Z/{FINAL_REPORT.md,FINAL_SUMMARY.json,extraction_results.jsonl,tables/*.csv}","FINAL_IR_EVIDENCE_AUDIT.md unified table rows 91-97; proposed manuscript text ('Borda significantly worse')","Yes for the analysis step from the already-produced extraction_results.jsonl; NOT independent data from repair-frontier's sample (see meta-audit Sec.5/6)","EXTRACTION_DIR constant in run_ir_evidence_audit.py","currently untracked (new this session)"
"Repair-diagnostic / predictability study (23 pre+post-repair features, grouped-CV)","scripts/run_repair_diagnostic_study.py (src/consistency_ranker/repair_diagnostic/*)","same two upstream real-LLM sources, again the identical 120 query-graphs / 6 real queries","reports/repair_diagnostic_20260729T162748Z/{FINAL_REPORT.md,FINAL_SUMMARY.json,diagnostic_results.jsonl,tables/FEATURE_ASSOCIATIONS.csv,tables/FEATURE_STABILITY.csv}","FINAL_IR_EVIDENCE_AUDIT.md unified table row 98; proposed manuscript text ('nine categories of pre-repair graph features')","Yes for the analysis step; the reported Holm-corrected p-values themselves are statistically invalid given only 6 independent underlying queries feed the 120-row correlation test (see meta-audit Sec.5/6, item 1 and 10)","REPAIR_DIAGNOSTIC_DIR constant in run_ir_evidence_audit.py","currently untracked (new this session)"
"Final IR evidence audit (unifies all 6 source families)","scripts/run_ir_evidence_audit.py","All of the above six source families' tables (paths hardcoded as module-level constants, see script header)","reports/ir_evidence_audit_20260729T182949Z/{FINAL_IR_EVIDENCE_AUDIT.md,unified_configuration_results.csv,structure_utility_associations.csv,baseline_verification.csv,cutoff_robustness.csv,tables/,figures/}","This is itself a manuscript-adjacent deliverable (Proposed Results/Discussion text in Sec.7 of its own report)","NO from a fresh clone: two of its six inputs (final_revision_task1/task4) are entirely untracked (see rows above) -- script will raise FileNotFoundError on a fresh checkout","6 module-level path constants (CALIBRATED_CORE, HEADROOM_419, EXACT_ILP, POOL_CUTOFF, BASELINE_FAIRNESS, REPAIR_FRONTIER_DIR/EXTRACTION_DIR/REPAIR_DIAGNOSTIC_DIR), all _REPO_ROOT-relative (portable) but pointing partly at untracked dirs","report dir currently untracked (new this session); script itself untracked (new this session, in scripts/)"
"Meta-audit of the IR evidence audit","(manual analysis this session, no script -- see its own report for the exact recomputation commands used)","reports/ir_evidence_audit_20260729T182949Z/ outputs + direct spot-checks against the same six source families + reports/manuscript_reframing_20260729T174326Z/","reports/ir_evidence_audit_review_20260729T235053Z/FINAL_META_AUDIT_REVIEW.md","Recommends ONE_SMALL_GAP_REMAINS instead of READY_TO_REWRITE; identifies the n=120-vs-6-query pseudo-replication issue","N/A (narrative audit, not a data pipeline)","n/a","untracked (new this session)"
