current_path,proposed_path,reason,affected_references,migration_risk
papers/papers/,(delete),"Empty nested directory tree (papers/papers/JDIQ_2026/submission/final_anonymous), zero files, untracked -- accidental artifact (likely a mkdir/cp run from inside papers/ instead of repo root)",none found,"very low (no files, untracked, unreferenced)"
0706C337-D693-4E53-A51D-87B7D8AD0FA5.png / 74556F5F-D495-41DF-9EDE-203C4CD1008A.png / CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png / FC0356B8-3DD3-4014-8903-4368933D867D.png / IMG_5259.png / IMG_5260.png / IMG_5261.png / IMG_5265.png / IMG_5268.png / IMG_5280.png,docs/assets/legacy_screenshots/,Ten loose images at repo root with no descriptive names and no inbound references from any .py/.tex/.md -- clutters root listing,none found via grep,low (verify no notebook or slide deck embeds a relative path to these first)
failure_taxonomy_distribution_uniform.pdf / fig_mean_ndcg_hybrids_clean.pdf / figure1_preference_graph_pipeline.pdf / figure2_graph_inconsistency_by_regime.pdf / figure3_structural_quality_improvement_ms1.pdf / figure4_repair_effect_forest_final.pdf / figure5_dataset_comparison.pdf / figure6_failure_taxonomy.pdf,figures/legacy/,Pre-JDIQ_2026 (multi-scorer era) figure renders at repo root; current figures live under papers/JDIQ_2026/figures/ and manuscript/figures_v2/,none found via grep for these exact filenames in *.tex,low (grep papers/**/*.tex for these basenames before moving; none matched at audit time)
Consistency_Aware_Reranking_via_Preference_Graph_Repair__Structural_Gains_and_Conditional_Retrieval_Effects_IJCS.zip,papers/_archive/IJCS_early_draft.zip,"Title indicates an early IJCS-targeted draft, predates JDIQ_2026/negative_result_2026 tracks",none,low
"AUDIT_LOCAL_BRANCH.md, EXPANDED_SELECTIVE_REPORT.md, FAS_NICHE_REPORT.md, MANUSCRIPT_SUMMARY.md, MULTI_SCORER_EXPERIMENT_REPORT.md, MULTI_SCORER_SUMMARY.md, PAPER_DRAFT_WORDING.md, PAPER_OUTLINE.md, PAPER_READY_REPORT.md, REAL_SCORER_EXPERIMENT_REPORT.md, REASONING_BENCHMARK_FEASIBILITY.md, REMEDIATION_REPORT.md, REVIEWER_CONCERN_GAP_AUDIT.md, TODO.md, VALIDATION_REPORT.md",docs/historical/,Root-level narrative docs from earlier research phases (multi-scorer / real-scorer eras); not listed in PROJECT_STATUS.md's documentation-authority map as current for anything; repo already has a docs/historical/ convention for exactly this,none found from current scripts; may be linked from each other or from very old commit messages only,medium (skim each for any still-live cross-reference before moving; TODO.md may have live open items worth triaging first rather than archiving verbatim)
"README.md (content edit, not a move)",README.md,Lines 24/26/36-37/96-98/183-185/632 name outputs/pub_vote_cmp_all4/paper_package/ as 'the canonical evidence package' -- an abandoned pipeline (last touched 2026-03-24) not referenced anywhere in the actual submitted manuscript (papers/JDIQ_2026/manuscript/main.tex has zero mentions of pub_vote_cmp). Update to point at reports/full_calibrated_core/outputs/calibrated_all4/paper_package/tables/ and/or PROJECT_STATUS.md's documentation-authority map.,docs/READ_ME_FIRST_FOR_AI.md and reports/README.md make the identical stale claim and need the same correction,medium (content edit; verify with the author which pipeline should be presented as canonical going forward -- this is a judgment call the audit should not silently make)
docs/READ_ME_FIRST_FOR_AI.md (content edit),docs/READ_ME_FIRST_FOR_AI.md,Same stale pub_vote_cmp_all4 pointer as README.md (line 12); this is the file most likely to be read first by a future AI agent session,PROJECT_STATUS.md already tells agents to read PROJECT_STATUS.md first -- consider whether this file should instead just redirect to PROJECT_STATUS.md,medium
reports/README.md + reports/repo_publication_audit.md + reports/repo_cleanup_recommendations.md + reports/paper_safe_contributions.md + reports/canonical_results_inventory.csv + reports/claim_support_matrix.csv + reports/repaired_vs_unrepaired_master_table.csv,reports/_archive/publication_audit_20260406/,"Entire family dated 2026-03-22/04-06, analyzes the outputs/pub_vote_cmp_all4 vs v2 split which is superseded by full_calibrated_core (2026-07-15); keep for provenance per docs/ARTIFACT_POLICY.md's own historical-archival convention, but stop presenting as 'start here'",reports/README.md is the only inbound pointer (self-referential within this family),"low (self-contained family, nothing outside it depends on these paths by grep)"
outputs/pub_vote_cmp_all4/ + outputs/pub_vote_cmp_v2/ + outputs/q1_journal_package/,(add HISTORICAL banner in place; do not move -- old scripts still reference these paths by relative default),Confirmed unreferenced by papers/JDIQ_2026/manuscript/main.tex; still the default --pub-root for scripts/generate_q1_tables.py and target of scripts/run_publication_vote_suite.py -- moving would break those scripts' documented defaults,scripts/generate_q1_tables.py; scripts/build_paper_evidence_package.py; scripts/summarize_publication_vote_suite.py; tests/test_metric_aware_first_experiment.py,medium (do not move; these scripts still function against the old pipeline for whoever wants to reproduce the earlier multi-scorer result -- moving breaks that reproducibility path even though it is no longer the paper's canonical numbers)
experiments/real_llm_integrity_audit_20260712_232154_SUPERSEDED_originmain_only/,reports/_archive/ or delete,Directory name is self-labeled SUPERSEDED; still git-tracked (5.4MB parsed_response_audit.csv) for no apparent current purpose,none found via grep,low (confirm no test imports its path first)
reports/exact_ilp_repair_investigation/,reports/_archive/,"Superseded by reports/exact_open_source_ilp_repair_investigation/ (the one actually used by scripts/run_ir_evidence_audit.py and every current test); old dir is already gitignored (untracked, 56KB) and only mentioned in anonymous-submission manifest/build scripts",papers/JDIQ_2026/submission/final_anonymous/SOURCE_MANIFEST.md; papers/JDIQ_2026/submission/scripts/build_anonymous_supplementary.py; papers/JDIQ_2026/submission/scripts/build_final_anonymous.py,"medium (check whether the submission-manifest reference is itself a stale artifact of the old name, or an intentional citation of a truly separate early investigation -- read those 3 files before moving)"
reports/jdiq-overnight-20260713-225928/ + reports/jdiq-overnight-cont-20260713-230229/,reports/_archive/,"Intermediate artifact-prep scratch runs (53MB each) for the anonymous submission bundle, superseded by the finalized papers/JDIQ_2026/submission/final_anonymous/ tree; contain duplicate votes_ms1*.jsonl also present under experiments/method_improvement_audit_20260711_205733/ and duplicate zip/tar.gz review bundles",none found outside themselves,medium (confirm papers/JDIQ_2026/submission/final_anonymous/ is fully self-contained and does not itself reference these paths before archiving)
papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv + papers/JDIQ_2026/SECTION_EVIDENCE_MAP.csv,"(regenerate in place, or add superseding banner -- not a location move)","Dated 2026-07-12/14, predate reports/full_calibrated_core/ (2026-07-15); still list outputs/pub_vote_cmp_all4/ as 'canonical' and contain zero mentions of full_calibrated_core; PROJECT_STATUS.md's documentation-authority map cites these two files as authoritative for evidence-to-claim mapping without flagging that they predate the pipeline that actually backs the submitted manuscript",PROJECT_STATUS.md line 42 (documentation authority map),"medium (content regeneration, not a file move; needs someone who understands the current full_calibrated_core schema to redo the mapping, or an explicit decision to deprecate these two files in favor of a new evidence map)"
"reports/final_revision_task1_pool_cutoff_20260715/tables/{pool_cutoff_statistics.csv, pool_cutoff_structural_summary.csv, feasible_config_grid.csv, score_depth_by_ranker.csv, score_depth_union_overlap.csv} (250KB-75KB each) + reports/final_revision_task4_exact_baseline_fairness_20260715/tables/*.csv (1.7MB total)","(un-gitignore / track in place -- add a surgical .gitignore carve-out, no path change)","Currently excluded entirely by the blanket 'reports/final_revision_*/' rule; these specific files are small (<300KB each, one exception at ~68MB for pool_cutoff_pair_metrics.csv) and are the direct, hard dependency of scripts/run_ir_evidence_audit.py's cutoff-robustness and baseline-fairness sections -- same treatment already given to reports/offline_active_acquisition_pilot_20260728T142414Z/ and reports/policy_selection_20260726T030500Z/ in the existing .gitignore (surgical include/exclude, not blanket)","scripts/run_ir_evidence_audit.py (POOL_CUTOFF, BASELINE_FAIRNESS constants); this meta-audit's own reproducibility claims",low (additive .gitignore change plus `git add`; does not touch the large pool_cutoff_method_metrics.csv (254MB) or outputs/ (1.6GB) which should stay excluded)
